label,threshold,acc,hyb_precision,hyb_recall,n_regress,n_neutral,n_improve,mean_delta
AUDIO,0.3,0.45454545454545453,0.0,0.0,2,9,0,-9.915329768270944
AUDIO,0.5,0.7272727272727273,0.0,0.0,0,11,0,0.0
AUDIO,0.6,0.7272727272727273,0.0,0.0,0,11,0,0.0
AUDIO,0.7,0.7272727272727273,0.0,0.0,0,11,0,0.0
AUDIO,0.8,0.7272727272727273,0.0,0.0,0,11,0,0.0
AUDIO,0.9,0.7272727272727273,0.0,0.0,0,11,0,0.0
SCORE,0.3,0.7272727272727273,0.0,0.0,0,11,0,0.0
SCORE,0.5,0.7272727272727273,0.0,0.0,0,11,0,0.0
SCORE,0.6,0.7272727272727273,0.0,0.0,0,11,0,0.0
SCORE,0.7,0.7272727272727273,0.0,0.0,0,11,0,0.0
SCORE,0.8,0.7272727272727273,0.0,0.0,0,11,0,0.0
SCORE,0.9,0.7272727272727273,0.0,0.0,0,11,0,0.0
MM,0.3,0.45454545454545453,0.0,0.0,2,9,0,-9.915329768270944
MM,0.5,0.7272727272727273,0.0,0.0,0,11,0,0.0
MM,0.6,0.7272727272727273,0.0,0.0,0,11,0,0.0
MM,0.7,0.7272727272727273,0.0,0.0,0,11,0,0.0
MM,0.8,0.7272727272727273,0.0,0.0,0,11,0,0.0
MM,0.9,0.7272727272727273,0.0,0.0,0,11,0,0.0
