piece,perf,condition,n_beats,AR@100,AR@500,AR@1000,MedAE_s,MaxAE_s,MeanAE_s,LR_K5_%,Robust
bach_bwv858,VuV01M,Dixon+CQT,120,2.5,57.5,74.2,0.46,2.46,0.68,25.0,✓
beethoven_sonata_5_1,Colafelice02M,Dixon+CQT,847,68.1,95.6,97.2,0.07,3.82,0.16,89.9,✓
beethoven_sonata_5_1,SunD02M,Dixon+CQT,847,80.9,96.6,98.8,0.06,3.81,0.1,91.3,✓
beethoven_sonata_5_1,Wong01,Dixon+CQT,847,73.4,97.2,97.6,0.07,3.68,0.15,95.4,✓
bps_21_1,GonzalezJ06M,Dixon+CQT,1205,79.3,94.5,95.5,0.05,12.11,0.36,91.8,✓
chopin_ballade1,BuiJL04M,Dixon+CQT,653,7.0,21.9,28.6,13.11,65.12,19.97,8.9,✗
chopin_ballade1,JIA06M,Dixon+CQT,653,6.1,12.3,14.7,26.65,48.27,23.69,6.2,✗
chopin_ballade1,KimSuyeon04M,Dixon+CQT,653,10.1,17.3,19.4,19.2,53.22,20.39,12.5,✗
chopin_ballade1,Mo07M,Dixon+CQT,653,9.0,29.1,34.8,11.9,75.23,25.35,12.6,✗
chopin_ballade1,Richardson13M,Dixon+CQT,653,9.3,17.6,19.4,19.36,61.74,24.59,10.9,✗
chopin_ballade1,Sladek04M,Dixon+CQT,653,10.7,25.6,30.0,9.36,56.99,21.48,14.3,✗
chopin_ballade1,Zhou06M,Dixon+CQT,653,11.3,25.0,29.7,13.93,49.95,17.73,14.6,✗
chopin_ballade_2,Denisova17M,Dixon+CQT,408,33.8,81.6,85.8,0.16,18.49,0.75,63.9,✓
chopin_ballade_2,Gasanov08M,Dixon+CQT,408,32.1,71.1,81.9,0.21,12.53,0.8,52.2,✓
chopin_ballade_2,Tetzloff06M,Dixon+CQT,408,19.4,65.7,79.2,0.28,13.87,0.93,35.6,✓
chopin_ballade_3,Ko11M,Dixon+CQT,481,42.0,89.2,94.6,0.12,12.61,0.43,75.3,✓
chopin_ballade_3,LinPeng06M,Dixon+CQT,481,43.5,85.7,90.9,0.12,7.73,0.35,66.7,✓
chopin_barcarolle,Na03,Dixon+CQT,463,42.8,83.4,88.8,0.13,10.4,0.51,62.5,✓
chopin_etude_10_12,Bult-ItoS04M,Dixon+CQT,334,40.7,86.2,94.9,0.14,5.39,0.34,68.8,✓
chopin_etude_10_12,Floril02,Dixon+CQT,334,0.0,0.0,0.0,38.74,77.16,38.81,0.0,✗
chopin_etude_10_12,Gintov02,Dixon+CQT,334,44.9,81.1,88.6,0.12,7.26,0.56,65.8,✓
chopin_etude_10_12,Hirata02,Dixon+CQT,334,44.9,82.9,92.2,0.12,6.85,0.51,67.6,✓
chopin_etude_10_12,HuNY03M,Dixon+CQT,334,40.4,81.4,87.1,0.14,7.84,0.64,69.7,✓
chopin_etude_10_12,KimBenjamin04,Dixon+CQT,334,48.5,77.8,91.9,0.11,6.31,0.5,57.0,✓
chopin_etude_10_12,LuoJ08M,Dixon+CQT,334,60.5,92.8,96.7,0.08,3.76,0.19,87.0,✓
chopin_etude_10_12,Mordvinov04,Dixon+CQT,334,30.8,71.3,80.5,0.19,8.88,1.07,60.9,✓
chopin_etude_10_12_Na_2006,02,Dixon+CQT,334,51.5,88.0,90.4,0.09,4.89,0.44,79.4,✓
chopin_etude_10_12,Staupe02,Dixon+CQT,334,51.8,86.2,90.4,0.09,5.94,0.47,78.2,✓
chopin_etude_10_12,WuuE06M,Dixon+CQT,334,47.6,87.7,92.2,0.1,6.76,0.4,80.9,✓
chopin_etude_10_12,Yarden04,Dixon+CQT,334,24.6,61.1,71.6,0.39,12.89,1.9,43.3,✓
chopin_etude_10_12,ZhangYunling02M,Dixon+CQT,334,58.1,90.7,95.2,0.09,5.32,0.26,83.9,✓
bach_bwv858,VuV01M,Hybrid v1,120,2.5,57.5,74.2,0.46,2.46,0.68,25.0,✓
beethoven_sonata_5_1,Colafelice02M,Hybrid v1,847,68.1,95.6,97.2,0.07,3.82,0.16,89.9,✓
beethoven_sonata_5_1,SunD02M,Hybrid v1,847,80.9,96.6,98.8,0.06,3.81,0.1,91.3,✓
beethoven_sonata_5_1,Wong01,Hybrid v1,847,73.4,97.2,97.6,0.07,3.68,0.15,95.4,✓
bps_21_1,GonzalezJ06M,Hybrid v1,1205,79.3,94.5,95.5,0.05,12.11,0.36,91.8,✓
bps_21_1,KimSY02M,Hybrid v1,1205,69.7,95.1,96.9,0.05,8.98,0.22,90.1,✓
chopin_ballade1,BuiJL04M,Hybrid v1,653,24.5,48.7,57.1,0.55,29.85,4.15,29.7,✓
