piece,perf,condition,elapsed_s,n_beats,n_valid,AR@100,AR@250,AR@500,AR@1000,AR@2000,MedAE_ms,MaxAE_ms,MeanAE_ms,StdAE_ms,LR500_K5
chopin_ballade1,BuiJL04M,C1_baseline,176.5,653,653,7.044410413476264,15.007656967840735,21.898928024502297,28.637059724349157,36.14088820826952,13112.49966666668,65122.91666666667,19972.48437570189,20373.315585710556,8.88208269525268
chopin_ballade1,BuiJL04M,C2_global_retempo,324.0,653,653,1.8376722817764166,2.2970903522205206,3.522205206738132,5.053598774885145,6.584992343032159,21335.416666666562,64050.000333333344,23997.124661306792,16322.793206359094,0.45941807044410415
chopin_ballade1,JIA06M,C1_baseline,181.4,653,653,6.1255742725880555,9.80091883614089,12.251148545176111,14.701378254211333,17.304747320061256,26646.874666666663,48266.66666666665,23685.51597753956,16140.97277039962,6.1255742725880555
chopin_ballade1,JIA06M,C2_global_retempo,311.2,653,653,6.431852986217458,10.260336906584993,12.557427258805513,15.007656967840735,17.304747320061256,26646.874666666663,48046.87466666672,23221.427152628894,15719.548256240552,6.431852986217458
chopin_ballade_2,Denisova17M,C1_baseline,91.6,408,408,33.82352941176471,68.62745098039215,81.61764705882352,85.7843137254902,90.93137254901961,163.54199999999963,18487.239999999987,753.8209640522881,2118.6958637631024,63.23529411764706
chopin_ballade_2,Denisova17M,C2_global_retempo,149.9,408,408,36.51960784313725,67.15686274509804,80.14705882352942,87.00980392156863,90.93137254901961,165.1693333333526,18553.906666666648,748.6187271241836,2117.9839860755615,58.08823529411765
chopin_ballade_2,Gasanov08M,C1_baseline,111.0,408,408,32.1078431372549,55.63725490196079,71.07843137254902,81.86274509803921,88.72549019607843,209.96099999999274,12534.63566666666,801.464239379087,1593.4730544469292,51.71568627450981
chopin_ballade_2,Gasanov08M,C2_global_retempo,195.6,408,408,30.392156862745097,61.51960784313726,78.67647058823529,88.72549019607843,93.13725490196079,196.87500000000924,7112.239333333335,549.8241805555559,1117.4160605179693,49.26470588235294
bach_prelude_848,Denisova06M,C1_baseline,16.4,310,310,91.93548387096774,97.74193548387096,99.03225806451613,99.35483870967742,99.67741935483872,43.359500000001105,5012.110333333333,73.27663978494623,292.85524152349006,96.45161290322581
bach_prelude_848,Denisova06M,C2_global_retempo,23.2,310,310,82.25806451612904,97.74193548387096,98.06451612903226,99.03225806451613,99.35483870967742,70.44250000000041,4282.942999999999,106.91826129032286,303.8952635565769,94.19354838709677
bach_prelude_848,Lee01M,C1_baseline,16.8,310,310,87.41935483870968,92.25806451612904,95.48387096774194,97.41935483870968,99.35483870967742,56.249833333335886,5483.463333333334,127.66782150537684,392.2548375074769,89.6774193548387
bach_prelude_848,Lee01M,C2_global_retempo,25.3,310,310,87.09677419354838,94.51612903225806,97.74193548387096,99.35483870967742,99.67741935483872,64.1924999999901,3343.4893333333334,96.8168473118285,213.62657104576937,93.87096774193549
