beat_idx,gt_beat,gt_time_s,pred_time_s,err_ms,ok
0,0.0,1.029948,0.0,1029.95,1
1,0.5,1.21875,0.03333333333333333,1185.42,1
2,1.0,1.436198,0.06666666666666667,1369.53,1
3,1.4999999999999998,1.638672,0.06666666666666667,1572.01,1
4,2.0,1.839844,0.1,1739.84,1
5,2.5,2.039063,0.13333333333333333,1905.73,1
6,3.0,2.246094,0.16666666666666666,2079.43,1
7,3.5,2.4557290000000003,0.16666666666666666,2289.06,1
8,4.0,2.655599,0.2,2455.6,1
9,4.5,2.86263,0.23333333333333334,2629.3,1
10,5.0,3.058594,0.26666666666666666,2791.93,1
11,5.5,3.2773440000000003,0.26666666666666666,3010.68,1
12,6.0,3.486328,0.3,3186.33,1
13,6.5,3.691406,0.3333333333333333,3358.07,1
14,7.0,3.879557,0.36666666666666664,3512.89,1
15,7.5,4.078125,0.36666666666666664,3711.46,1
16,8.0,4.266927,0.4,3866.93,1
17,8.5,4.479818,0.43333333333333335,4046.48,1
18,9.0,4.681641,0.4666666666666667,4214.97,1
19,9.5,4.871094,0.5,4371.09,1
20,10.0,5.078777,1.0333333333333334,4045.44,1
21,10.5,5.294271,1.0666666666666667,4227.6,1
22,11.0,5.494141,1.1333333333333333,4360.81,1
23,11.5,5.682943,1.1333333333333333,4549.61,1
24,12.0,5.898438,1.1666666666666667,4731.77,1
25,12.5,6.089844,1.2,4889.84,1
26,13.0,6.316406,1.2333333333333334,5083.07,1
27,13.5,6.542969,1.2333333333333334,5309.64,1
28,14.0,6.746094,1.2666666666666666,5479.43,1
29,14.5,6.961589,1.3,5661.59,1
30,15.0,7.184896000000001,1.3333333333333333,5851.56,1
31,15.5,7.410156,1.3333333333333333,6076.82,1
32,16.0,7.604817999999999,1.3666666666666667,6238.15,1
33,16.5,7.829427000000001,1.4,6429.43,1
34,17.0,8.03776,1.4333333333333333,6604.43,1
35,17.5,8.248047,1.4333333333333333,6814.71,1
36,18.0,8.483073,1.8666666666666667,6616.41,1
