beat_idx,gt_beat,gt_time_s,pred_time_s,err_ms,ok
0,0.0,1.0039064999999998,0.0,1003.91,1
1,0.9999999999999999,2.11588575,0.2,1915.89,1
2,2.0,3.227865,0.4666666666666667,2761.2,1
3,3.0000000000000004,4.2441405,3.2,1044.14,1
4,3.9999999999999982,5.430339,5.0,430.34,1
5,5.0,6.76399775,6.366666666666666,397.33,1
6,6.000000000000001,8.0976565,7.333333333333333,764.32,1
7,6.999999999999999,9.184896,8.066666666666666,1118.23,1
8,7.999999999999998,10.2005205,10.2,0.52,1
9,9.000000000000002,11.502604,11.233333333333333,269.27,1
10,10.000000000000004,12.651042,12.733333333333333,82.29,1
11,11.000000000000009,15.997395999999998,14.3,1697.4,1
12,12.000000000000012,17.4192705,15.133333333333333,2285.94,1
13,13.000000000000012,18.416667,15.533333333333333,2883.33,1
14,14.000000000000016,19.364583,18.466666666666665,897.92,1
15,15.000000000000018,20.306641,20.333333333333332,26.69,1
16,16.00000000000001,21.248698,21.233333333333334,15.36,1
17,17.000000000000014,22.169271,22.166666666666668,2.6,1
18,18.000000000000018,23.2050785,23.166666666666668,38.41,1
19,19.000000000000014,24.209635,24.233333333333334,23.7,1
20,20.000000000000018,25.141927,25.166666666666668,24.74,1
21,21.000000000000018,26.094401,26.233333333333334,138.93,1
22,22.000000000000018,27.01692700000001,26.933333333333334,83.59,1
23,23.00000000000002,27.93099,27.9,30.99,1
24,24.000000000000025,28.8951825,28.666666666666668,228.52,1
25,25.00000000000002,29.796875,29.966666666666665,169.79,1
26,26.00000000000002,30.68880200000001,30.366666666666667,322.14,1
27,27.000000000000018,31.6321615,31.666666666666668,34.51,1
28,28.00000000000002,32.565104,32.56666666666667,1.56,1
29,29.00000000000002,33.483073000000005,33.1,383.07,1
30,30.00000000000002,34.572266,34.36666666666667,205.6,1
31,31.00000000000002,35.623698,35.833333333333336,209.64,1
32,32.00000000000002,36.6484375,36.6,48.44,1
