beat_idx,gt_beat,gt_time_s,pred_time_s,err_ms,ok
0,0.0,1.01888,0.0,1018.88,1
1,0.9999999999999999,2.2890625,0.2,2089.06,1
2,2.0,3.559245,1.0,2559.25,1
3,3.0000000000000004,4.6959635,2.0,2695.96,1
4,3.9999999999999982,6.1770830000000005,5.7,477.08,1
5,5.0,7.504557000000001,6.666666666666667,837.89,1
6,6.000000000000001,8.832031,7.966666666666667,865.36,1
7,6.999999999999999,10.028646,9.9,128.65,1
8,7.999999999999998,11.215494999999999,11.166666666666666,48.83,1
9,9.000000000000002,12.6933595,12.633333333333333,60.03,1
10,10.000000000000004,14.450521000000002,14.466666666666667,16.15,1
11,11.000000000000009,17.609375,17.166666666666668,442.71,1
12,12.000000000000012,19.44987,19.5,50.13,1
13,13.000000000000012,20.651042,20.033333333333335,617.71,1
14,14.000000000000016,21.703125,20.833333333333332,869.79,1
15,15.000000000000018,22.747396,23.366666666666667,619.27,1
16,16.00000000000001,23.8496095,23.866666666666667,17.06,1
17,17.000000000000014,24.830729,24.966666666666665,135.94,1
18,18.000000000000018,25.880208000000003,25.866666666666667,13.54,1
19,19.000000000000014,26.97526,26.9,75.26,1
20,20.000000000000018,27.983073,28.0,16.93,1
21,21.000000000000018,29.03450500000001,30.033333333333335,998.83,1
22,22.000000000000018,30.081380499999998,30.266666666666666,185.29,1
23,23.00000000000002,31.082031,34.6,3517.97,1
24,24.000000000000025,32.1054685,36.86666666666667,4761.2,1
25,25.00000000000002,33.117188,37.1,3982.81,1
26,26.00000000000002,34.079427,37.3,3220.57,1
27,27.000000000000018,35.160807500000004,37.5,2339.19,1
28,28.00000000000002,36.175781,37.7,1524.22,1
29,29.00000000000002,37.1829425,37.9,717.06,1
30,30.00000000000002,38.376302,38.3,76.3,1
31,31.00000000000002,39.645833,40.63333333333333,987.5,1
32,32.00000000000002,40.685547,41.833333333333336,1147.79,1
33,33.000000000000036,41.816406,42.03333333333333,216.93,1
34,34.00000000000001,42.722656,43.333333333333336,610.68,1
35,34.999999999999986,43.651042,43.93333333333333,282.29,1
36,35.999999999999964,44.589193,45.96666666666667,1377.47,1
37,36.99999999999995,45.53776,46.46666666666667,928.91,1
38,37.999999999999915,46.48763,46.666666666666664,179.04,1
39,38.99999999999989,47.422526,47.43333333333333,10.81,1
40,39.99999999999988,48.380208,48.266666666666666,113.54,1
41,40.99999999999986,49.295573,49.46666666666667,171.09,1
42,41.99999999999982,50.218099,51.93333333333333,1715.23,1
43,42.99999999999981,51.164062,52.13333333333333,969.27,1
44,43.99999999999979,52.128906,52.36666666666667,237.76,1
45,44.999999999999766,53.046224,53.06666666666667,20.44,1
46,45.999999999999744,53.98828100000001,54.06666666666667,78.39,1
47,46.99999999999972,54.921875,55.0,78.12,1
48,47.99999999999971,55.829427,56.1,270.57,1
49,48.99999999999967,56.765625,56.833333333333336,67.71,1
50,49.99999999999966,57.714193,57.9,185.81,1
51,50.99999999999963,58.64127600000001,58.6,41.28,1
52,51.99999999999962,59.554688,59.56666666666667,11.98,1
53,52.99999999999959,60.45638,60.5,43.62,1
54,53.99999999999956,61.35612,61.4,43.88,1
55,54.999999999999545,62.306641000000006,62.96666666666667,660.03,1
56,55.999999999999524,63.255207999999996,63.333333333333336,78.13,1
57,56.99999999999952,64.632812,64.63333333333334,0.52,1
58,57.999999999999496,65.8125,65.43333333333334,379.17,1
59,58.9999999999995,66.845052,66.83333333333333,11.72,1
60,59.99999999999952,67.994792,67.96666666666667,28.13,1
61,60.99999999999952,69.089844,69.56666666666666,476.82,1
62,61.99999999999951,70.16731750000001,70.16666666666667,0.65,1
63,62.999999999999496,71.230469,71.2,30.47,1
64,63.99999999999945,72.304688,72.23333333333333,71.35,1
65,64.99999999999945,73.408854,73.1,308.85,1
66,65.9999999999994,74.518229,74.46666666666667,51.56,1
67,66.99999999999939,75.548177,75.33333333333333,214.84,1
68,67.99999999999937,76.8216145,76.8,21.61,1
69,68.99999999999933,77.9915365,78.0,8.46,1
70,69.99999999999933,79.2102865,78.9,310.29,1
71,70.99999999999932,80.59114600000002,80.2,391.15,1
72,71.99999999999932,81.77669300000002,81.26666666666667,510.03,1
73,72.9999999999993,83.092448,83.26666666666667,174.22,1
74,73.99999999999928,84.190104,84.86666666666666,676.56,1
75,74.99999999999929,85.31380200000002,85.86666666666666,552.86,1
76,75.99999999999928,86.4375,86.93333333333334,495.83,1
77,76.99999999999926,87.817708,87.7,117.71,1
78,77.99999999999928,89.070312,88.76666666666667,303.65,1
79,78.99999999999923,90.1236975,90.16666666666667,42.97,1
80,79.99999999999923,90.626302,92.23333333333333,1607.03,1
81,80.99999999999923,91.852865,92.43333333333334,580.47,1
82,81.99999999999919,92.983073,93.06666666666666,83.59,1
83,82.99999999999922,93.941406,94.26666666666667,325.26,1
84,83.99999999999918,94.936198,94.76666666666667,169.53,1
85,84.99999999999918,96.0097655,96.36666666666666,356.9,1
86,85.99999999999918,96.957031,97.03333333333333,76.3,1
87,86.99999999999913,97.997396,97.96666666666667,30.73,1
88,87.99999999999913,99.022135,99.2,177.86,1
89,88.99999999999913,99.951172,100.43333333333334,482.16,1
90,89.99999999999912,101.172526,101.16666666666667,5.86,1
91,90.99999999999912,102.42382825,101.63333333333334,790.49,1
92,91.99999999999912,103.67513050000001,103.46666666666667,208.46,1
93,92.9999999999991,104.751302,104.76666666666667,15.36,1
94,93.99999999999909,105.9459635,107.2,1254.04,1
95,94.99999999999909,107.191406,107.4,208.59,1
96,95.99999999999906,108.58724,108.56666666666666,20.57,1
97,96.99999999999905,109.602865,109.73333333333333,130.47,1
98,97.99999999999903,110.74414099999998,110.7,44.14,1
99,98.99999999999902,112.1002605,111.96666666666667,133.59,1
100,99.999999999999,113.3867185,113.4,13.28,1
101,100.99999999999896,114.467448,114.5,32.55,1
102,101.99999999999893,115.59375,115.9,306.25,1
103,102.99999999999892,116.63476599999998,116.66666666666667,31.9,1
104,103.9999999999989,117.7265625,117.7,26.56,1
105,104.99999999999888,118.877604,119.13333333333334,255.73,1
106,105.99999999999886,119.928385,120.26666666666667,338.28,1
107,106.99999999999883,120.920573,121.1,179.43,1
108,107.9999999999988,121.936198,122.33333333333333,397.14,1
109,108.99999999999879,123.005208,123.0,5.21,1
110,109.99999999999878,124.032552,124.9,867.45,1
111,110.99999999999874,125.221354,125.26666666666667,45.31,1
112,111.99999999999874,126.472656,127.3,827.34,1
113,112.99999999999876,127.6464845,128.0,353.52,1
114,113.99999999999874,129.468099,129.33333333333334,134.77,1
115,114.99999999999872,130.675781,130.36666666666667,309.11,1
116,115.99999999999874,131.832031,131.7,132.03,1
117,116.99999999999872,133.3938805,133.33333333333334,60.55,1
118,117.9999999999987,134.730469,134.16666666666666,563.8,1
119,118.9999999999987,135.750651,134.66666666666666,1083.98,1
120,119.9999999999987,136.875,136.6,275.0,1
121,120.99999999999868,137.97981750000002,137.96666666666667,13.15,1
