beat_idx,gt_beat,gt_time_s,pred_time_s,err_ms,ok
0,0.0,1.0123699999999998,0.0,1012.37,1
1,0.9999999999999999,2.1614584999999997,0.2,1961.46,1
2,2.0,3.310547,0.4,2910.55,1
3,3.0000000000000004,4.5690105,0.6,3969.01,1
4,3.9999999999999982,5.7089845,0.8,4908.98,1
5,5.0,6.80761725,1.0333333333333334,5774.28,1
6,6.000000000000001,7.90625,1.2333333333333334,6672.92,1
7,6.999999999999999,8.93099,1.4333333333333333,7497.66,1
8,7.999999999999998,10.016276,3.533333333333333,6482.94,1
9,9.000000000000002,11.622396,3.7333333333333334,7889.06,1
10,10.000000000000004,13.0208335,4.6,8420.83,1
11,11.000000000000009,16.665364999999998,4.866666666666666,11798.7,1
12,12.000000000000012,18.4492185,8.4,10049.22,1
13,13.000000000000012,19.627604,8.633333333333333,10994.27,1
14,14.000000000000016,20.548177,8.833333333333334,11714.84,1
15,15.000000000000018,21.557943,9.3,12257.94,1
16,16.00000000000001,22.5371095,10.0,12537.11,1
17,17.000000000000014,23.471354,12.9,10571.35,1
18,18.000000000000018,24.4446615,14.2,10244.66,1
19,19.000000000000014,25.36849,17.866666666666667,7501.82,1
20,20.000000000000018,26.316406,19.166666666666668,7149.74,1
21,21.000000000000018,27.2877605,19.5,7787.76,1
22,22.000000000000018,28.255859,19.7,8555.86,1
23,23.00000000000002,29.192708000000003,20.133333333333333,9059.37,1
24,24.000000000000025,30.197265500000004,20.8,9397.27,1
25,25.00000000000002,31.123698,22.666666666666668,8457.03,1
26,26.00000000000002,32.039062,23.666666666666668,8372.4,1
27,27.000000000000018,33.003255,24.633333333333333,8369.92,1
28,28.00000000000002,33.93099,26.166666666666668,7764.32,1
29,29.00000000000002,34.876301999999995,26.666666666666668,8209.64,1
30,30.00000000000002,36.1308595,29.633333333333333,6497.53,1
31,31.00000000000002,37.201823,29.833333333333332,7368.49,1
32,32.00000000000002,38.17252600000001,30.9,7272.53,1
33,33.000000000000036,39.385417,32.36666666666667,7018.75,1
34,34.00000000000001,40.205729,32.6,7605.73,1
35,34.999999999999986,41.014323,33.766666666666666,7247.66,1
36,35.999999999999964,41.848958,41.766666666666666,82.29,1
37,36.99999999999995,42.655599,42.666666666666664,11.07,1
38,37.999999999999915,43.485677,43.46666666666667,19.01,1
39,38.99999999999989,44.311198,44.333333333333336,22.14,1
40,39.99999999999988,45.125,45.03333333333333,91.67,1
41,40.99999999999986,45.908854,45.93333333333333,24.48,1
42,41.99999999999982,46.749349,46.9,150.65,1
43,42.99999999999981,47.597005,47.63333333333333,36.33,1
44,43.99999999999979,48.416016,48.46666666666667,50.65,1
45,44.999999999999766,49.25651,49.233333333333334,23.18,1
46,45.999999999999744,50.061198,50.06666666666667,5.47,1
47,46.99999999999972,50.856771,50.93333333333333,76.56,1
48,47.99999999999971,51.660156,51.7,39.84,1
49,48.99999999999967,52.479818,52.43333333333333,46.48,1
50,49.99999999999966,53.311198,53.333333333333336,22.14,1
51,50.99999999999963,54.1621095,54.166666666666664,4.56,1
52,51.99999999999962,54.9889325,54.96666666666667,22.27,1
53,52.99999999999959,55.809245,55.766666666666666,42.58,1
54,53.99999999999956,56.64127599999999,56.63333333333333,7.94,1
55,54.999999999999545,57.50260400000001,57.5,2.6,1
56,55.999999999999524,58.3665365,58.4,33.46,1
57,56.99999999999952,59.90234399999999,59.7,202.34,1
58,57.999999999999496,60.936198,60.266666666666666,669.53,1
59,58.9999999999995,61.867188,61.266666666666666,600.52,1
60,59.99999999999952,62.83203100000001,62.8,32.03,1
61,60.99999999999952,63.778646,63.733333333333334,45.31,1
62,61.99999999999951,64.72005200000001,64.73333333333333,13.28,1
63,62.999999999999496,65.77213499999999,65.73333333333333,38.8,1
64,63.99999999999945,66.78125,66.9,118.75,1
65,64.99999999999945,67.753906,67.36666666666666,387.24,1
66,65.9999999999994,68.769531,68.73333333333333,36.2,1
67,66.99999999999939,69.75650999999999,69.36666666666666,389.84,1
68,67.99999999999937,70.841797,70.83333333333333,8.46,1
69,68.99999999999933,71.9570315,71.86666666666666,90.36,1
70,69.99999999999933,73.048828,73.03333333333333,15.49,1
71,70.99999999999932,74.145833,73.63333333333334,512.5,1
72,71.99999999999932,75.3515625,75.3,51.56,1
73,72.9999999999993,76.558594,76.03333333333333,525.26,1
74,73.99999999999928,77.529948,76.9,629.95,1
75,74.99999999999929,78.501302,78.76666666666667,265.36,1
76,75.99999999999928,79.472656,79.63333333333334,160.68,1
77,76.99999999999926,80.346354,80.63333333333334,286.98,1
78,77.99999999999928,81.471354,82.13333333333334,661.98,1
79,78.99999999999923,82.71875,82.6,118.75,1
80,79.99999999999923,83.127604,83.13333333333334,5.73,1
81,80.99999999999923,84.182292,84.16666666666667,15.63,1
82,81.99999999999919,85.411458,85.06666666666666,344.79,1
83,82.99999999999922,86.33854149999998,86.36666666666666,28.13,1
84,83.99999999999918,87.28580699999998,87.3,14.19,1
85,84.99999999999918,88.210938,88.2,10.94,1
86,85.99999999999918,89.138672,89.26666666666667,127.99,1
87,86.99999999999913,90.050781,89.9,150.78,1
88,87.99999999999913,90.968099,90.63333333333334,334.77,1
89,88.99999999999913,91.90625,91.9,6.25,1
90,89.99999999999912,93.22981800000001,93.23333333333333,3.52,1
91,90.99999999999912,94.298503,93.5,798.5,1
92,91.99999999999912,95.367188,95.16666666666667,200.52,1
93,92.9999999999991,96.42643199999999,96.06666666666666,359.77,1
94,93.99999999999909,97.548828,97.63333333333334,84.51,1
95,94.99999999999909,98.595052,98.86666666666666,271.61,1
96,95.99999999999906,99.61849,99.63333333333334,14.84,1
97,96.99999999999905,100.53125,100.5,31.25,1
98,97.99999999999903,101.6035155,101.36666666666666,236.85,1
99,98.99999999999902,102.83919250000001,103.53333333333333,694.14,1
100,99.999999999999,103.888021,104.06666666666666,178.65,1
101,100.99999999999896,104.891927,104.9,8.07,1
102,101.99999999999893,105.933594,105.9,33.59,1
103,102.99999999999892,106.91406200000002,106.93333333333334,19.27,1
104,103.9999999999989,107.913411,107.9,13.41,1
105,104.99999999999888,108.9453125,109.03333333333333,88.02,1
106,105.99999999999886,109.966146,110.16666666666667,200.52,1
107,106.99999999999883,110.972656,111.1,127.34,1
108,107.9999999999988,111.984375,112.26666666666667,282.29,1
109,108.99999999999879,112.983073,113.13333333333334,150.26,1
110,109.99999999999878,113.99218799999998,114.0,7.81,1
111,110.99999999999874,115.220052,115.16666666666667,53.39,1
112,111.99999999999874,116.276042,117.26666666666667,990.62,1
113,112.99999999999876,117.389974,117.46666666666667,76.69,1
114,113.99999999999874,118.594401,118.63333333333334,38.93,1
115,114.99999999999872,119.684896,119.66666666666667,18.23,1
116,115.99999999999874,120.963542,119.86666666666666,1096.88,1
117,116.99999999999872,122.355469,122.16666666666667,188.8,1
118,117.9999999999987,123.677083,123.8,122.92,1
119,118.9999999999987,124.602214,124.1,502.21,1
120,119.9999999999987,125.699219,125.73333333333333,34.11,1
121,120.99999999999868,126.623698,126.53333333333333,90.36,1
122,121.99999999999869,127.498698,127.33333333333333,165.36,1
123,122.99999999999869,128.4440105,128.46666666666667,22.66,1
124,123.99999999999868,129.338542,129.46666666666667,128.12,1
125,124.99999999999865,130.2246095,129.93333333333334,291.28,1
126,125.99999999999865,131.285156,131.53333333333333,248.18,1
127,126.99999999999862,132.20703149999997,132.2,7.03,1
128,127.99999999999862,133.088542,133.16666666666666,78.12,1
129,128.9999999999986,134.044271,133.86666666666667,177.6,1
130,129.9999999999986,134.91536499999998,134.9,15.36,1
131,130.9999999999986,135.79947900000002,135.86666666666667,67.19,1
132,131.99999999999858,136.70638000000002,136.66666666666666,39.71,1
133,132.99999999999858,137.623698,138.43333333333334,809.64,1
134,133.99999999999858,138.49348999999998,138.63333333333333,139.84,1
135,134.99999999999858,139.45182250000002,139.56666666666666,114.84,1
136,135.99999999999855,140.332031,140.26666666666668,65.36,1
137,136.99999999999852,141.23111999999998,141.53333333333333,302.21,1
138,137.9999999999985,142.223958,142.16666666666666,57.29,1
139,138.99999999999855,143.1497395,142.96666666666667,183.07,1
140,139.99999999999855,144.063802,143.96666666666667,97.14,1
141,140.99999999999852,145.121094,145.1,21.09,1
142,141.99999999999855,146.070312,146.03333333333333,36.98,1
143,142.99999999999847,147.010417,146.9,110.42,1
144,143.9999999999985,148.011719,147.96666666666667,45.05,1
145,144.9999999999985,148.905599,149.0,94.4,1
146,145.9999999999985,149.828125,149.63333333333333,194.79,1
147,146.99999999999847,150.80013000000002,150.76666666666668,33.46,1
148,147.99999999999844,151.75,151.53333333333333,216.67,1
149,148.99999999999847,152.62955749999998,152.63333333333333,3.78,1
150,149.99999999999844,153.5826825,153.5,82.68,1
151,150.9999999999985,154.51302099999995,154.5,13.02,1
152,151.99999999999844,155.439453,155.36666666666667,72.79,1
153,152.99999999999838,156.422526,156.1,322.53,1
154,153.99999999999838,157.324219,156.96666666666667,357.55,1
155,154.99999999999838,158.29947900000005,157.93333333333334,366.15,1
156,155.99999999999838,159.277344,159.33333333333334,55.99,1
157,156.99999999999844,160.22070349999996,160.23333333333332,12.63,1
158,157.99999999999835,161.153646,161.13333333333333,20.31,1
159,158.99999999999835,162.156901,161.93333333333334,223.57,1
160,159.99999999999838,163.054688,163.06666666666666,11.98,1
161,160.99999999999838,164.0182295,163.8,218.23,1
162,161.99999999999835,165.0546875,165.13333333333333,78.65,1
163,162.99999999999832,166.049479,165.86666666666667,182.81,1
164,163.99791666666493,166.9433595,166.66666666666666,276.69,1
165,165.1249999999982,168.223307,168.1,123.31,1
166,166.12499999999818,169.119792,169.2,80.21,1
167,167.12499999999815,170.078776,170.03333333333333,45.44,1
168,168.12499999999818,171.03125,171.06666666666666,35.42,1
169,169.12499999999818,171.9609375,171.83333333333334,127.6,1
170,170.12499999999818,172.85286499999995,172.5,352.86,1
171,171.12499999999812,173.781901,173.8,18.1,1
172,172.12499999999812,174.654948,174.8,145.05,1
173,173.12499999999815,175.55859350000003,175.6,41.41,1
174,174.12499999999812,176.504557,176.66666666666666,162.11,1
175,175.1249999999981,177.451172,177.53333333333333,82.16,1
176,176.12291666666482,178.341146,178.5,158.85,1
177,177.1249999999982,179.341146,179.4,58.85,1
178,178.1249999999981,180.27474,180.3,25.26,1
179,179.12499999999793,181.167969,180.5,667.97,1
180,180.1249999999978,182.125,181.93333333333334,191.67,1
181,181.12499999999767,183.079427,183.23333333333332,153.91,1
182,182.12499999999756,184.0,183.43333333333334,566.67,1
183,183.1249999999974,185.084635,185.13333333333333,48.7,1
184,184.12499999999739,186.158854,186.2,41.15,1
185,185.12499999999727,187.2272135,187.26666666666668,39.45,1
186,186.12499999999716,188.8535155,188.93333333333334,79.82,1
187,187.12499999999716,190.089844,190.13333333333333,43.49,1
188,188.12499999999716,191.022135,191.1,77.87,1
189,189.12499999999716,192.027995,191.96666666666667,61.33,1
190,190.12499999999716,192.999349,193.13333333333333,133.98,1
191,191.12499999999713,193.938802,193.96666666666667,27.86,1
192,192.12499999999716,194.98112,195.0,18.88,1
193,193.12499999999716,195.907552,195.9,7.55,1
194,194.12499999999713,196.858073,196.93333333333334,75.26,1
195,195.12499999999713,197.81445349999998,198.06666666666666,252.21,1
196,196.12499999999713,198.77994750000002,198.4,379.95,1
197,197.12499999999716,199.770833,198.6,1170.83,1
198,198.12499999999713,201.0716145,198.83333333333334,2238.28,1
199,199.12499999999713,202.1744795,199.03333333333333,3141.15,1
200,200.12499999999713,203.111979,199.23333333333332,3878.65,1
201,201.1249999999971,204.0716145,201.6,2471.61,1
202,202.12499999999713,205.0436195,205.43333333333334,389.71,1
203,203.12499999999713,205.949219,205.8,149.22,1
204,204.1249999999971,206.9466145,206.93333333333334,13.28,1
205,205.1249999999971,207.936198,207.9,36.2,1
206,206.124999999997,208.938151,208.8,138.15,1
207,207.12499999999696,210.2734375,210.33333333333334,59.9,1
208,208.12499999999685,211.076823,211.03333333333333,43.49,1
209,209.1249999999968,211.894531,212.4,505.47,1
210,210.12499999999673,212.752604,213.23333333333332,480.73,1
211,211.12499999999662,213.565755,213.6,34.24,1
212,212.12499999999645,214.392578,214.63333333333333,240.76,1
213,213.12499999999633,215.232422,215.3,67.58,1
214,214.12499999999622,216.049479,215.93333333333334,116.15,1
215,215.12499999999605,216.848958,216.96666666666667,117.71,1
216,216.12499999999594,217.67252599999998,218.0,327.47,1
217,217.1249999999958,218.4752605,219.3,824.74,1
218,218.1249999999957,219.299479,219.53333333333333,233.85,1
219,219.12499999999554,220.13346349999998,220.5,366.54,1
220,220.12499999999542,220.989583,220.93333333333334,56.25,1
221,221.12499999999528,221.83203100000003,221.96666666666667,134.64,1
222,222.12499999999514,222.67513,222.86666666666667,191.54,1
223,223.12499999999503,223.5527345,223.66666666666666,113.93,1
224,224.12499999999488,224.507812,224.46666666666667,41.15,1
225,225.12499999999474,226.257812,225.6,657.81,1
226,226.1249999999947,227.402344,227.36666666666667,35.68,1
227,227.12499999999469,228.345052,228.33333333333334,11.72,1
228,228.12499999999469,229.295573,229.26666666666668,28.91,1
229,229.12499999999466,230.257812,230.26666666666668,8.85,1
230,230.12499999999463,231.28450550000002,231.26666666666668,17.84,1
231,231.1249999999946,232.904948,232.1,804.95,1
232,232.1249996374947,234.04947925,233.73333333333332,316.15,1
233,233.1249999999946,235.1940105,235.2,5.99,1
234,234.12499999999494,237.058594,236.53333333333333,525.26,1
235,235.12499999999454,238.0625,238.03333333333333,29.17,1
236,236.12499999999451,238.996094,238.96666666666667,29.43,1
237,237.1249999999945,239.954427,239.83333333333334,121.09,1
238,238.1249999999945,240.902344,240.76666666666668,135.68,1
239,239.12499999999446,241.86393199999998,241.83333333333334,30.6,1
240,240.12499999999443,242.82486949999998,242.8,24.87,1
241,241.1249999999944,243.787109,243.6,187.11,1
242,242.12499999999437,244.75325550000002,244.73333333333332,19.92,1
243,243.12499999999437,245.72591150000002,245.9,174.09,1
244,244.12499999999434,246.662109,246.7,37.89,1
245,245.1249999999943,247.732422,247.73333333333332,0.91,1
246,246.1249999999943,248.80533849999998,248.86666666666667,61.33,1
247,247.1249999999943,249.9140625,249.6,314.06,1
248,248.1249999999943,251.029297,250.96666666666667,62.63,1
249,249.12499999999412,252.20377599999998,252.16666666666666,37.11,1
250,250.12499999999412,253.42513,253.9,474.87,1
251,251.12499999999412,254.33724,254.93333333333334,596.09,1
