beat_idx,gt_beat,gt_time_s,pred_time_s,err_ms,ok
0,0.0,0.990625,0.0,990.62,1
1,1.0000000000000002,2.7878473333333336,0.4,2387.85,1
2,2.0000000000000004,4.585069666666667,0.8,3785.07,1
3,3.0000000000000004,6.382292,1.2,5182.29,1
4,4.0,7.675000000000002,1.6,6075.0,1
5,5.0,8.4453125,2.0,6445.31,1
6,6.0,9.1265625,2.4,6726.56,1
7,6.999999999999998,9.938542,2.8,7138.54,1
8,7.9999999999999964,11.165104,3.2,7965.1,1
9,8.999999999999993,12.3682295,3.6,8768.23,1
10,9.999999999999991,13.621875,4.0,9621.88,1
11,10.999999999999988,15.3885415,4.4,10988.54,1
12,11.999999999999988,17.31041675,4.8,12510.42,1
13,12.999999999999984,19.232292,5.2,14032.29,1
14,13.999999999999984,19.9875,5.6,14387.5,1
15,14.999999999999984,21.015625,6.0,15015.62,1
16,15.999999999999982,21.9369795,6.4,15536.98,1
17,16.999999999999982,23.575,6.8,16775.0,1
18,17.999999999999982,25.1359375,7.2,17935.94,1
19,18.999999999999982,26.086198,7.6,18486.2,1
20,19.999999999999982,27.0364585,8.0,19036.46,1
21,20.999999999999982,27.986719,8.4,19586.72,1
22,21.999999999999982,28.9369795,8.8,20136.98,1
23,22.999999999999982,30.44713575,9.2,21247.14,1
24,23.999999999999982,31.957291999999995,9.6,22357.29,1
25,24.999999999999982,33.1220836,10.0,23122.08,1
26,25.99999999999998,34.286875200000004,10.4,23886.88,1
27,26.99999999999998,35.4516668,10.8,24651.67,1
28,27.99999999999998,36.6164584,11.2,25416.46,1
29,30.999999999999936,37.78125,12.4,25381.25,1
30,33.99999999999994,39.763542,13.6,26163.54,1
31,36.99999999999995,41.234375,14.8,26434.38,1
32,39.99999999999995,42.776042,16.0,26776.04,1
33,42.999999999999936,44.675,17.2,27475.0,1
34,45.9999999999999,46.57395800000001,18.4,28173.96,1
35,48.9999999999999,48.041667,19.6,28441.67,1
36,51.9999999999999,49.615625,20.8,28815.62,1
37,54.99999999999989,51.5791665,22.0,29579.17,1
38,57.99999999999986,53.542708,23.2,30342.71,1
39,60.99999999999986,54.98125,24.4,30581.25,1
40,63.999999999999886,56.348958,25.6,30748.96,1
41,66.99999999999986,57.66875,26.8,30868.75,1
42,69.99999999999983,59.923958,28.0,31923.96,1
43,72.99999999999983,61.311458,29.2,32111.46,1
44,75.99999999999983,62.904167,30.4,32504.17,1
45,78.99999999999983,64.928646,31.6,33328.65,1
46,81.99999999999979,66.953125,32.8,34153.12,1
47,84.99999999999979,68.304167,34.0,34304.17,1
48,87.99999999999974,69.701042,35.2,34501.04,1
49,90.99999999999973,71.440625,36.4,35040.62,1
50,93.99999999999991,73.180208,37.6,35580.21,1
51,96.9999999999999,74.528125,38.8,35728.13,1
52,99.9999999999999,75.95729200000002,40.0,35957.29,1
53,102.99999999999982,77.94583349999998,41.2,36745.83,1
54,106.00000000000003,79.934375,42.4,37534.38,1
55,108.99999999999994,81.272917,43.6,37672.92,1
56,111.99999999999991,82.820833,44.8,38020.83,1
57,114.99999999999991,84.517708,46.0,38517.71,1
58,117.99999999999983,85.711458,47.2,38511.46,1
59,120.99999999999974,86.908333,48.4,38508.33,1
60,123.9999999999998,88.6390625,49.6,39039.06,1
61,126.99999999999972,90.097396,50.8,39297.4,1
62,129.9999999999997,91.261979,52.0,39261.98,1
63,132.99999999999966,92.044792,53.2,38844.79,1
64,135.9999999999996,93.985417,54.4,39585.42,1
65,138.99999999999955,95.222917,55.6,39622.92,1
66,141.99999999999952,96.5760415,56.8,39776.04,1
67,144.9999999999995,98.077083,58.0,40077.08,1
68,147.99999999999943,99.760417,59.2,40560.42,1
69,150.9999999999994,101.184896,60.4,40784.9,1
70,153.9999999999994,102.3364585,61.6,40736.46,1
71,156.99999999999935,103.5994795,62.8,40799.48,1
72,159.9999999999993,105.06875,64.0,41068.75,1
73,162.99999999999923,106.489583,65.2,41289.58,1
74,165.9999999999992,107.625,66.4,41225.0,1
75,168.9999999999992,108.816667,67.6,41216.67,1
76,171.9999999999992,110.5671875,68.8,41767.19,1
77,174.9999999999992,112.447917,70.0,42447.92,1
78,177.99999999999926,115.2546875,71.2,44054.69,1
79,180.99999999999918,117.45625,72.4,45056.25,1
80,183.99999999999892,119.104167,73.6,45504.17,1
81,186.99999999999903,120.832292,74.8,46032.29,1
82,189.999999999999,122.447396,76.0,46447.4,1
83,192.99999999999898,124.3208335,77.2,47120.83,1
84,195.99999999999898,126.9078125,78.4,48507.81,1
85,198.99999999999883,129.355208,79.6,49755.21,1
