beat_idx,gt_beat,gt_time_s,pred_time_s,err_ms,ok
0,0.0,1.0058595,0.0,1005.86,1
1,1.0000000000000002,2.3029515,0.4,1902.95,1
2,2.0000000000000004,3.6000435,0.8,2800.04,1
3,3.0000000000000004,4.8971355,1.2,3697.14,1
4,4.0,5.8085939999999985,1.6,4208.59,1
5,5.0,6.515625,2.0,4515.62,1
6,6.0,7.1777345,2.4,4777.73,1
7,6.999999999999998,7.877604499999999,2.8,5077.6,1
8,7.9999999999999964,8.881510500000003,3.2,5681.51,1
9,8.999999999999993,9.895182,3.6,6295.18,1
10,9.999999999999991,10.996094,4.0,6996.09,1
11,10.999999999999988,12.6959635,4.4,8295.96,1
12,11.999999999999988,14.61555975,4.8,9815.56,1
13,12.999999999999984,16.535156,5.2,11335.16,1
14,13.999999999999984,17.220052000000006,5.6,11620.05,1
15,14.999999999999984,18.057942999999998,6.0,12057.94,1
16,15.999999999999982,19.373698,6.4,12973.7,1
17,16.999999999999982,21.2089845,6.8,14408.98,1
18,17.999999999999982,23.1770835,7.2,15977.08,1
19,18.999999999999982,24.500976625,7.6,16900.98,1
20,19.999999999999982,25.82486975,8.0,17824.87,1
21,20.999999999999982,27.14876287500001,8.4,18748.76,1
22,21.999999999999982,28.472656,8.8,19672.66,1
23,22.999999999999982,29.81380200000001,9.2,20613.8,1
24,23.999999999999982,31.154948,9.6,21554.95,1
25,24.999999999999982,32.415364600000004,10.0,22415.36,1
26,25.99999999999998,33.6757812,10.4,23275.78,1
27,26.99999999999998,34.936197799999995,10.8,24136.2,1
28,27.99999999999998,36.196614399999994,11.2,24996.61,1
29,30.999999999999936,37.457031,12.4,25057.03,1
30,33.99999999999994,39.539062,13.6,25939.06,1
31,36.99999999999995,40.898438,14.8,26098.44,1
32,39.99999999999995,42.348958,16.0,26348.96,1
33,42.999999999999936,44.0449215,17.2,26844.92,1
34,45.9999999999999,45.740885,18.4,27340.88,1
35,48.9999999999999,46.947917,19.6,27347.92,1
36,51.9999999999999,48.41276,20.8,27612.76,1
37,54.99999999999989,50.065755,22.0,28065.76,1
38,57.99999999999986,51.71875,23.2,28518.75,1
39,60.99999999999986,53.044271,24.4,28644.27,1
40,63.999999999999886,54.388021,25.6,28788.02,1
41,66.99999999999986,56.33072900000001,26.8,29530.73,1
42,69.99999999999983,58.585938,28.0,30585.94,1
43,72.99999999999983,59.914062,29.2,30714.06,1
44,75.99999999999983,61.58072900000001,30.4,31180.73,1
45,78.99999999999983,63.61979150000001,31.6,32019.79,1
46,81.99999999999979,65.658854,32.8,32858.85,1
47,84.99999999999979,67.06900999999999,34.0,33069.01,1
48,87.99999999999974,68.497396,35.2,33297.4,1
49,90.99999999999973,70.18424499999999,36.4,33784.24,1
50,93.99999999999991,71.871094,37.6,34271.09,1
51,96.9999999999999,73.122396,38.8,34322.4,1
52,99.9999999999999,74.609375,40.0,34609.38,1
53,102.99999999999982,76.216797,41.2,35016.8,1
54,106.00000000000003,77.824219,42.4,35424.22,1
55,108.99999999999994,79.19661500000002,43.6,35596.62,1
56,111.99999999999991,80.582031,44.8,35782.03,1
57,114.99999999999991,81.996094,46.0,35996.09,1
58,117.99999999999983,83.154948,47.2,35954.95,1
59,120.99999999999974,84.41275999999998,48.4,36012.76,1
60,123.9999999999998,85.8808595,49.6,36280.86,1
61,126.99999999999972,87.0709635,50.8,36270.96,1
62,129.9999999999997,88.125651,52.0,36125.65,1
63,132.99999999999966,88.873698,53.2,35673.7,1
64,135.9999999999996,91.03776,54.4,36637.76,1
65,138.99999999999955,92.289062,55.6,36689.06,1
66,141.99999999999952,93.639974,56.8,36839.97,1
67,144.9999999999995,94.889974,58.0,36889.97,1
68,147.99999999999943,96.352865,59.2,37152.86,1
69,150.9999999999994,97.83724,60.4,37437.24,1
70,153.9999999999994,99.4908855,61.6,37890.89,1
71,156.99999999999935,101.0742185,62.8,38274.22,1
72,159.9999999999993,102.417969,64.0,38417.97,1
73,162.99999999999923,103.851562,65.2,38651.56,1
74,165.9999999999992,105.282552,66.4,38882.55,1
75,168.9999999999992,106.653646,67.6,39053.65,1
76,171.9999999999992,108.4596355,68.8,39659.64,1
77,174.9999999999992,110.196615,70.0,40196.61,1
78,177.99999999999926,111.998698,71.2,40798.7,1
79,180.99999999999918,114.16406200000002,72.4,41764.06,1
80,183.99999999999892,116.311198,73.6,42711.2,1
81,186.99999999999903,118.036458,74.8,43236.46,1
82,189.999999999999,119.472656,76.0,43472.66,1
83,192.99999999999898,121.2591145,77.2,44059.11,1
84,195.99999999999898,123.609375,78.4,45209.37,1
85,198.99999999999883,126.199219,79.6,46599.22,1
86,201.99999999999878,128.10286499999998,80.8,47302.86,1
87,204.99999999999872,129.78776000000002,82.0,47787.76,1
88,207.99999999999864,131.458333,83.2,48258.33,1
89,210.99999999999855,132.934896,84.4,48534.9,1
90,213.99999999999852,134.364583,85.6,48764.58,1
91,216.99999999999847,135.786458,86.8,48986.46,1
92,219.99999999999835,137.41276000000002,88.0,49412.76,1
93,222.99999999999818,138.794922,90.66666666666667,48128.26,1
94,225.99999999999812,140.01171850000003,91.06666666666666,48945.05,1
95,228.99999999999807,141.0911455,91.46666666666667,49624.48,1
96,231.99999999999807,142.1184895,92.2,49918.49,1
97,234.999999999998,142.99804650000004,94.4,48598.05,1
98,237.999999999998,143.733073,95.9,47833.07,1
99,240.99999999999807,144.449219,96.6,47849.22,1
100,243.9999999999979,145.128906,101.33333333333333,43795.57,1
101,246.9999999999967,145.796224,103.66666666666667,42129.56,1
102,249.99999999999716,146.42447900000005,104.13333333333334,42291.15,1
103,252.9999999999976,147.072917,104.96666666666667,42106.25,1
104,255.9999999999976,147.692708,105.26666666666667,42426.04,1
105,258.99999999999807,148.370443,105.56666666666666,42803.78,1
106,261.9999999999985,149.01041650000005,106.03333333333333,42977.08,1
107,264.999999999999,149.674479,107.7,41974.48,1
108,267.999999999999,150.528646,110.0,40528.65,1
109,270.999999999999,151.4088545,110.73333333333333,40675.52,1
110,273.9999999999985,152.061198,111.33333333333333,40727.86,1
111,276.9999999999985,152.611328,113.5,39111.33,1
112,279.99999999999807,153.197917,115.1,38097.92,1
113,282.99999999999807,153.703125,115.93333333333334,37769.79,1
114,285.99999999999807,154.251302,122.9,31351.3,1
115,288.99999999999807,154.75,125.6,29150.0,1
116,291.99999999999807,155.317708,127.46666666666667,27851.04,1
117,294.99999999999807,155.828125,129.8,26028.12,1
118,297.99999999999807,156.38151000000005,130.76666666666668,25614.84,1
119,300.99999999999807,157.0,133.23333333333332,23766.67,1
120,303.99999999999807,157.70442749999995,133.63333333333333,24071.09,1
121,306.99999999999807,158.3847655,135.56666666666666,22818.1,1
122,309.99999999999807,159.0410155,137.0,22041.02,1
123,312.99999999999807,159.688151,138.8,20888.15,1
124,315.99999999999807,160.526042,140.03333333333333,20492.71,1
125,318.99999999999807,161.235677,140.33333333333334,20902.34,1
126,321.9999999999984,161.91536499999995,140.63333333333333,21282.03,1
127,324.9999999999984,162.549479,141.03333333333333,21516.15,1
128,327.9999999999984,163.22786499999995,142.16666666666666,21061.2,1
129,330.9999999999984,163.848958,145.5,18348.96,1
130,333.9999999999984,164.535156,146.4,18135.16,1
131,336.9999999999984,165.183594,147.7,17483.59,1
132,339.9999999999984,165.966146,148.33333333333334,17632.81,1
133,342.9999999999984,166.651042,148.63333333333333,18017.71,1
134,345.99999999999875,167.307292,148.93333333333334,18373.96,1
135,348.99999999999875,167.934896,149.43333333333334,18501.56,1
136,351.99999999999875,168.673177,152.66666666666666,16006.51,1
137,354.99999999999875,169.339844,152.96666666666667,16373.18,1
138,357.9999999999991,170.13411499999995,153.43333333333334,16700.78,1
139,360.99999999999903,170.917969,154.63333333333333,16284.64,1
140,363.9999999999989,172.32356750000002,155.83333333333334,16490.23,1
141,366.9999999999995,173.447917,158.8,14647.92,1
142,370.0000000000001,175.036458,166.8,8236.46,1
143,373.00000000000006,177.2154945,167.96666666666667,9248.83,1
144,376.0000000000001,179.394531,169.16666666666666,10227.86,1
145,379.0000000000001,181.04394525,170.36666666666667,10677.28,1
146,382.0000000000001,182.6933595,171.56666666666666,11126.69,1
147,385.0000000000001,185.171875,172.76666666666668,12405.21,1
148,388.00000000000006,188.264323,173.96666666666667,14297.66,1
149,391.00000000000006,189.765625,175.16666666666666,14598.96,1
150,394.00000000000006,191.2623695,176.36666666666667,14895.7,1
151,397.00000000000006,192.567708,177.56666666666666,15001.04,1
152,400.00000000000006,193.83724,178.76666666666668,15070.57,1
153,403.00000000000006,194.800781,179.96666666666667,14834.11,1
154,406.00000000000006,195.9934895,181.16666666666666,14826.82,1
155,409.00000000000006,197.1184895,182.36666666666667,14751.82,1
156,412.00000000000006,198.4772135,183.56666666666666,14910.55,1
157,415.00000000000034,199.7884115,184.76666666666668,15021.74,1
158,418.00000000000034,200.910156,185.96666666666667,14943.49,1
159,421.00000000000034,201.917969,187.16666666666666,14751.3,1
160,424.00000000000034,203.13737,188.36666666666667,14770.7,1
161,427.00000000000034,204.144531,189.56666666666666,14577.86,1
162,430.00000000000034,205.2395835,190.76666666666668,14472.92,1
163,433.00000000000034,206.372396,191.96666666666667,14405.73,1
164,436.00000000000034,208.171875,193.16666666666666,15005.21,1
165,439.00000000000034,209.467448,194.36666666666667,15100.78,1
166,442.00000000000034,210.8828125,195.56666666666666,15316.15,1
167,445.00000000000034,212.105469,196.76666666666668,15338.8,1
168,448.00000000000034,213.269531,197.96666666666667,15302.86,1
169,451.00000000000034,214.183594,199.16666666666666,15016.93,1
170,454.00000000000034,215.30403650000002,200.36666666666667,14937.37,1
171,457.00000000000034,216.4492185,201.56666666666666,14882.55,1
172,460.0000000000007,218.3372395,202.76666666666668,15570.57,1
173,463.0000000000007,219.921875,203.96666666666667,15955.21,1
174,466.0000000000007,221.209635,205.16666666666666,16042.97,1
175,469.0000000000007,222.7929685,206.36666666666667,16426.3,1
176,472.00000000000097,226.10872400000002,207.56666666666666,18542.06,1
177,475.00000000000097,227.895833,208.76666666666668,19129.17,1
178,478.00000000000097,229.722005,209.96666666666667,19755.34,1
179,481.00000000000097,231.154948,211.16666666666666,19988.28,1
180,484.00000000000097,232.7382815,212.36666666666667,20371.61,1
181,487.00000000000097,234.098958,213.56666666666666,20532.29,1
182,490.00000000000097,235.41471349999998,214.76666666666668,20648.05,1
183,493.00000000000125,236.8710935,215.96666666666667,20904.43,1
184,496.0000000000016,238.62825550000002,217.16666666666666,21461.59,1
185,499.0000000000016,240.497396,218.36666666666667,22130.73,1
186,502.0000000000016,242.02669300000002,219.56666666666666,22460.03,1
187,505.0000000000019,243.419271,220.76666666666668,22652.6,1
188,508.0000000000019,244.666667,221.96666666666667,22700.0,1
189,511.00000000000216,245.89974,223.16666666666666,22733.07,1
190,514.0000000000022,247.36848999999998,224.36666666666667,23001.82,1
191,517.0000000000025,248.752604,225.56666666666666,23185.94,1
192,520.0000000000028,250.37109350000003,226.76666666666668,23604.43,1
193,523.0000000000028,251.915365,227.96666666666667,23948.7,1
194,526.0000000000028,253.2923175,229.16666666666666,24125.65,1
