beat_idx,gt_beat,gt_time_s,pred_time_s,err_ms,ok
0,0.0,0.9876305000000001,0.0,987.63,1
1,1.0000000000000002,1.9105904999999999,0.4,1510.59,1
2,2.0000000000000004,2.8335505000000003,0.8,2033.55,1
3,3.0000000000000004,3.756510500000001,1.2,2556.51,1
4,4.0,4.455078,1.6,2855.08,1
5,5.0,5.028646,2.0,3028.65,1
6,6.0,5.6321615000000005,2.4,3232.16,1
7,6.999999999999998,6.299479,2.8,3499.48,1
8,7.9999999999999964,7.083984000000001,3.2,3883.98,1
9,8.999999999999993,7.810546499999999,3.6,4210.55,1
10,9.999999999999991,8.837239499999997,4.0,4837.24,1
11,10.999999999999988,10.495443,4.4,6095.44,1
12,11.999999999999988,11.71451825,4.8,6914.52,1
13,12.999999999999984,12.9335935,5.2,7733.59,1
14,13.999999999999984,13.567708499999998,5.6,7967.71,1
15,14.999999999999984,14.451823,6.0,8451.82,1
16,15.999999999999982,15.330729000000002,6.4,8930.73,1
17,16.999999999999982,16.564453,6.8,9764.45,1
18,17.999999999999982,18.404948,7.2,11204.95,1
19,18.999999999999982,19.355306,7.6,11755.31,1
20,19.999999999999982,20.305664,8.0,12305.66,1
21,20.999999999999982,21.256022,8.4,12856.02,1
22,21.999999999999982,22.20638000000001,8.8,13406.38,1
23,22.999999999999982,23.03255200000001,9.2,13832.55,1
24,23.999999999999982,23.858724,9.6,14258.72,1
25,24.999999999999982,24.784375,10.0,14784.38,1
26,25.99999999999998,25.710026,10.4,15310.03,1
27,26.99999999999998,26.635677,10.8,15835.68,1
28,27.99999999999998,27.561328000000003,11.2,16361.33,1
29,30.999999999999936,28.486979,29.033333333333335,546.35,1
30,33.99999999999994,30.34505200000001,30.333333333333332,11.72,1
31,36.99999999999995,32.385417,32.4,14.58,1
32,39.99999999999995,34.028646,34.0,28.65,1
33,42.999999999999936,35.8001305,35.13333333333333,666.8,1
34,45.9999999999999,37.571615,36.233333333333334,1338.28,1
35,48.9999999999999,38.963542,39.0,36.46,1
36,51.9999999999999,40.445312,40.46666666666667,21.35,1
37,54.99999999999989,42.0266925,42.5,473.31,1
38,57.99999999999986,43.608073,43.6,8.07,1
39,60.99999999999986,45.191406,45.36666666666667,175.26,1
40,63.999999999999886,46.894531,46.56666666666667,327.86,1
41,66.99999999999986,48.967448,47.766666666666666,1200.78,1
42,69.99999999999983,50.794271,50.63333333333333,160.94,1
43,72.99999999999983,52.199219,52.266666666666666,67.45,1
44,75.99999999999983,53.72526,53.766666666666666,41.41,1
45,78.99999999999983,55.49674450000001,54.766666666666666,730.08,1
46,81.99999999999979,57.26822900000001,57.3,31.77,1
47,84.99999999999979,58.608073,58.766666666666666,158.59,1
48,87.99999999999974,59.985677,59.5,485.68,1
49,90.99999999999973,61.4622395,61.2,262.24,1
50,93.99999999999991,62.938802,62.96666666666667,27.86,1
51,96.9999999999999,64.294271,64.4,105.73,1
52,99.9999999999999,65.941406,65.93333333333334,8.07,1
53,102.99999999999982,67.860026,68.13333333333334,273.31,1
54,106.00000000000003,69.778646,69.76666666666667,11.98,1
55,108.99999999999994,71.833333,71.26666666666667,566.67,1
56,111.99999999999991,73.97786500000002,73.63333333333334,344.53,1
57,114.99999999999991,76.001302,75.96666666666667,34.64,1
58,117.99999999999983,77.580729,77.13333333333334,447.4,1
59,120.99999999999974,79.125,78.4,725.0,1
60,123.9999999999998,81.1028645,80.36666666666666,736.2,1
61,126.99999999999972,82.4290365,81.93333333333334,495.7,1
62,129.9999999999997,83.6113285,83.56666666666666,44.66,1
63,132.99999999999966,84.67838499999998,84.7,21.62,1
64,135.9999999999996,86.22786500000002,86.2,27.87,1
65,138.99999999999955,87.747396,87.73333333333333,14.06,1
66,141.99999999999952,89.65299499999998,88.96666666666667,686.33,1
67,144.9999999999995,91.204427,91.23333333333333,28.91,1
68,147.99999999999943,92.49349,92.36666666666666,126.82,1
69,150.9999999999994,93.777344,93.83333333333333,55.99,1
70,153.9999999999994,95.3671875,95.4,32.81,1
71,156.99999999999935,96.686198,96.83333333333333,147.14,1
72,159.9999999999993,97.891927,97.83333333333333,58.59,1
73,162.99999999999923,99.141927,99.03333333333333,108.59,1
74,165.9999999999992,100.786458,100.36666666666666,419.79,1
75,168.9999999999992,102.378906,101.8,578.91,1
76,171.9999999999992,104.3046875,104.23333333333333,71.35,1
77,174.9999999999992,106.580729,105.83333333333333,747.4,1
78,177.99999999999926,107.973307,106.36666666666666,1606.64,1
79,180.99999999999918,109.419271,109.2,219.27,1
80,183.99999999999892,111.421875,111.43333333333334,11.46,1
81,186.99999999999903,112.738281,113.03333333333333,295.05,1
82,189.999999999999,113.951823,114.1,148.18,1
83,192.99999999999898,115.291667,115.26666666666667,25.0,1
84,195.99999999999898,117.244792,116.96666666666667,278.13,1
85,198.99999999999883,119.122396,118.76666666666667,355.73,1
86,201.99999999999878,120.598958,120.76666666666667,167.71,1
87,204.99999999999872,121.86718799999998,121.86666666666666,0.52,1
88,207.99999999999864,123.130208,123.2,69.79,1
89,210.99999999999855,124.365885,124.16666666666667,199.22,1
90,213.99999999999852,125.589844,125.46666666666667,123.18,1
91,216.99999999999847,126.602865,126.43333333333334,169.53,1
92,219.99999999999835,127.677083,127.73333333333333,56.25,1
93,222.99999999999818,128.7721355,128.73333333333332,38.8,1
94,225.99999999999812,129.7578125,130.06666666666666,308.85,1
95,228.99999999999807,130.6783855,130.6,78.39,1
96,231.99999999999807,131.5227865,131.6,77.21,1
97,234.999999999998,132.266276,132.23333333333332,32.94,1
98,237.999999999998,132.963542,132.96666666666667,3.12,1
99,240.99999999999807,133.597656,134.66666666666666,1069.01,1
100,243.9999999999979,134.18424499999998,134.93333333333334,749.09,1
101,246.9999999999967,134.76432250000002,135.86666666666667,1102.34,1
102,249.99999999999716,135.3352865,137.7,2364.71,1
103,252.9999999999976,135.871094,138.8,2928.91,1
104,255.9999999999976,136.4557295,140.33333333333334,3877.6,1
