beat_idx,gt_beat,gt_time_s,pred_time_s,err_ms,ok
0,0.5000000000000001,1.436198,0.06666666666666667,1369.53,1
1,2.0000000000000004,2.399089,0.26666666666666666,2132.42,1
2,3.5,3.34375,0.5,2843.75,1
3,5.0,4.441406,0.7,3741.41,1
4,6.5,5.511068,0.9333333333333333,4577.73,1
5,8.000000000000002,6.59375,6.3,293.75,1
6,9.5,7.695963000000001,7.5,195.96,1
7,11.000000000000004,8.736979,8.6,136.98,1
8,12.500000000000007,9.741537,9.466666666666667,274.87,1
9,14.000000000000009,10.798177,10.766666666666667,31.51,1
10,15.500000000000012,11.826172,11.566666666666666,259.51,1
11,17.000000000000014,12.792969,12.933333333333334,140.36,1
12,18.500000000000018,13.750651,13.733333333333333,17.32,1
13,20.000000000000018,14.729817,14.866666666666667,136.85,1
14,21.50000000000002,15.688802,15.733333333333333,44.53,1
15,23.00000000000002,16.642578,16.766666666666666,124.09,1
16,24.500000000000025,17.639974,17.7,60.03,1
17,26.000000000000025,18.666016,18.5,166.02,1
18,27.500000000000032,19.894531,18.8,1094.53,1
19,29.000000000000036,20.83073,19.033333333333335,1797.4,1
20,30.50000000000004,21.734375,20.833333333333332,901.04,1
21,32.00000000000004,22.726562,22.466666666666665,259.9,1
22,33.50000000000004,23.739583,23.533333333333335,206.25,1
23,35.00000000000004,24.770833,24.666666666666668,104.17,1
24,36.50000000000005,25.782552,25.2,582.55,1
25,38.00000000000004,26.768229,26.8,31.77,1
26,39.50000000000005,27.77474,28.5,725.26,1
27,41.00000000000004,28.742188,28.866666666666667,124.48,1
28,42.500000000000036,29.682943,29.7,17.06,1
29,44.00000000000003,30.656901,30.633333333333333,23.57,1
30,45.50000000000003,31.611979,31.433333333333334,178.65,1
31,47.000000000000014,32.551433,32.13333333333333,418.1,1
32,48.50000000000001,33.532552,33.5,32.55,1
33,50.0,34.559896,34.4,159.9,1
34,51.5,35.944011,35.233333333333334,710.68,1
35,52.99999999999999,36.903646,36.53333333333333,370.31,1
36,54.499999999999986,37.759766,37.9,140.23,1
37,55.999999999999964,38.927083,38.6,327.08,1
38,57.499999999999964,39.84375,39.833333333333336,10.42,1
39,58.99999999999996,40.777344,40.4,377.34,1
40,60.49999999999995,41.744866,41.733333333333334,11.53,1
41,61.999999999999936,42.6875,42.266666666666666,420.83,1
42,63.499999999999915,43.920573,44.06666666666667,146.09,1
43,64.99999999999991,44.844401,44.833333333333336,11.07,1
44,66.49999999999991,45.771484,45.733333333333334,38.15,1
45,67.9999999999999,46.694662,46.666666666666664,28.0,1
46,69.4999999999999,47.573568,47.53333333333333,40.23,1
47,70.9999999999999,48.466146,48.46666666666667,0.52,1
48,72.49999999999987,49.506511,49.5,6.51,1
49,73.99999999999987,50.490886,50.46666666666667,24.22,1
50,75.49999999999987,51.52474,51.6,75.26,1
51,76.99999999999984,52.514323,52.53333333333333,19.01,1
52,78.49999999999986,53.490885,53.13333333333333,357.55,1
53,79.99999999999984,54.474609,54.43333333333333,41.28,1
54,81.49999999999984,55.49349,55.5,6.51,1
55,82.99999999999983,56.498698,56.36666666666667,132.03,1
56,84.4999999999998,57.51888100000001,57.36666666666667,152.21,1
57,85.9999999999998,58.533203,58.63333333333333,100.13,1
58,87.49999999999979,59.539063,59.5,39.06,1
59,88.99999999999977,60.497396,60.36666666666667,130.73,1
60,90.49999999999974,61.429688,61.43333333333333,3.65,1
61,91.99999999999973,62.383464,62.53333333333333,149.87,1
62,93.49999999999972,63.332682,63.3,32.68,1
63,94.99999999999972,64.278645,63.86666666666667,411.98,1
64,96.4999999999997,65.250651,65.3,49.35,1
65,97.99999999999969,66.458334,65.93333333333334,525.0,1
66,99.49999999999964,67.389323,67.16666666666667,222.66,1
67,100.99999999999963,68.271485,68.23333333333333,38.15,1
68,102.49999999999963,69.149089,69.13333333333334,15.76,1
69,103.9999999999996,70.021484,69.96666666666667,54.82,1
70,105.49999999999959,70.89518199999998,70.86666666666666,28.52,1
71,106.99999999999959,71.78125,71.76666666666667,14.58,1
72,108.49999999999956,72.781901,72.56666666666666,215.23,1
73,109.99999999999955,73.721354,73.73333333333333,11.98,1
74,111.49999999999953,74.746094,74.3,446.09,1
75,112.99999999999952,75.83138000000002,75.83333333333333,1.95,1
76,114.4999999999995,76.753906,77.0,246.09,1
77,115.9999999999995,77.684896,77.6,84.9,1
78,117.49999999999946,78.697917,78.23333333333333,464.58,1
79,118.99999999999946,79.914912,79.06666666666666,848.25,1
80,120.49999999999945,80.89974000000002,81.16666666666667,266.93,1
81,121.99999999999942,81.876302,81.66666666666667,209.64,1
82,123.4999999999994,82.929688,82.7,229.69,1
83,124.99999999999939,83.88086,83.53333333333333,347.53,1
84,126.49999999999936,84.869141,84.83333333333333,35.81,1
85,127.99999999999936,85.819011,85.66666666666667,152.34,1
86,129.49999999999935,86.795573,86.6,195.57,1
87,130.99999999999932,87.738281,87.6,138.28,1
88,132.49999999999932,88.740886,88.53333333333333,207.55,1
89,133.9999999999993,90.56901,89.83333333333333,735.68,1
90,135.4999999999993,91.674479,90.6,1074.48,1
91,136.99999999999926,92.634115,91.93333333333334,700.78,1
92,138.99999999999926,94.125,93.63333333333334,491.67,1
93,140.99999999999926,97.494792,94.4,3094.79,1
94,142.49999889999765,98.16276,95.56666666666666,2596.09,1
95,143.9999999999988,98.744792,97.16666666666667,1578.13,1
96,145.4999988999977,99.346354,100.26666666666667,920.31,1
97,146.99999999999878,100.140625,100.43333333333334,292.71,1
98,148.49999889999768,100.734375,100.56666666666666,167.71,1
99,149.9999999999988,101.28125,101.33333333333333,52.08,1
100,151.4999988999977,101.878906,102.33333333333333,454.43,1
101,152.99999999999878,102.639974,107.53333333333333,4893.36,1
102,154.49999889999773,103.191406,108.36666666666666,5175.26,1
103,155.99999999999883,103.720052,109.4,5679.95,1
104,157.50000109999993,104.255208,109.5,5244.79,1
105,158.9999999999989,104.761719,109.6,4838.28,1
106,160.4999988999978,105.31901,109.7,4380.99,1
107,161.9999999999989,105.82031299999998,109.83333333333333,4013.02,1
108,163.4999988999978,106.338542,109.93333333333334,3594.79,1
109,164.9999999999989,107.171875,110.26666666666667,3094.79,1
110,166.4999988999978,107.776042,110.96666666666667,3190.62,1
111,167.9999999999989,108.319011,113.2,4880.99,1
112,169.49999889999785,108.921224,113.86666666666666,4945.44,1
113,170.99999999999892,109.69531299999998,114.63333333333334,4938.02,1
114,172.49999889999782,110.263021,114.73333333333333,4470.31,1
115,173.99999999999895,110.792969,115.6,4807.03,1
116,175.50000110000005,111.382161,117.5,6117.84,1
117,176.99999999999892,112.13151,119.6,7468.49,1
118,178.4999988999979,112.692708,122.1,9407.29,1
119,179.99999999999923,113.201172,127.3,14098.83,1
120,181.49999889999836,113.753906,129.33333333333334,15579.43,1
121,182.99999999999963,114.27343799999998,129.43333333333334,15159.9,1
122,184.4999988999988,114.8125,130.3,15487.5,1
123,186.00000000000006,115.319661,131.0,15680.34,1
124,187.49999889999907,115.901042,132.0,16098.96,1
125,189.00000000000043,116.571615,133.03333333333333,16461.72,1
126,190.49999889999935,117.1875,137.56666666666666,20379.17,1
127,192.0000000000005,117.839844,137.76666666666668,19926.82,1
128,193.4999988999994,118.428385,138.16666666666666,19738.28,1
