beat_idx,gt_beat,gt_time_s,pred_time_s,err_ms,ok
0,0.5000000000000001,1.191406,0.06666666666666667,1124.74,1
1,2.0000000000000004,2.360026,0.26666666666666666,2093.36,1
2,3.5,3.4869790000000003,0.7666666666666667,2720.31,1
3,5.0,4.795573,0.9666666666666667,3828.91,1
4,6.5,5.966146,5.6,366.15,1
5,8.000000000000002,7.14388,6.6,543.88,1
6,9.5,8.328125,8.1,228.13,1
7,11.000000000000004,9.579427,9.333333333333334,246.09,1
8,12.500000000000007,10.758463,10.2,558.46,1
9,14.000000000000009,12.00651,11.733333333333333,273.18,1
10,15.500000000000012,13.507160999999998,12.7,807.16,1
11,17.000000000000014,14.701172,14.633333333333333,67.84,1
12,18.500000000000018,15.895182,15.866666666666667,28.52,1
13,20.000000000000018,17.055989999999998,17.1,44.01,1
14,21.50000000000002,18.273438,18.266666666666666,6.77,1
15,23.00000000000002,19.48763,19.566666666666666,79.04,1
16,24.500000000000025,20.682943,20.333333333333332,349.61,1
17,26.000000000000025,22.088542,21.8,288.54,1
18,27.500000000000032,23.627604,22.333333333333332,1294.27,1
19,29.000000000000036,24.776692,22.933333333333334,1843.36,1
20,30.50000000000004,25.91276,24.0,1912.76,1
21,32.00000000000004,27.048177000000006,26.066666666666666,981.51,1
22,33.50000000000004,28.234375,28.066666666666666,167.71,1
23,35.00000000000004,29.529948,29.433333333333334,96.61,1
24,36.50000000000005,30.676433000000007,30.066666666666666,609.77,1
25,38.00000000000004,31.913411,31.966666666666665,53.26,1
26,39.50000000000005,33.408855,32.36666666666667,1042.19,1
27,41.00000000000004,34.597656,34.6,2.34,1
28,42.500000000000036,35.821615,35.8,21.62,1
29,44.00000000000003,37.020834,36.96666666666667,54.17,1
30,45.50000000000003,38.223307,38.2,23.31,1
31,47.000000000000014,39.455078,39.4,55.08,1
32,48.50000000000001,40.698568,40.666666666666664,31.9,1
33,50.0,42.099609,41.9,199.61,1
34,51.5,43.610677,43.0,610.68,1
35,52.99999999999999,44.772135,44.63333333333333,138.8,1
36,54.499999999999986,46.119773,45.766666666666666,353.11,1
37,55.999999999999964,47.359375,46.7,659.37,1
38,57.499999999999964,48.565104,48.43333333333333,131.77,1
39,58.99999999999996,49.817708,49.46666666666667,351.04,1
40,60.49999999999995,51.256082,50.86666666666667,389.42,1
41,61.999999999999936,52.64453100000001,52.56666666666667,77.86,1
42,63.499999999999915,54.250651,54.4,149.35,1
43,64.99999999999991,55.452263,55.4,52.26,1
44,66.49999999999991,56.66755,56.56666666666667,100.88,1
45,67.9999999999999,57.861328,57.833333333333336,27.99,1
46,69.4999999999999,59.068359,59.03333333333333,35.03,1
47,70.9999999999999,60.313802,60.266666666666666,47.14,1
48,72.49999999999987,61.56640600000001,61.4,166.41,1
49,73.99999999999987,63.017578,62.56666666666667,450.91,1
50,75.49999999999987,64.546224,64.73333333333333,187.11,1
51,76.99999999999984,66.186198,65.7,486.2,1
52,78.49999999999986,67.619791,66.93333333333334,686.46,1
53,79.99999999999984,68.8125,68.76666666666667,45.83,1
54,81.49999999999984,69.998047,69.96666666666667,31.38,1
55,82.99999999999983,71.294271,71.2,94.27,1
56,84.4999999999998,72.477864,72.43333333333334,44.53,1
57,85.9999999999998,73.75586,73.66666666666667,89.19,1
58,87.49999999999979,75.35677,75.13333333333334,223.44,1
59,88.99999999999977,76.557292,76.53333333333333,23.96,1
60,90.49999999999974,77.75586,77.73333333333333,22.53,1
61,91.99999999999973,78.94856800000002,79.06666666666666,118.1,1
62,93.49999999999972,80.146485,80.1,46.49,1
63,94.99999999999972,81.40625,81.43333333333334,27.08,1
64,96.4999999999997,82.641276,82.36666666666666,274.61,1
65,97.99999999999969,84.10611999999998,83.56666666666666,539.45,1
66,99.49999999999964,85.356771,84.66666666666667,690.1,1
67,100.99999999999963,86.536459,85.86666666666666,669.79,1
68,102.49999999999963,87.720703,87.66666666666667,54.04,1
69,103.9999999999996,88.93424399999998,88.9,34.24,1
70,105.49999999999959,90.158854,90.1,58.85,1
71,106.99999999999959,91.424479,91.36666666666666,57.81,1
72,108.49999999999956,92.705729,92.63333333333334,72.4,1
73,109.99999999999955,94.200521,94.16666666666667,33.85,1
74,111.49999999999953,95.772786,95.3,472.79,1
75,112.99999999999952,97.214844,96.8,414.84,1
76,114.4999999999995,98.531901,98.43333333333334,98.57,1
77,115.9999999999995,99.920573,99.46666666666667,453.91,1
78,117.49999999999946,101.527995,100.7,828.0,1
79,118.99999999999946,102.912761,102.6,312.76,1
80,120.49999999999945,104.583984,104.63333333333334,49.35,1
81,121.99999999999942,105.989583,105.96666666666667,22.92,1
82,123.4999999999994,107.342448,106.73333333333333,609.11,1
