beat_idx,gt_beat,gt_time_s,pred_time_s,err_ms,ok
0,0.0,1.0071615,0.0,1007.16,1
1,1.5,2.4088540000000003,1.3666666666666667,1042.19,1
2,3.0,4.078125,4.233333333333333,155.21,1
3,4.5,5.776042,5.8,23.96,1
4,6.0,7.458333,7.566666666666666,108.33,1
5,7.5,8.916667,9.066666666666666,150.0,1
6,9.0,10.781901,10.833333333333334,51.43,1
7,10.499999999999998,12.760417,12.6,160.42,1
8,12.0,14.201823,14.266666666666667,64.84,1
9,13.5,15.731770999999998,15.7,31.77,1
10,15.0,17.631510000000006,17.6,31.51,1
11,16.5,19.382812,19.533333333333335,150.52,1
12,18.0,20.9804685,20.933333333333334,47.14,1
13,19.5,23.624349,22.466666666666665,1157.68,1
14,21.0,27.8727215,26.3,1572.72,1
15,22.5,32.121094,32.13333333333333,12.24,1
16,24.0,34.055338500000005,34.166666666666664,111.33,1
17,25.5,35.623698,35.5,123.7,1
18,27.0,37.185547,37.333333333333336,147.79,1
19,28.5,38.851562,38.833333333333336,18.23,1
20,30.0,40.509766,40.53333333333333,23.57,1
21,31.5,42.078125,41.63333333333333,444.79,1
22,33.0,43.746094,43.733333333333334,12.76,1
23,34.5,45.363281,45.333333333333336,29.95,1
24,36.0,46.924479,46.56666666666667,357.81,1
25,37.5,48.8046875,48.8,4.69,1
26,39.0,50.119792,50.13333333333333,13.54,1
27,40.5,51.606771,51.4,206.77,1
28,42.0,53.053385,52.666666666666664,386.72,1
29,43.5,54.532552,54.5,32.55,1
30,45.0,56.2766925,54.833333333333336,1443.36,1
31,46.5,58.01822900000001,58.0,18.23,1
32,48.0,60.13671899999999,59.333333333333336,803.39,1
33,49.5,61.9765625,62.13333333333333,156.77,1
34,51.0,63.6796875,63.0,679.69,1
35,52.5,65.208333,65.2,8.33,1
36,54.0,66.828125,67.0,171.88,1
37,55.5,68.21224000000001,68.23333333333333,21.09,1
38,57.0,69.6647135,69.8,135.29,1
39,58.5,71.320312,71.23333333333333,86.98,1
40,60.0,72.8730465,72.83333333333333,39.71,1
41,61.5,74.33919250000002,73.5,839.19,1
42,63.0,76.0878905,76.0,87.89,1
43,64.5,77.58333350000002,77.73333333333333,150.0,1
44,66.0,79.83724000000002,79.2,637.24,1
45,67.5,81.70638050000002,81.86666666666666,160.29,1
46,69.0,83.020833,83.0,20.83,1
47,70.5,84.427083,84.36666666666666,60.42,1
48,72.0,85.920573,85.9,20.57,1
49,73.5,87.203776,87.3,96.22,1
50,75.0,88.5865885,88.36666666666666,219.92,1
51,76.5,90.092448,90.03333333333333,59.11,1
52,78.0,91.516927,91.66666666666667,149.74,1
53,79.5,93.278646,93.3,21.35,1
54,81.0,95.125651,95.0,125.65,1
55,82.5,96.438802,96.43333333333334,5.47,1
56,84.0,98.095052,97.7,395.05,1
57,85.5,99.496094,99.2,296.09,1
58,87.0,100.9947915,100.96666666666667,28.12,1
59,88.5,102.6927085,101.63333333333334,1059.38,1
60,90.0,104.326823,104.5,173.18,1
61,91.5,106.559896,106.13333333333334,426.56,1
62,93.0,108.6497395,108.8,150.26,1
63,94.5,110.549479,109.83333333333333,716.15,1
64,96.0,112.1875,112.16666666666667,20.83,1
65,97.5,113.7447915,113.8,55.21,1
66,99.0,115.127604,115.1,27.6,1
67,100.5,116.59375,116.7,106.25,1
68,102.0,118.138021,118.13333333333334,4.69,1
69,103.5,119.6165365,119.7,83.46,1
70,105.0,121.048177,120.56666666666666,481.51,1
71,106.5,122.920573,122.93333333333334,12.76,1
72,108.0,124.735677,124.7,35.68,1
73,109.5,126.199219,126.06666666666666,132.55,1
74,111.0,128.37174499999998,128.36666666666667,5.08,1
75,112.5,130.079427,129.73333333333332,346.09,1
76,114.0,131.19401000000002,131.2,5.99,1
77,115.5,132.203776,132.33333333333334,129.56,1
78,117.0,133.15364599999998,133.3,146.35,1
79,118.5,134.207031,134.23333333333332,26.3,1
80,120.0,135.548177,135.46666666666667,81.51,1
81,121.5,136.833333,136.86666666666667,33.33,1
82,123.0,137.979167,137.96666666666667,12.5,1
83,124.5,139.230469,139.7,469.53,1
84,126.0,140.395833,140.4,4.17,1
85,127.5,141.438802,141.43333333333334,5.47,1
86,129.0,142.3496095,142.4,50.39,1
87,130.5,143.311198,143.7,388.8,1
88,132.0,144.494792,144.83333333333334,338.54,1
89,133.5,145.736979,145.76666666666668,29.69,1
90,135.0,147.28125,147.36666666666667,85.42,1
91,136.5,148.738281,149.03333333333333,295.05,1
92,138.0,149.93294250000002,149.66666666666666,266.28,1
93,139.5,151.0065105,151.03333333333333,26.82,1
94,141.0,152.398438,152.33333333333334,65.1,1
95,142.5,153.422526,153.66666666666666,244.14,1
96,144.0,154.46223999999995,154.36666666666667,95.57,1
97,145.5,155.547526,155.6,52.47,1
98,147.0,157.0234375,157.0,23.44,1
99,148.5,158.427083,158.5,72.92,1
100,150.0,160.144531,160.13333333333333,11.2,1
101,151.5,161.332031,161.36666666666667,34.64,1
102,153.0,162.302083,162.46666666666667,164.58,1
103,154.5,163.25911499999995,163.36666666666667,107.55,1
104,156.0,164.639323,164.6,39.32,1
105,157.5,165.843099,165.9,56.9,1
106,159.0,166.765625,166.53333333333333,232.29,1
107,160.5,167.864583,168.1,235.42,1
108,162.0,168.817057,169.2,382.94,1
109,163.5,169.86848999999995,169.96666666666667,98.18,1
110,165.0,171.626302,170.3,1326.3,1
111,166.5,175.434896,172.66666666666666,2768.23,1
112,168.0,177.404948,177.4,4.95,1
113,169.5,178.845052,178.93333333333334,88.28,1
114,171.0,180.959635,180.43333333333334,526.3,1
115,172.5,182.463542,182.5,36.46,1
116,174.0,183.755208,183.66666666666666,88.54,1
117,175.5,184.860026,184.9,39.97,1
118,177.0,186.117839,186.13333333333333,15.49,1
119,178.5,187.471354,187.46666666666667,4.69,1
120,180.0,188.761719,189.33333333333334,571.61,1
121,181.5,190.186198,190.4,213.8,1
122,183.0,191.270833,191.53333333333333,262.5,1
123,184.5,192.605469,192.63333333333333,27.86,1
124,186.0,193.8561195,194.2,343.88,1
125,187.5,195.080078,195.03333333333333,46.74,1
