beat_idx,gt_beat,gt_time_s,pred_time_s,err_ms,ok
0,0.0,0.996094,0.0,996.09,1
1,1.5,3.1744790000000003,0.3333333333333333,2841.15,1
2,3.0,5.040365,0.6666666666666666,4373.7,1
3,4.5,6.80599,1.0,5805.99,1
4,6.0,8.645833,8.6,45.83,1
5,7.5,10.516927,10.5,16.93,1
6,9.0,12.739583,12.566666666666666,172.92,1
7,10.499999999999998,14.91276,14.8,112.76,1
8,12.0,16.652344,16.6,52.34,1
9,13.5,18.539062,18.5,39.06,1
10,15.0,20.980469,20.266666666666666,713.8,1
11,16.5,23.342448,22.966666666666665,375.78,1
12,18.0,25.6328125,24.5,1132.81,1
13,19.5,29.3125,25.933333333333334,3379.17,1
14,21.0,33.108723999999995,26.766666666666666,6342.06,1
15,22.5,36.904948,29.0,7904.95,1
16,24.0,38.817708,29.733333333333334,9084.37,1
17,25.5,40.492188,32.766666666666666,7725.52,1
18,27.0,42.21744800000001,41.96666666666667,250.78,1
19,28.5,43.880208,43.86666666666667,13.54,1
20,30.0,45.391276,45.2,191.28,1
21,31.5,46.9713545,46.56666666666667,404.69,1
22,33.0,48.816406,48.833333333333336,16.93,1
23,34.5,50.554688,50.56666666666667,11.98,1
24,36.0,52.473958,53.03333333333333,559.38,1
25,37.5,54.255208499999995,54.13333333333333,121.88,1
26,39.0,55.882812,56.1,217.19,1
27,40.5,57.545573,57.46666666666667,78.91,1
28,42.0,59.182292,59.46666666666667,284.37,1
29,43.5,60.67447900000001,60.733333333333334,58.85,1
30,45.0,62.265625,61.06666666666667,1198.96,1
31,46.5,64.1119795,64.1,11.98,1
32,48.0,65.802083,65.76666666666667,35.42,1
33,49.5,67.488281,67.23333333333333,254.95,1
34,51.0,69.189453,68.66666666666667,522.79,1
35,52.5,71.1054685,71.06666666666666,38.8,1
36,54.0,72.857422,72.53333333333333,324.09,1
37,55.5,74.476562,74.5,23.44,1
38,57.0,76.20833350000002,75.83333333333333,375.0,1
39,58.5,77.951823,77.93333333333334,18.49,1
40,60.0,79.560547,79.46666666666667,93.88,1
41,61.5,81.2128905,79.9,1312.89,1
42,63.0,83.2890625,83.26666666666667,22.4,1
43,64.5,85.1803385,85.2,19.66,1
44,66.0,87.622396,86.7,922.4,1
45,67.5,89.558594,89.3,258.59,1
46,69.0,91.279948,91.2,79.95,1
47,70.5,93.178385,92.96666666666667,211.72,1
48,72.0,94.721354,94.8,78.65,1
49,73.5,96.0214845,95.86666666666666,154.82,1
50,75.0,97.567708,97.2,367.71,1
51,76.5,99.339844,99.33333333333333,6.51,1
52,78.0,100.880208,100.83333333333333,46.87,1
53,79.5,102.584635,101.9,684.64,1
54,81.0,104.318359,104.03333333333333,285.03,1
55,82.5,105.90625,106.13333333333334,227.08,1
56,84.0,107.666667,107.36666666666666,300.0,1
57,85.5,109.19531200000002,109.76666666666667,571.35,1
58,87.0,110.60481750000001,110.83333333333333,228.52,1
59,88.5,112.17382849999998,111.16666666666667,1007.16,1
60,90.0,114.0546875,114.03333333333333,21.35,1
61,91.5,115.786458,115.76666666666667,19.79,1
62,93.0,117.41861999999999,117.13333333333334,285.29,1
63,94.5,119.108073,119.66666666666667,558.59,1
64,96.0,121.0970055,120.93333333333334,163.67,1
65,97.5,122.84570349999998,122.8,45.7,1
66,99.0,124.480469,124.46666666666667,13.8,1
67,100.5,126.415365,126.0,415.36,1
68,102.0,128.111979,128.2,88.02,1
69,103.5,129.5625,129.56666666666666,4.17,1
70,105.0,131.218099,129.9,1318.1,1
71,106.5,133.3098955,133.26666666666668,43.23,1
72,108.0,135.158854,135.06666666666666,92.19,1
73,109.5,136.94401000000002,137.06666666666666,122.66,1
74,111.0,139.20572900000002,138.83333333333334,372.4,1
75,112.5,141.119792,139.83333333333334,1286.46,1
76,114.0,142.552083,142.43333333333334,118.75,1
77,115.5,144.0253905,144.0,25.39,1
78,117.0,145.36523400000004,145.3,65.23,1
79,118.5,146.60286499999995,146.6,2.86,1
80,120.0,147.908854,147.56666666666666,342.19,1
81,121.5,149.261719,149.7,438.28,1
82,123.0,150.895833,150.9,4.17,1
83,124.5,152.464844,152.5,35.16,1
84,126.0,153.809896,153.7,109.9,1
85,127.5,155.1471355,155.1,47.14,1
86,129.0,156.3339845,156.3,33.98,1
87,130.5,157.60026000000005,157.6,0.26,1
88,132.0,158.886719,158.83333333333334,53.39,1
89,133.5,160.252604,159.93333333333334,319.27,1
90,135.0,161.78776000000005,162.03333333333333,245.57,1
91,136.5,163.513021,163.9,386.98,1
92,138.0,164.78125,164.86666666666667,85.42,1
93,139.5,166.3177085,166.4,82.29,1
94,141.0,167.720052,167.66666666666666,53.39,1
95,142.5,168.921875,169.16666666666666,244.79,1
96,144.0,170.183594,170.13333333333333,50.26,1
97,145.5,171.5351565,171.63333333333333,98.18,1
98,147.0,172.8502605,172.8,50.26,1
99,148.5,174.14973999999995,174.3,150.26,1
100,150.0,175.518229,175.73333333333332,215.1,1
101,151.5,176.911458,176.86666666666667,44.79,1
102,153.0,178.35026000000005,178.13333333333333,216.93,1
103,154.5,179.904948,179.9,4.95,1
104,156.0,181.371094,181.33333333333334,37.76,1
105,157.5,182.671224,182.63333333333333,37.89,1
106,159.0,183.792969,183.8,7.03,1
107,160.5,184.876302,184.8,76.3,1
108,162.0,186.144531,186.0,144.53,1
109,163.5,187.63151,187.7,68.49,1
110,165.0,189.669271,188.03333333333333,1635.94,1
111,166.5,192.570312,190.4,2170.31,1
112,168.0,194.7623695,194.7,62.37,1
113,169.5,196.6803385,196.66666666666666,13.67,1
114,171.0,199.27474,198.33333333333334,941.41,1
115,172.5,201.5983075,201.66666666666666,68.36,1
116,174.0,203.089844,203.0,89.84,1
117,175.5,204.6308595,204.73333333333332,102.47,1
118,177.0,205.77474,205.76666666666668,8.07,1
119,178.5,207.020833,207.2,179.17,1
120,180.0,208.1979165,208.66666666666666,468.75,1
121,181.5,209.542318,209.5,42.32,1
122,183.0,210.69401,210.8,105.99,1
123,184.5,212.079427,212.1,20.57,1
124,186.0,213.244141,213.33333333333334,89.19,1
125,187.5,214.341146,214.5,158.85,1
126,189.0,215.545573,216.26666666666668,721.09,1
127,190.5,216.651042,217.16666666666666,515.62,1
128,192.0,217.8144535,218.33333333333334,518.88,1
129,193.5,218.85026,219.03333333333333,183.07,1
130,195.00000000000003,220.269531,220.4,130.47,1
131,196.50000000000003,221.567708,221.93333333333334,365.63,1
132,198.00000000000003,222.8079425,223.03333333333333,225.39,1
133,199.50000000000003,223.997396,223.96666666666667,30.73,1
134,201.00000000000003,225.338542,225.33333333333334,5.21,1
135,202.50000000000003,226.49349,226.53333333333333,39.84,1
136,204.00000000000003,227.513021,227.53333333333333,20.31,1
137,205.50000000000003,228.595052,228.66666666666666,71.61,1
138,207.00000000000003,229.640625,229.66666666666666,26.04,1
139,208.50000000000003,230.770833,230.73333333333332,37.5,1
140,210.00000000000003,232.089844,231.83333333333334,256.51,1
141,211.50000000000003,233.28776,233.3,12.24,1
142,213.00000000000003,234.96224,235.03333333333333,71.09,1
143,214.50000000000003,236.386719,236.53333333333333,146.61,1
144,216.00000000000003,237.454427,237.66666666666666,212.24,1
145,217.50000000000003,238.286458,239.06666666666666,780.21,1
146,219.00000000000003,239.244792,240.5,1255.21,1
147,220.50000000000009,240.123698,241.8,1676.3,1
148,222.00000000000026,240.757812,242.0,1242.19,1
149,223.5000000000005,241.34830750000003,244.76666666666668,3418.36,1
150,225.00000000000065,242.153646,245.1,2946.35,1
151,226.5000000000009,242.85026,248.36666666666667,5516.41,1
152,228.00000000000108,243.395833,248.76666666666668,5370.83,1
153,229.50000000000125,243.960938,248.96666666666667,5005.73,1
154,231.0000000000015,244.578125,249.26666666666668,4688.54,1
155,232.50000000000168,245.21875,252.46666666666667,7247.92,1
156,234.00000000000185,245.9160155,254.83333333333334,8917.32,1
157,235.5000000000021,246.662109,257.1,10437.89,1
158,237.00000000000225,247.613281,258.8666666666667,11253.39,1
159,238.50000000000176,248.953125,259.3,10346.88,1
160,240.00000000000176,250.001953,259.5,9498.05,1
161,241.50000000000182,251.21549500000003,259.7,8484.5,1
162,243.00000000000182,252.546875,263.06666666666666,10519.79,1
163,244.50000000000182,253.6783855,263.76666666666665,10088.28,1
164,246.00000000000182,254.74674500000003,263.96666666666664,9219.92,1
165,247.50000000000188,256.0052085,264.23333333333335,8228.12,1
166,249.00000000000188,257.700521,265.0,7299.48,1
167,250.50000000000188,260.619792,266.96666666666664,6346.87,1
168,252.00000000000188,262.205729,267.1666666666667,4960.94,1
169,253.50000000000193,263.16601549999996,268.4,5233.98,1
170,255.00000000000193,264.3938805,269.0,4606.12,1
171,256.50000000000193,265.523438,269.8666666666667,4343.23,1
172,257.999999450002,266.97656275,271.3333333333333,4356.77,1
173,259.500000000002,268.4296875,275.1666666666667,6736.98,1
174,261.000000000002,269.71158849999995,279.8,10088.41,1
175,262.50000000000193,270.942708,280.0,9057.29,1
176,264.000000000002,272.214193,280.3666666666667,8152.47,1
177,265.500000000002,273.442708,281.2,7757.29,1
178,267.00000000000205,274.50390600000003,283.3333333333333,8829.43,1
179,268.500000000002,275.690104,284.53333333333336,8843.23,1
180,270.00000000000205,277.365885,285.4,8034.11,1
181,271.50000000000205,278.714844,285.96666666666664,7251.82,1
182,273.00000000000205,279.89453100000003,287.73333333333335,7838.8,1
183,274.5000000000021,281.5592445,288.5,6940.76,1
184,276.0000000000021,282.6302085,289.8,7169.79,1
185,277.5000000000021,283.635417,294.8666666666667,11231.25,1
186,279.00000000000216,284.765625,298.3333333333333,13567.71,1
187,280.50000000000216,285.869792,301.7,15830.21,1
188,281.9999994500022,287.2057295,303.1666666666667,15960.94,1
189,283.50000000000216,288.541667,305.06666666666666,16525.0,1
190,285.0000000000022,289.815104,318.7,28884.9,1
191,286.50000000000216,291.136719,319.73333333333335,28596.61,1
192,288.00000000000216,292.60546850000014,321.2,28594.53,1
193,289.50000000000216,294.9296875,322.4,27470.31,1
194,290.9999994500023,296.27734375,323.3,27022.66,1
195,292.50000000000216,297.625,325.2,27575.0,1
196,294.00000000000216,299.346354,326.2,26853.65,1
197,295.5000000000021,302.6614585,327.6333333333333,24971.87,1
198,297.00000000000216,305.869792,330.73333333333335,24863.54,1
199,298.50000000000216,307.817708,332.03333333333336,24215.63,1
200,300.00000000000216,308.792969,333.1666666666667,24373.7,1
201,301.5000000000022,309.759115,333.3666666666667,23607.55,1
202,303.0000000000022,311.40625,336.56666666666666,25160.42,1
203,304.5000000000022,312.341146,337.76666666666665,25425.52,1
204,306.00000000000233,313.264974,337.93333333333334,24668.36,1
205,307.50000000000233,314.351562,338.6,24248.44,1
206,309.00000000000233,315.395182,338.8,23404.82,1
207,310.5000000000025,316.39974,339.0,22600.26,1
208,312.0000000000024,317.171224,340.1,22928.78,1
209,313.5000000000024,318.002604,342.06666666666666,24064.06,1
210,315.0000000000024,319.318359,343.76666666666665,24448.31,1
211,316.5000000000024,320.3033855,345.1,24796.61,1
212,318.00000000000244,321.1972655,347.26666666666665,26069.4,1
213,319.50000000000244,322.450521,349.2,26749.48,1
214,321.0000000000025,323.908854,354.8666666666667,30957.81,1
215,322.5000000000025,325.049479,356.3,31250.52,1
216,324.0000000000025,325.989583,357.96666666666664,31977.08,1
217,325.5000000000025,326.924479,359.4,32475.52,1
218,327.00000000000244,328.289062,360.8666666666667,32577.6,1
219,328.5000000000025,329.549479,363.8333333333333,34283.85,1
220,330.0000000000025,330.467448,364.6666666666667,34199.22,1
221,331.5000000000025,331.429688,370.3333333333333,38903.65,1
222,333.00000000000244,332.78776,371.43333333333334,38645.57,1
223,334.5000000000025,333.68099,371.6333333333333,37952.34,1
224,336.0000000000025,334.385417,371.8333333333333,37447.92,1
225,337.50000000000244,335.053385,372.73333333333335,37679.95,1
226,339.0000000000025,335.919271,373.8666666666667,37947.4,1
227,340.50000000000256,336.658854,375.1666666666667,38507.81,1
228,342.00000000000256,337.31640600000014,376.56666666666666,39250.26,1
229,343.5000000000026,337.971354,383.4,45428.65,1
230,345.0000000000026,338.66276,383.6,44937.24,1
231,346.5000000000026,339.346354,386.56666666666666,47220.31,1
232,348.0000000000026,340.377604,389.06666666666666,48689.06,1
233,349.5000000000027,341.282552,390.73333333333335,49450.78,1
234,351.0000000000027,342.0286455,392.1333333333333,50104.69,1
235,352.5000000000027,342.7395835,392.6,49860.42,1
236,354.00000000000273,343.4029950000001,394.2,50797.0,1
237,355.50000000000273,344.1790365,395.7,51520.96,1
238,357.00000000000324,345.03710950000016,397.56666666666666,52529.56,1
239,358.5000000000042,345.91276,399.1666666666667,53253.91,1
240,360.0000000000048,347.027344,400.53333333333336,53505.99,1
241,361.50000000000455,347.994141,401.06666666666666,53072.53,1
242,363.00000000000426,348.921875,402.6333333333333,53711.46,1
243,364.50000000000415,349.742188,409.43333333333334,59691.15,1
244,366.00000000000364,350.6471355,417.1666666666667,66519.53,1
245,367.50000000000335,351.56640600000014,423.6666666666667,72100.26,1
246,369.0000000000031,352.477865,428.9,76422.13,1
247,370.50000000000284,353.39257799999996,431.26666666666665,77874.09,1
248,372.0000000000026,354.617188,432.26666666666665,77649.48,1
249,373.50000000000256,355.760417,434.76666666666665,79006.25,1
250,375.0000000000025,356.828125,435.1,78271.88,1
251,376.50000000000256,357.9296875,435.43333333333334,77503.65,1
