beat_idx,gt_beat,gt_time_s,pred_time_s,err_ms,ok
0,0.0,0.9772135000000001,0.0,977.21,1
1,1.5,2.7682290000000003,0.3333333333333333,2434.9,1
2,3.0,4.41276,1.2,3212.76,1
3,4.5,6.076823,1.5333333333333334,4543.49,1
4,6.0,7.625,7.433333333333334,191.67,1
5,7.5,9.170573,8.666666666666666,503.91,1
6,9.0,11.048828,10.966666666666667,82.16,1
7,10.499999999999998,13.346354000000002,13.133333333333333,213.02,1
8,12.0,14.865885,14.733333333333333,132.55,1
9,13.5,16.414062,16.333333333333332,80.73,1
10,15.0,18.171875,17.9,271.88,1
11,16.5,20.072917,19.466666666666665,606.25,1
12,18.0,21.81380200000001,21.8,13.8,1
13,19.5,24.064453,24.033333333333335,31.12,1
14,21.0,26.8271485,25.1,1727.15,1
15,22.5,29.589844,27.9,1689.84,1
16,24.0,31.3984375,31.4,1.56,1
17,25.5,32.782552,32.93333333333333,150.78,1
18,27.0,34.207682000000005,34.0,207.68,1
19,28.5,35.736979,35.733333333333334,3.65,1
20,30.0,37.245443,37.266666666666666,21.22,1
21,31.5,38.9785155,38.13333333333333,845.18,1
22,33.0,40.87369800000001,40.93333333333333,59.64,1
23,34.5,42.459635,42.46666666666667,7.03,1
24,36.0,43.863281,43.86666666666667,3.39,1
25,37.5,45.527995000000004,45.266666666666666,261.33,1
26,39.0,46.848958,46.96666666666667,117.71,1
27,40.5,48.247396,47.93333333333333,314.06,1
28,42.0,49.752604,49.733333333333334,19.27,1
29,43.5,51.3535155,51.36666666666667,13.15,1
30,45.0,53.05924450000001,51.8,1259.24,1
31,46.5,54.84830749999999,54.8,48.31,1
32,48.0,56.552083,56.6,47.92,1
33,49.5,58.29362,58.56666666666667,273.05,1
34,51.0,60.28515600000001,59.4,885.16,1
35,52.5,62.2981775,62.3,1.82,1
36,54.0,63.93424450000001,63.333333333333336,600.91,1
37,55.5,65.338542,65.56666666666666,228.12,1
38,57.0,66.8339845,66.83333333333333,0.65,1
39,58.5,68.44661500000001,68.46666666666667,20.05,1
40,60.0,70.1334635,70.23333333333333,99.87,1
41,61.5,72.10416649999998,70.9,1204.17,1
42,63.0,74.33919250000002,74.36666666666666,27.47,1
43,64.5,76.09049499999998,76.06666666666666,23.83,1
44,66.0,77.791667,78.13333333333334,341.67,1
45,67.5,79.452474,79.5,47.53,1
46,69.0,80.842448,80.96666666666667,124.22,1
47,70.5,82.265625,82.33333333333333,67.71,1
48,72.0,83.84375,83.9,56.25,1
49,73.5,85.295573,85.36666666666666,71.09,1
50,75.0,86.89583350000002,86.16666666666667,729.17,1
51,76.5,88.55599000000002,88.56666666666666,10.68,1
52,78.0,89.986979,90.0,13.02,1
53,79.5,91.558594,91.56666666666666,8.07,1
54,81.0,93.223958,92.93333333333334,290.62,1
55,82.5,94.550781,94.63333333333334,82.55,1
56,84.0,96.020833,95.66666666666667,354.17,1
57,85.5,97.673177,97.66666666666667,6.51,1
58,87.0,99.214844,99.2,14.84,1
59,88.5,100.950521,99.7,1250.52,1
60,90.0,102.8027345,102.83333333333333,30.6,1
61,91.5,104.768229,104.7,68.23,1
62,93.0,106.966146,107.03333333333333,67.19,1
63,94.5,109.026693,108.13333333333334,893.36,1
64,96.0,111.0084635,110.9,108.46,1
65,97.5,112.6276045,112.63333333333334,5.73,1
66,99.0,114.102865,114.2,97.14,1
67,100.5,115.822917,115.76666666666667,56.25,1
68,102.0,117.733073,117.8,66.93,1
69,103.5,119.452474,119.46666666666667,14.19,1
70,105.0,121.359375,120.2,1159.37,1
71,106.5,123.697917,123.7,2.08,1
72,108.0,125.6875,125.13333333333334,554.17,1
73,109.5,127.108073,127.43333333333334,325.26,1
74,111.0,128.9817705,128.9,81.77,1
75,112.5,130.841146,130.46666666666667,374.48,1
76,114.0,132.41276000000002,131.8,612.76,1
77,115.5,133.701172,133.73333333333332,32.16,1
78,117.0,134.735677,134.7,35.68,1
79,118.5,135.835938,135.8,35.94,1
80,120.0,136.908854,137.1,191.15,1
81,121.5,138.244792,138.3,55.21,1
82,123.0,139.686198,139.66666666666666,19.53,1
83,124.5,141.188802,141.2,11.2,1
84,126.0,142.575521,142.33333333333334,242.19,1
85,127.5,143.794271,143.76666666666668,27.6,1
86,129.0,144.738281,144.73333333333332,4.95,1
87,130.5,145.742188,145.76666666666668,24.48,1
88,132.0,146.869792,146.8,69.79,1
89,133.5,148.161458,148.1,61.46,1
90,135.0,149.595052,149.56666666666666,28.39,1
91,136.5,151.164062,151.2,35.94,1
92,138.0,152.62109350000003,152.5,121.09,1
93,139.5,154.24479200000005,154.26666666666668,21.87,1
94,141.0,155.671875,155.66666666666666,5.21,1
95,142.5,156.891276,157.0,108.72,1
96,144.0,158.2434895,158.23333333333332,10.16,1
97,145.5,159.824219,159.93333333333334,109.11,1
98,147.0,161.28255249999995,161.3,17.45,1
99,148.5,162.697917,162.66666666666666,31.25,1
100,150.0,164.095052,164.43333333333334,338.28,1
101,151.5,165.703125,165.73333333333332,30.21,1
102,153.0,167.097656,167.16666666666666,69.01,1
103,154.5,168.455729,168.5,44.27,1
104,156.0,170.015625,169.9,115.62,1
105,157.5,171.71875,171.7,18.75,1
106,159.0,173.3789065,173.2,178.91,1
107,160.5,174.942708,174.8,142.71,1
108,162.0,177.7226565,177.7,22.66,1
109,163.5,180.529948,180.5,29.95,1
110,165.0,183.64974,180.83333333333334,2816.41,1
111,166.5,186.139323,183.2,2939.32,1
112,168.0,188.529297,188.5,29.3,1
113,169.5,190.2571615,190.26666666666668,9.51,1
114,171.0,191.959635,191.9,59.63,1
115,172.5,193.924479,193.9,24.48,1
116,174.0,195.203776,195.2,3.78,1
117,175.5,196.283854,196.33333333333334,49.48,1
118,177.0,197.468099,197.93333333333334,465.23,1
119,178.5,198.973307,199.0,26.69,1
120,180.0,200.284505,200.83333333333334,548.83,1
121,181.5,201.75651000000002,203.66666666666666,1910.16,1
122,183.0,202.86849,203.93333333333334,1064.84,1
123,184.5,204.092448,204.23333333333332,140.89,1
124,186.0,205.39388,205.63333333333333,239.45,1
125,187.5,206.5696615,206.9,330.34,1
126,189.0,207.6178385,207.8,182.16,1
127,190.5,208.772135,209.16666666666666,394.53,1
128,192.0,210.0898435,210.03333333333333,56.51,1
129,193.5,211.230469,211.36666666666667,136.2,1
130,195.00000000000003,212.671875,212.66666666666666,5.21,1
131,196.50000000000003,213.841146,214.6,758.85,1
132,198.00000000000003,215.083333,215.93333333333334,850.0,1
133,199.50000000000003,216.21028650000002,216.36666666666667,156.38,1
134,201.00000000000003,217.705729,217.73333333333332,27.6,1
135,202.50000000000003,218.895833,218.96666666666667,70.83,1
136,204.00000000000003,219.997396,220.03333333333333,35.94,1
137,205.50000000000003,221.065104,221.23333333333332,168.23,1
138,207.00000000000003,222.313802,222.3,13.8,1
139,208.50000000000003,223.710938,223.63333333333333,77.6,1
140,210.00000000000003,224.941406,224.66666666666666,274.74,1
141,211.50000000000003,226.358073,226.23333333333332,124.74,1
142,213.00000000000003,228.007812,228.2,192.19,1
143,214.50000000000003,228.998698,229.6,601.3,1
144,216.00000000000003,229.794271,231.03333333333333,1239.06,1
145,217.50000000000003,230.621094,234.26666666666668,3645.57,1
146,219.00000000000003,231.567708,234.53333333333333,2965.63,1
147,220.50000000000009,232.463542,234.8,2336.46,1
148,222.00000000000026,233.1015625,235.9,2798.44,1
149,223.5000000000005,233.69987000000003,237.9,4200.13,1
150,225.00000000000065,234.3945315,238.13333333333333,3738.8,1
151,226.5000000000009,235.44401,238.56666666666666,3122.66,1
152,228.00000000000108,236.089844,238.76666666666668,2676.82,1
153,229.50000000000125,236.764323,238.93333333333334,2169.01,1
154,231.0000000000015,237.533854,239.56666666666666,2032.81,1
155,232.50000000000168,238.359375,240.36666666666667,2007.29,1
156,234.00000000000185,239.34700550000002,242.06666666666666,2719.66,1
157,235.5000000000021,240.20247400000002,244.8,4597.53,1
158,237.00000000000225,241.282552,245.46666666666667,4184.11,1
159,238.50000000000176,243.3489585,245.63333333333333,2284.37,1
160,240.00000000000176,244.84830750000003,248.4,3551.69,1
161,241.50000000000182,246.510417,249.56666666666666,3056.25,1
162,243.00000000000182,248.408854,249.76666666666668,1357.81,1
163,244.50000000000182,249.66796850000003,249.96666666666667,298.7,1
164,246.00000000000182,250.880208,250.83333333333334,46.87,1
165,247.50000000000188,252.442708,252.5,57.29,1
166,249.00000000000188,254.494792,254.5,5.21,1
167,250.50000000000188,256.44140600000003,256.56666666666666,125.26,1
168,252.00000000000188,258.063802,258.0,63.8,1
169,253.50000000000193,259.26888025,259.4,131.12,1
170,255.00000000000193,260.4739585,260.56666666666666,92.71,1
171,256.50000000000193,261.583333,261.6333333333333,50.0,1
172,257.999999450002,262.9309895,263.3,369.01,1
173,259.500000000002,264.278646,264.1,178.65,1
174,261.000000000002,265.8157555,267.8333333333333,2017.58,1
175,262.50000000000193,267.19335950000004,268.96666666666664,1773.31,1
176,264.000000000002,268.777344,269.1666666666667,389.32,1
177,265.500000000002,270.4147135,269.96666666666664,448.05,1
178,267.00000000000205,271.614583,271.6333333333333,18.75,1
179,268.500000000002,272.76887999999997,273.7,931.12,1
180,270.00000000000205,274.364583,274.3666666666667,2.08,1
181,271.50000000000205,275.704427,275.6666666666667,37.76,1
182,273.00000000000205,277.143229,277.1,43.23,1
183,274.5000000000021,278.8697915,278.3666666666667,503.12,1
184,276.0000000000021,280.0279945,279.8333333333333,194.66,1
185,277.5000000000021,281.020833,281.23333333333335,212.5,1
186,279.00000000000216,281.994141,282.1333333333333,139.19,1
187,280.50000000000216,282.951823,283.73333333333335,781.51,1
188,281.9999994500022,284.3889975,284.2,189.0,1
189,283.50000000000216,285.8261720000001,285.76666666666665,59.51,1
190,285.0000000000022,287.5507815,288.6333333333333,1082.55,1
191,286.50000000000216,289.1119795,289.03333333333336,78.65,1
192,288.00000000000216,290.611328,289.23333333333335,1377.99,1
193,289.50000000000216,292.388021,290.2,2188.02,1
194,290.9999994500023,293.5989585,293.1666666666667,432.29,1
195,292.50000000000216,294.809896,294.8666666666667,56.77,1
196,294.00000000000216,296.874349,296.46666666666664,407.68,1
197,295.5000000000021,299.9264325000001,297.7,2226.43,1
198,297.00000000000216,301.7597655,301.56666666666666,193.1,1
199,298.50000000000216,302.839844,303.3,460.16,1
200,300.00000000000216,303.712891,304.1666666666667,453.78,1
201,301.5000000000022,304.605469,305.2,594.53,1
202,303.0000000000022,305.9615885,306.0,38.41,1
203,304.5000000000022,307.11002599999995,308.03333333333336,923.31,1
204,306.00000000000233,307.988932,308.76666666666665,777.73,1
205,307.50000000000233,309.33724,309.03333333333336,303.91,1
206,309.00000000000233,310.58203100000014,310.56666666666666,15.36,1
207,310.5000000000025,311.429688,311.73333333333335,303.65,1
208,312.0000000000024,312.291667,312.5,208.33,1
209,313.5000000000024,313.127604,313.8,672.4,1
210,315.0000000000024,314.59570299999996,314.23333333333335,362.37,1
211,316.5000000000024,316.03320299999996,315.76666666666665,266.54,1
212,318.00000000000244,317.0214845000001,317.06666666666666,45.18,1
213,319.50000000000244,318.307292,318.1333333333333,173.96,1
214,321.0000000000025,320.079427,319.96666666666664,112.76,1
215,322.5000000000025,321.56901,321.6333333333333,64.32,1
