beat_idx,gt_beat,gt_time_s,pred_time_s,err_ms,ok
0,0.0,1.0223959999999999,0.0,1022.4,1
1,1.5,3.219792,1.3666666666666667,1853.13,1
2,3.0,4.983333,2.7333333333333334,2250.0,1
3,4.5,6.894792,4.1,2794.79,1
4,6.0,8.661458,5.466666666666667,3194.79,1
5,7.5,10.33125,6.833333333333333,3497.92,1
6,9.0,11.936458,8.166666666666666,3769.79,1
7,10.499999999999998,14.047917000000002,9.533333333333333,4514.58,1
8,12.0,15.7,10.9,4800.0,1
9,13.5,17.408333,12.266666666666667,5141.67,1
10,15.0,19.226042,13.633333333333333,5592.71,1
11,16.5,21.03125,15.0,6031.25,1
12,18.0,22.7421875,16.366666666666667,6375.52,1
13,19.5,25.590625,17.733333333333334,7857.29,1
14,21.0,28.608853999999997,19.1,9508.85,1
15,22.5,31.627083,20.466666666666665,11160.42,1
16,24.0,33.581771,21.833333333333332,11748.44,1
17,25.5,35.140625,23.166666666666668,11973.96,1
18,27.0,36.65052100000001,24.533333333333335,12117.19,1
19,28.5,38.241667,25.9,12341.67,1
20,30.0,39.754167,27.266666666666666,12487.5,1
21,31.5,41.3453125,28.633333333333333,12711.98,1
22,33.0,43.0,30.0,13000.0,1
23,34.5,44.65,31.366666666666667,13283.33,1
24,36.0,46.432292,32.733333333333334,13698.96,1
25,37.5,48.096875,34.1,13996.87,1
26,39.0,49.515625,35.46666666666667,14048.96,1
27,40.5,50.9697915,36.833333333333336,14136.46,1
28,42.0,52.526042,38.166666666666664,14359.38,1
29,43.5,53.99322950000001,39.53333333333333,14459.9,1
30,45.0,55.5515625,40.9,14651.56,1
31,46.5,57.24114599999999,42.266666666666666,14974.48,1
32,48.0,58.910417,43.63333333333333,15277.08,1
33,49.5,60.45,45.0,15450.0,1
34,51.0,62.0,46.36666666666667,15633.33,1
35,52.5,63.6479165,47.733333333333334,15914.58,1
36,54.0,65.26614599999999,49.1,16166.15,1
37,55.5,66.680208,50.46666666666667,16213.54,1
38,57.0,68.14479200000001,51.833333333333336,16311.46,1
39,58.5,69.746875,53.166666666666664,16580.21,1
40,60.0,71.24635450000002,54.53333333333333,16713.02,1
41,61.5,72.84687500000003,55.9,16946.88,1
42,63.0,74.7,57.266666666666666,17433.33,1
43,64.5,76.29583350000001,58.63333333333333,17662.5,1
44,66.0,78.459375,60.0,18459.37,1
45,67.5,80.2703125,61.36666666666667,18903.65,1
46,69.0,81.732292,62.733333333333334,18998.96,1
47,70.5,83.16770799999998,64.1,19067.71,1
48,72.0,84.682292,65.46666666666667,19215.63,1
49,73.5,86.133854,66.83333333333333,19300.52,1
50,75.0,87.64375000000004,68.16666666666667,19477.08,1
51,76.5,89.221875,69.53333333333333,19688.54,1
52,78.0,90.754167,70.9,19854.17,1
53,79.5,92.50625,72.26666666666667,20239.58,1
54,81.0,94.0864585,73.63333333333334,20453.13,1
55,82.5,95.473958,75.0,20473.96,1
56,84.0,96.910417,76.36666666666666,20543.75,1
57,85.5,98.409375,77.73333333333333,20676.04,1
58,87.0,99.877604,79.1,20777.6,1
59,88.5,101.4270835,80.46666666666667,20960.42,1
60,90.0,103.0848955,81.83333333333333,21251.56,1
61,91.5,104.754167,83.16666666666667,21587.5,1
62,93.0,106.3244795,84.53333333333333,21791.15,1
63,94.5,107.928125,85.9,22028.12,1
64,96.0,109.6739585,87.26666666666667,22407.29,1
65,97.5,111.348958,88.63333333333334,22715.62,1
66,99.0,112.727083,90.0,22727.08,1
67,100.5,114.178125,91.36666666666666,22811.46,1
68,102.0,115.782292,92.73333333333333,23048.96,1
69,103.5,117.325,94.1,23225.0,1
70,105.0,118.9333335,95.46666666666667,23466.67,1
71,106.5,120.7739585,96.83333333333333,23940.63,1
72,108.0,122.521875,98.16666666666667,24355.21,1
73,109.5,124.109375,99.53333333333333,24576.04,1
74,111.0,125.9171875,100.9,25017.19,1
75,112.5,127.65625,102.26666666666667,25389.58,1
76,114.0,129.125,103.63333333333334,25491.67,1
77,115.5,130.52604150000002,105.0,25526.04,1
78,117.0,131.74375,106.36666666666666,25377.08,1
79,118.5,132.934375,107.73333333333333,25201.04,1
80,120.0,134.304167,109.1,25204.17,1
81,121.5,135.6,110.46666666666667,25133.33,1
82,123.0,137.098958,111.83333333333333,25265.62,1
83,124.5,138.71770800000002,113.16666666666667,25551.04,1
84,126.0,140.148958,114.53333333333333,25615.62,1
85,127.5,141.472396,115.9,25572.4,1
86,129.0,142.62760450000005,117.26666666666667,25360.94,1
87,130.5,143.763542,118.63333333333334,25130.21,1
88,132.0,145.069792,120.0,25069.79,1
89,133.5,146.363542,121.36666666666666,24996.88,1
90,135.0,147.76458300000004,122.73333333333333,25031.25,1
91,136.5,149.340625,124.1,25240.62,1
92,138.0,150.675521,125.46666666666667,25208.85,1
93,139.5,152.0083335,126.83333333333333,25175.0,1
94,141.0,153.504167,128.16666666666666,25337.5,1
95,142.5,154.833333,129.53333333333333,25300.0,1
96,144.0,156.147396,130.9,25247.4,1
97,145.5,157.619271,132.26666666666668,25352.6,1
98,147.0,159.0677085,133.63333333333333,25434.38,1
99,148.5,160.416667,135.0,25416.67,1
100,150.0,161.647917,136.36666666666667,25281.25,1
101,151.5,162.926042,137.73333333333332,25192.71,1
102,153.0,164.134375,139.1,25034.38,1
103,154.5,165.18645800000004,140.46666666666667,24719.79,1
104,156.0,166.411458,141.83333333333334,24578.12,1
105,157.5,167.53645849999995,143.16666666666666,24369.79,1
106,159.0,168.665104,144.53333333333333,24131.77,1
107,160.5,169.715625,145.9,23815.62,1
108,162.0,170.905729,147.26666666666668,23639.06,1
109,163.5,172.3,148.63333333333333,23666.67,1
110,165.0,174.32708300000004,150.0,24327.08,1
111,166.5,177.18125,151.36666666666667,25814.58,1
112,168.0,179.2713545,152.73333333333332,26538.02,1
113,169.5,180.9463545,154.1,26846.35,1
114,171.0,183.021875,155.46666666666667,27555.21,1
115,172.5,184.910417,156.83333333333334,28077.08,1
