beat_idx,gt_beat,gt_time_s,pred_time_s,err_ms,ok
0,0.0,0.953125,0.0,953.12,1
1,1.5,2.919271,0.3333333333333333,2585.94,1
2,3.0,4.559896,0.9666666666666667,3593.23,1
3,4.5,6.451823,1.3,5151.82,1
4,6.0,8.018229,7.933333333333334,84.9,1
5,7.5,9.691406,9.333333333333334,358.07,1
6,9.0,11.5065105,11.366666666666667,139.84,1
7,10.499999999999998,13.494792000000002,13.333333333333334,161.46,1
8,12.0,14.940104000000002,14.833333333333334,106.77,1
9,13.5,16.6835935,16.0,683.59,1
10,15.0,18.8125,18.266666666666666,545.83,1
11,16.5,20.77474,20.566666666666666,208.07,1
12,18.0,22.7792965,22.633333333333333,145.96,1
13,19.5,25.873047,24.3,1573.05,1
14,21.0,28.6259765,24.666666666666668,3959.31,1
15,22.5,31.378906,29.9,1478.91,1
16,24.0,33.2096355,32.63333333333333,576.3,1
17,25.5,34.786458,34.86666666666667,80.21,1
18,27.0,36.186849,36.0,186.85,1
19,28.5,37.858073,37.833333333333336,24.74,1
20,30.0,39.2552085,38.93333333333333,321.88,1
21,31.5,40.8196615,40.233333333333334,586.33,1
22,33.0,42.4251305,42.6,174.87,1
23,34.5,43.951823,43.93333333333333,18.49,1
24,36.0,45.472656,45.46666666666667,5.99,1
25,37.5,47.01432250000001,46.7,314.32,1
26,39.0,48.316406,48.46666666666667,150.26,1
27,40.5,49.630208,49.56666666666667,63.54,1
28,42.0,51.170573,51.3,129.43,1
29,43.5,52.5442705,52.56666666666667,22.4,1
30,45.0,54.1946615,53.43333333333333,761.33,1
31,46.5,55.92643200000001,55.9,26.43,1
32,48.0,57.395833,56.766666666666666,629.17,1
33,49.5,58.755208499999995,58.86666666666667,111.46,1
34,51.0,60.33268200000001,59.6,732.68,1
35,52.5,61.8665365,61.833333333333336,33.2,1
36,54.0,63.251302,62.7,551.3,1
37,55.5,64.627604,64.7,72.4,1
38,57.0,65.94075550000001,65.93333333333334,7.42,1
39,58.5,67.510417,67.7,189.58,1
40,60.0,68.8665365,68.73333333333333,133.2,1
41,61.5,70.4179685,69.26666666666667,1151.3,1
42,63.0,72.000651,72.0,0.65,1
43,64.5,73.61979149999998,73.6,19.79,1
44,66.0,75.46875,75.26666666666667,202.08,1
45,67.5,77.048828,77.0,48.83,1
46,69.0,78.408854,78.56666666666666,157.81,1
47,70.5,79.815104,79.7,115.1,1
48,72.0,81.307292,81.23333333333333,73.96,1
49,73.5,82.5703125,82.6,29.69,1
50,75.0,84.029297,83.53333333333333,495.96,1
51,76.5,85.485677,85.5,14.32,1
52,78.0,86.798177,87.03333333333333,235.16,1
53,79.5,88.316406,88.3,16.41,1
54,81.0,89.7714845,89.53333333333333,238.15,1
55,82.5,91.029948,91.23333333333333,203.39,1
56,84.0,92.428385,92.06666666666666,361.72,1
57,85.5,93.984375,93.96666666666667,17.71,1
58,87.0,95.2526045,95.33333333333333,80.73,1
59,88.5,96.766276,95.86666666666666,899.61,1
60,90.0,98.3652345,98.36666666666666,1.43,1
61,91.5,100.022135,100.1,77.86,1
62,93.0,101.625,101.6,25.0,1
63,94.5,103.25,103.23333333333333,16.67,1
64,96.0,104.8072915,104.8,7.29,1
65,97.5,106.250651,105.73333333333333,517.32,1
66,99.0,107.626302,107.83333333333333,207.03,1
67,100.5,109.010417,108.86666666666666,143.75,1
68,102.0,110.69531200000002,110.66666666666667,28.65,1
69,103.5,112.0416665,112.03333333333333,8.33,1
70,105.0,113.561198,112.4,1161.2,1
71,106.5,115.2369795,115.2,36.98,1
72,108.0,116.822917,116.33333333333333,489.58,1
73,109.5,118.377604,118.33333333333333,44.27,1
74,111.0,120.2734375,119.93333333333334,340.1,1
75,112.5,122.188802,120.9,1288.8,1
76,114.0,123.763021,123.26666666666667,496.35,1
77,115.5,125.078776,125.06666666666666,12.11,1
78,117.0,126.2734375,126.3,26.56,1
79,118.5,127.501302,127.6,98.7,1
80,120.0,128.816406,128.43333333333334,383.07,1
81,121.5,130.20963500000002,130.16666666666666,42.97,1
82,123.0,131.917969,133.26666666666668,1348.7,1
83,124.5,133.85026000000002,134.0,149.74,1
84,126.0,135.173177,135.13333333333333,39.84,1
85,127.5,136.4101565,136.4,10.16,1
86,129.0,137.53710900000002,137.53333333333333,3.78,1
87,130.5,138.643229,138.6,43.23,1
88,132.0,139.863281,139.66666666666666,196.61,1
89,133.5,141.213542,140.83333333333334,380.21,1
90,135.0,142.739583,142.7,39.58,1
91,136.5,144.139323,144.66666666666666,527.34,1
92,138.0,145.455078,145.4,55.08,1
93,139.5,146.95638000000002,147.2,243.62,1
94,141.0,148.300781,148.26666666666668,34.11,1
95,142.5,149.44661499999995,149.53333333333333,86.72,1
96,144.0,150.7272135,150.7,27.21,1
97,145.5,152.0371095,152.16666666666666,129.56,1
98,147.0,153.235026,153.23333333333332,1.69,1
99,148.5,154.394531,154.4,5.47,1
100,150.0,155.688802,156.23333333333332,544.53,1
101,151.5,156.830729,157.03333333333333,202.6,1
102,153.0,157.88411499999995,157.7,184.11,1
103,154.5,159.058594,159.16666666666666,108.07,1
104,156.0,160.441406,160.46666666666667,25.26,1
105,157.5,161.66666650000005,161.3,366.67,1
106,159.0,162.73567749999995,162.73333333333332,2.34,1
107,160.5,163.872396,163.83333333333334,39.06,1
108,162.0,165.17447900000005,165.56666666666666,392.19,1
109,163.5,166.643229,166.53333333333333,109.9,1
110,165.0,168.597656,166.93333333333334,1664.32,1
111,166.5,171.197917,169.3,1897.92,1
112,168.0,173.3125,173.33333333333334,20.83,1
113,169.5,174.88541650000005,174.86666666666667,18.75,1
114,171.0,176.848958,176.83333333333334,15.62,1
115,172.5,178.41536499999995,178.43333333333334,17.97,1
116,174.0,179.807292,179.66666666666666,140.63,1
117,175.5,180.98242150000002,181.0,17.58,1
118,177.0,182.166667,182.1,66.67,1
119,178.5,183.416667,183.5,83.33,1
120,180.0,184.557292,185.13333333333333,576.04,1
121,181.5,186.0208335,186.03333333333333,12.5,1
122,183.0,187.091146,187.33333333333334,242.19,1
123,184.5,188.222656,188.23333333333332,10.68,1
124,186.0,189.257812,189.66666666666666,408.85,1
125,187.5,190.411458,190.9,488.54,1
126,189.0,191.4270835,191.83333333333334,406.25,1
127,190.5,192.527344,192.86666666666667,339.32,1
128,192.0,193.8489585,193.96666666666667,117.71,1
129,193.5,194.950521,195.1,149.48,1
130,195.00000000000003,196.471354,196.43333333333334,38.02,1
131,196.50000000000003,197.5442705,197.93333333333334,389.06,1
132,198.00000000000003,198.7565105,199.06666666666666,310.16,1
133,199.50000000000003,199.78710900000002,200.3,512.89,1
134,201.00000000000003,201.018229,201.06666666666666,48.44,1
135,202.50000000000003,202.10026,202.4,299.74,1
136,204.00000000000003,203.170573,204.06666666666666,896.09,1
137,205.50000000000003,204.171875,206.83333333333334,2661.46,1
138,207.00000000000003,205.324219,207.1,1775.78,1
139,208.50000000000003,206.535156,207.4,864.84,1
140,210.00000000000003,207.726562,207.66666666666666,59.9,1
141,211.50000000000003,209.278646,209.3,21.35,1
142,213.00000000000003,211.253906,211.3,46.09,1
143,214.50000000000003,212.542969,212.83333333333334,290.36,1
144,216.00000000000003,213.46224,213.7,237.76,1
145,217.50000000000003,214.363281,214.5,136.72,1
146,219.00000000000003,215.308594,216.3,991.41,1
147,220.50000000000009,216.12044249999997,218.4,2279.56,1
148,222.00000000000026,216.803385,218.6,1796.62,1
149,223.5000000000005,217.42513,219.9,2474.87,1
150,225.00000000000065,218.108073,220.86666666666667,2758.59,1
151,226.5000000000009,218.729167,221.13333333333333,2404.17,1
152,228.00000000000108,219.28776,221.66666666666666,2378.91,1
153,229.50000000000125,219.882812,221.86666666666667,1983.85,1
154,231.0000000000015,220.518229,222.23333333333332,1715.1,1
155,232.50000000000168,221.221354,222.9,1678.65,1
156,234.00000000000185,222.017578,224.26666666666668,2249.09,1
157,235.5000000000021,222.8847655,227.83333333333334,4948.57,1
158,237.00000000000225,224.026042,228.26666666666668,4240.62,1
159,238.50000000000176,225.54036499999998,228.46666666666667,2926.3,1
160,240.00000000000176,226.64518199999998,228.93333333333334,2288.15,1
161,241.50000000000182,227.86653650000002,230.36666666666667,2500.13,1
162,243.00000000000182,229.009115,231.53333333333333,2524.22,1
163,244.50000000000182,230.061198,231.73333333333332,1672.14,1
164,246.00000000000182,231.138021,231.93333333333334,795.31,1
165,247.50000000000188,232.424479,232.13333333333333,291.15,1
166,249.00000000000188,234.044271,234.13333333333333,89.06,1
167,250.50000000000188,236.391927,236.43333333333334,41.41,1
168,252.00000000000188,237.893229,238.0,106.77,1
169,253.50000000000193,238.98763,239.0,12.37,1
170,255.00000000000193,240.4622395,240.9,437.76,1
171,256.50000000000193,241.859375,243.4,1540.63,1
172,257.999999450002,243.565755,244.46666666666667,900.91,1
173,259.500000000002,245.272135,245.93333333333334,661.2,1
174,261.000000000002,246.75065099999998,248.43333333333334,1682.68,1
175,262.50000000000193,248.05599,249.63333333333333,1577.34,1
176,264.000000000002,249.3125,249.8,487.5,1
177,265.500000000002,250.541667,250.0,541.67,1
178,267.00000000000205,251.742188,251.8,57.81,1
179,268.500000000002,252.911458,253.73333333333332,821.88,1
180,270.00000000000205,254.384115,254.4,15.88,1
181,271.50000000000205,255.635417,255.6,35.42,1
182,273.00000000000205,256.78125,256.73333333333335,47.92,1
183,274.5000000000021,258.54622400000005,258.0,546.22,1
184,276.0000000000021,259.7044275,259.53333333333336,171.09,1
185,277.5000000000021,260.717448,260.8,82.55,1
186,279.00000000000216,261.71549500000003,261.6666666666667,48.83,1
187,280.50000000000216,262.790365,263.23333333333335,442.97,1
188,281.9999994500022,264.46093775,265.0,539.06,1
189,283.50000000000216,266.1315105,266.1333333333333,1.82,1
190,285.0000000000022,267.7447915,267.73333333333335,11.46,1
191,286.50000000000216,269.38151,269.03333333333336,348.18,1
192,288.00000000000216,270.9869795,269.46666666666664,1520.31,1
193,289.50000000000216,273.2988285,270.8,2498.83,1
194,290.9999994500023,274.72428425,272.73333333333335,1990.95,1
195,292.50000000000216,276.14974,277.56666666666666,1416.93,1
196,294.00000000000216,277.684896,278.1333333333333,448.44,1
197,295.5000000000021,280.44140600000003,280.43333333333334,8.07,1
198,297.00000000000216,282.770833,282.73333333333335,37.5,1
199,298.50000000000216,283.807292,283.8333333333333,26.04,1
200,300.00000000000216,284.595052,285.1,504.95,1
201,301.5000000000022,285.372396,286.1666666666667,794.27,1
202,303.0000000000022,286.597005,286.4,197.01,1
203,304.5000000000022,287.5097655,287.8,290.23,1
204,306.00000000000233,288.3417970000001,288.8666666666667,524.87,1
205,307.50000000000233,289.734375,289.53333333333336,201.04,1
206,309.00000000000233,290.9309895,290.93333333333334,2.34,1
207,310.5000000000025,291.735677,291.8666666666667,130.99,1
208,312.0000000000024,292.542318,292.53333333333336,8.98,1
209,313.5000000000024,293.289062,294.7,1410.94,1
210,315.0000000000024,294.3958335,295.1,704.17,1
211,316.5000000000024,295.3209635,295.3333333333333,12.37,1
212,318.00000000000244,296.2552085,296.23333333333335,21.88,1
213,319.50000000000244,297.39453100000014,297.46666666666664,72.14,1
214,321.0000000000025,298.902344,299.3,397.66,1
215,322.5000000000025,300.5,300.56666666666666,66.67,1
216,324.0000000000025,301.699219,301.76666666666665,67.45,1
217,325.5000000000025,302.736979,302.76666666666665,29.69,1
218,327.00000000000244,304.234375,304.2,34.38,1
219,328.5000000000025,305.669271,305.7,30.73,1
220,330.0000000000025,306.779948,306.93333333333334,153.39,1
221,331.5000000000025,307.794271,308.03333333333336,239.06,1
222,333.00000000000244,309.221354,309.1,121.35,1
223,334.5000000000025,310.25,310.3,50.0,1
224,336.0000000000025,311.11328100000014,311.6666666666667,553.39,1
225,337.50000000000244,311.984375,312.26666666666665,282.29,1
226,339.0000000000025,313.08203100000014,312.8,282.03,1
227,340.50000000000256,314.091146,314.46666666666664,375.52,1
228,342.00000000000256,314.907552,315.03333333333336,125.78,1
229,343.5000000000026,315.720052,315.6666666666667,53.39,1
230,345.0000000000026,316.505208,316.6333333333333,128.13,1
231,346.5000000000026,317.257812,317.3333333333333,75.52,1
232,348.0000000000026,318.35026,318.3333333333333,16.93,1
233,349.5000000000027,319.145833,319.8333333333333,687.5,1
234,351.0000000000027,319.826823,320.8666666666667,1039.84,1
235,352.5000000000027,320.4876305,322.46666666666664,1979.04,1
236,354.00000000000273,321.173828,323.4,2226.17,1
237,355.50000000000273,322.088542,324.6333333333333,2544.79,1
238,357.00000000000324,323.048177,324.9,1851.82,1
239,358.5000000000042,324.121094,325.26666666666665,1145.57,1
240,360.0000000000048,325.270833,325.6,329.17,1
241,361.50000000000455,326.2415365,326.26666666666665,25.13,1
242,363.00000000000426,327.235677,327.4,164.32,1
243,364.50000000000415,328.14453100000014,328.53333333333336,388.8,1
244,366.00000000000364,329.2395835,329.6666666666667,427.08,1
245,367.50000000000335,330.210938,330.46666666666664,255.73,1
246,369.0000000000031,331.3183595000001,331.6333333333333,314.97,1
247,370.50000000000284,332.2369795,332.43333333333334,196.35,1
248,372.0000000000026,333.584635,333.53333333333336,51.3,1
249,373.50000000000256,334.726562,334.53333333333336,193.23,1
250,375.0000000000025,335.940104,336.4,459.9,1
251,376.50000000000256,336.983073,339.1666666666667,2183.59,1
252,378.0000000000024,338.032552,339.9,1867.45,1
253,379.5000000000025,339.195312,340.23333333333335,1038.02,1
254,381.000000000002,340.563802,341.1333333333333,569.53,1
255,382.50000000000205,342.505208,342.03333333333336,471.87,1
256,384.00000000000205,344.671875,344.43333333333334,238.54,1
257,385.50000000000205,346.777344,346.76666666666665,10.68,1
258,387.00000000000216,348.178385,348.1666666666667,11.72,1
259,388.50000000000216,349.871094,349.8,71.09,1
260,390.0000000000021,351.716146,351.5,216.15,1
261,391.50000000000233,353.446615,353.3666666666667,79.95,1
262,393.00000000000233,355.12890600000014,355.1,28.91,1
263,394.50000000000244,356.755208,356.43333333333334,321.87,1
264,396.00000000000244,358.598958,357.96666666666664,632.29,1
265,397.50000000000256,360.527344,360.5,27.34,1
266,399.00000000000153,362.57617200000004,362.53333333333336,42.84,1
267,400.5000000000016,365.6477865,364.7,947.79,1
268,401.9999996500015,367.20052075,367.03333333333336,167.19,1
269,403.5000000000016,368.75325499999997,368.76666666666665,13.41,1
270,405.0000000000017,369.8365885,369.76666666666665,69.92,1
271,406.5000000000017,370.8691405,370.8666666666667,2.47,1
272,408.000000000003,372.1783855,372.0,178.39,1
273,409.5000000000031,374.0709635,374.1,29.04,1
274,411.0000000000025,379.108073,375.3333333333333,3774.74,1
275,412.5000000000025,380.5605465,380.5,60.55,1
276,414.0000000000025,381.8880205,381.8666666666667,21.35,1
277,415.5000000000025,383.151693,383.2,48.31,1
278,417.0000000000025,384.677083,384.6666666666667,10.42,1
279,418.5000000000025,386.093099,386.03333333333336,59.77,1
280,420.0000000000025,387.5078125,387.06666666666666,441.15,1
281,421.5000000000025,389.128906,390.6,1471.09,1
282,423.0000000000025,390.40820299999996,390.96666666666664,558.46,1
283,424.5000000000025,391.645833,391.3,345.83,1
284,426.0000000000025,392.8333335,392.6,233.33,1
285,427.5000000000025,394.341146,393.9,441.15,1
286,429.0000000000025,395.70898450000004,395.46666666666664,242.32,1
287,430.5000000000025,397.1699215,397.2,30.08,1
288,432.0000000000025,398.72526,398.6333333333333,91.93,1
289,433.5000000000025,399.972005,400.0,27.99,1
290,435.0000000000025,401.205729,401.23333333333335,27.6,1
291,436.5000000000025,402.393229,402.46666666666664,73.44,1
292,438.0000000000025,403.938802,403.73333333333335,205.47,1
293,439.5000000000025,405.414062,405.3666666666667,47.4,1
294,441.0000000000025,407.621745,407.1333333333333,488.41,1
295,442.5000000000025,409.5826825,409.56666666666666,16.02,1
296,444.0000000000025,411.109375,411.1,9.37,1
297,445.5000000000025,412.5442705,412.6333333333333,89.06,1
298,447.0000000000025,414.063802,413.1333333333333,930.47,1
299,448.5000000000025,415.49544249999997,415.53333333333336,37.89,1
300,450.0000000000025,416.8671875,416.3666666666667,500.52,1
301,451.5000000000025,418.263021,418.3666666666667,103.65,1
302,453.0000000000025,419.63150999999993,419.5,131.51,1
303,454.5000000000025,421.191406,421.4,208.59,1
304,456.0000000000025,422.500651,422.3333333333333,167.32,1
305,457.5000000000025,424.007813,424.06666666666666,58.85,1
306,459.0000000000025,425.61067699999995,425.6666666666667,55.99,1
307,460.5000000000025,427.21158899999995,427.2,11.59,1
308,462.0000000000025,429.095052,429.06666666666666,28.39,1
309,463.5000000000025,430.691406,430.76666666666665,75.26,1
310,465.0000000000025,431.886719,432.03333333333336,146.61,1
311,466.5000000000025,433.07942699999995,433.1333333333333,53.91,1
312,468.0000000000026,434.11588499999993,434.4,284.12,1
313,469.50000000000284,435.0703125,435.3,229.69,1
314,471.00000000000307,436.2115885,436.23333333333335,21.74,1
315,472.5000000000033,437.7753905,437.8,24.61,1
316,474.0000000000033,438.901042,438.93333333333334,32.29,1
317,475.5000000000033,440.106771,440.2,93.23,1
318,477.0000000000033,441.55338499999993,441.3,253.38,1
319,478.50000000000364,442.60025999999993,442.6,0.26,1
320,480.00000000000387,443.76692699999995,444.1,333.07,1
321,481.5000000000042,444.76432300000016,444.8666666666667,102.34,1
322,483.00000000000443,445.8847655,446.1333333333333,248.57,1
323,484.5000000000048,446.971354,447.06666666666666,95.31,1
324,486.0000000000051,448.3359375,448.56666666666666,230.73,1
325,487.5000000000052,449.377604,450.03333333333336,655.73,1
326,489.00000000000534,450.3951825,450.96666666666664,571.48,1
327,490.5000000000057,451.3027345,451.3333333333333,30.6,1
328,492.0000000000066,452.36393200000003,452.3666666666667,2.73,1
329,493.50000000000693,453.2929685,453.7,407.03,1
330,495.0000000000073,454.1321615,454.73333333333335,601.17,1
331,496.5000000000076,455.02408850000006,455.3333333333333,309.24,1
332,498.00000000000796,455.911458,455.93333333333334,21.88,1
333,499.5000000000083,456.673177,456.6666666666667,6.51,1
334,501.0000000000087,457.44400999999993,457.56666666666666,122.66,1
335,502.500000000009,458.313802,458.4,86.2,1
336,504.0000000000093,459.095703,460.3333333333333,1237.63,1
337,505.50000000000966,460.005208,461.53333333333336,1528.13,1
338,507.00000000001,461.148438,462.8666666666667,1718.23,1
339,508.50000000001035,462.19661500000007,463.8,1603.38,1
340,510.0000000000107,463.016927,464.26666666666665,1249.74,1
341,511.5000000000107,463.833333,464.43333333333334,600.0,1
342,513.0000000000042,464.901042,465.03333333333336,132.29,1
343,514.5000000000043,466.310547,466.3333333333333,22.79,1
344,516.0000000000043,467.411458,467.6666666666667,255.21,1
345,517.5000000000043,468.4140625,469.06666666666666,652.6,1
346,519.0000000000043,469.351562,470.5,1148.44,1
347,520.5000000000043,470.47265650000014,470.76666666666665,294.01,1
348,522.0000000000043,471.72525999999993,471.6666666666667,58.59,1
349,523.5000000000043,472.84244800000016,472.93333333333334,90.89,1
350,525.0000000000043,473.988281,475.26666666666665,1278.39,1
351,526.5000000000043,475.21223949999995,476.3666666666667,1154.43,1
352,528.0000000000043,475.989583,477.2,1210.42,1
353,529.5000000000043,477.313151,478.6333333333333,1320.18,1
354,531.0000000000043,478.63932300000016,478.93333333333334,294.01,1
355,532.5000000000041,479.720703,480.3,579.3,1
356,534.000000000004,480.60872400000005,481.3666666666667,757.94,1
357,535.5000000000038,481.50716150000005,484.1666666666667,2659.51,1
358,537.0000000000036,482.81705700000003,484.43333333333334,1616.28,1
359,538.5000000000036,483.903646,484.7,796.35,1
360,540.0000000000036,484.779297,485.1333333333333,354.04,1
361,541.5000000000036,485.59700549999997,485.5,97.01,1
362,543.0000000000036,486.49869800000016,487.1,601.3,1
363,544.5000000000036,487.466146,488.06666666666666,600.52,1
364,546.0000000000036,488.51237,488.46666666666664,45.7,1
365,547.5000000000036,489.566406,489.53333333333336,33.07,1
366,549.0000000000036,490.875651,490.3333333333333,542.32,1
367,550.5000000000036,492.00650999999993,492.0,6.51,1
368,552.0000000000036,492.93099000000007,493.03333333333336,102.34,1
369,553.5000000000036,493.88932300000016,493.93333333333334,44.01,1
370,555.0000000000036,494.917969,495.4,482.03,1
371,556.5000000000036,495.760417,497.0,1239.58,1
372,558.0000000000036,496.635417,497.3666666666667,731.25,1
373,559.5000000000036,497.671875,497.6333333333333,38.54,1
374,561.0000000000036,498.89192699999995,498.8,91.93,1
375,562.5000000000036,499.999349,500.7,700.65,1
376,564.0000000000036,501.09049450000003,501.1666666666667,76.17,1
377,565.5000000000036,501.940104,501.96666666666664,26.56,1
378,567.0000000000036,503.04557300000016,502.73333333333335,312.24,1
379,568.5000000000036,503.95182249999993,504.1666666666667,214.84,1
380,570.0000000000036,504.7389325,504.73333333333335,5.6,1
381,571.5000000000036,505.525391,506.0,474.61,1
382,573.0000000000036,506.32161500000007,506.43333333333334,111.72,1
383,574.5000000000036,507.14974000000007,507.3,150.26,1
384,576.0000000000036,508.04296849999986,509.53333333333336,1490.36,1
385,577.5000000000035,509.33138,509.8333333333333,501.95,1
386,579.0000000000035,510.734375,510.23333333333335,501.04,1
387,580.5000000000034,511.69401050000016,511.93333333333334,239.32,1
388,582.0000000000031,512.5520835,512.7333333333333,181.25,1
389,583.5000000000028,513.2858075,514.6,1314.19,1
390,585.0000000000025,514.1471355,515.0,852.86,1
391,586.5000000000023,514.908854,516.7666666666667,1857.81,1
392,588.0000000000019,515.7565105,517.0333333333333,1276.82,1
393,589.5000000000017,516.4947915,517.8333333333334,1338.54,1
394,591.0000000000015,517.567057,518.1,532.94,1
395,592.5000000000015,518.598958,518.9666666666667,367.71,1
396,594.0000000000013,519.3528645,520.3333333333334,980.47,1
397,595.5000000000013,520.248698,520.6,351.3,1
398,597.0000000000013,521.082682,521.0666666666667,16.02,1
399,598.5000000000013,522.0136719999998,522.3666666666667,352.99,1
400,600.000000000001,522.7584635,524.3333333333334,1574.87,1
401,601.500000000001,523.8111980000001,524.6,788.8,1
402,603.000000000001,524.4778650000002,524.8666666666667,388.8,1
403,604.500000000001,525.0436199999998,525.2333333333333,189.71,1
404,606.000000000001,525.6126300000002,526.5333333333333,920.7,1
405,607.500000000001,526.2011719999998,527.6333333333333,1432.16,1
406,609.000000000001,527.0052085,528.4666666666667,1461.46,1
407,610.5000000000028,527.6640625,528.7666666666667,1102.6,1
408,612.0000000000025,528.1946614999998,530.2,2005.34,1
409,613.499999700002,531.21484375,530.6666666666666,548.18,1
410,615.0000000000025,534.2350260000002,534.0,235.03,1
411,616.4999997000021,535.9274090000001,538.0333333333333,2105.92,1
412,618.0000000000025,537.6197920000002,540.9,3280.21,1
413,619.4999997000021,539.2773440000002,543.8666666666667,4589.32,1
414,621.0000000000025,540.934896,544.2333333333333,3298.44,1
415,622.4999997000021,542.576823,544.5666666666667,1989.84,1
416,624.0000000000025,544.21875,549.9666666666667,5747.92,1
417,625.4999997000026,546.2272135000002,555.4666666666667,9239.45,1
418,627.0000000000025,548.235677,556.8666666666667,8630.99,1
419,628.4999997000026,548.9688313125,557.9666666666667,8997.84,1
420,630.0000003000027,549.701985625,558.9666666666667,9264.68,1
421,631.4999997000026,550.4351399375,559.7333333333333,9298.19,1
422,633.0000003000027,551.16829425,562.1,10931.71,1
423,634.4999997000026,551.9014485625,563.4333333333333,11531.88,1
424,636.0000003000027,552.634602875,564.6666666666666,12032.06,1
425,637.4999997000028,553.3677571875,565.0,11632.24,1
426,639.0000000000025,554.1009115,567.0333333333333,12932.42,1
427,640.5000000000025,555.465495,570.3,14834.5,1
428,642.0000000000024,556.578125,572.0666666666667,15488.54,1
429,643.5000000000023,557.981771,573.7333333333333,15751.56,1
430,645.0000000000022,559.2460940000002,575.5333333333333,16287.24,1
431,646.5000000000022,560.4414065000002,577.1,16658.59,1
432,648.000000000002,561.559896,579.5,17940.1,1
433,649.5000000000019,562.9160155000002,581.6666666666666,18750.65,1
434,651.0000000000018,564.184896,583.2666666666667,19081.77,1
435,652.5000000000018,565.4648440000002,584.6,19135.16,1
436,654.0000000000017,566.638021,586.5333333333333,19895.31,1
437,655.5000000000017,567.822917,588.1333333333333,20310.42,1
438,657.0000000000015,569.049479,591.0333333333333,21983.85,1
439,658.5000000000015,570.0390625,593.5666666666667,23527.6,1
440,660.0000000000014,571.1197915,595.1666666666666,24046.88,1
441,661.5000000000014,572.2864585,596.5,24213.54,1
442,663.0000000000013,573.3502599999998,597.5666666666667,24216.41,1
443,664.5000000000013,574.401042,601.7333333333333,27332.29,1
444,666.0000000000011,575.5618489999998,602.1,26538.15,1
445,667.500000000001,576.572266,602.4333333333333,25861.07,1
446,669.0000000000008,577.8320309999998,602.7666666666667,24934.64,1
447,670.5000000000008,578.858073,603.3,24441.93,1
448,672.0000000000007,579.8945309999998,606.2666666666667,26372.14,1
449,673.5000000000006,581.013021,607.7666666666667,26753.65,1
450,675.0000000000006,582.200521,608.3333333333334,26132.81,1
451,676.5000000000003,583.3828120000003,613.7666666666667,30383.85,1
452,678.0000000000003,584.4726559999998,615.0666666666667,30594.01,1
453,679.5000000000002,585.779948,616.4333333333333,30653.39,1
454,681.0000000000002,587.2701825,616.9666666666667,29696.48,1
455,682.5000000000001,588.4934900000002,616.9666666666667,28473.18,1
456,684.0000000000001,589.5742190000002,616.9666666666667,27392.45,1
457,685.5,590.931641,616.9666666666667,26035.03,1
458,687.0,592.6458335,616.9666666666667,24320.83,1
459,688.4999999999999,593.8587235,616.9666666666667,23107.94,1
460,689.9999999999999,594.6920574999998,616.9666666666667,22274.61,1
461,691.4999999999998,595.5169269999999,616.9666666666667,21449.74,1
462,692.9999999999998,596.408854,616.9666666666667,20557.81,1
463,694.4999999999997,597.3717445,616.9666666666667,19594.92,1
464,695.9999999999997,598.188802,616.9666666666667,18777.86,1
465,697.4999999999995,598.9980469999998,616.9666666666667,17968.62,1
466,698.9999999999995,599.9335940000002,616.9666666666667,17033.07,1
467,700.4999999999993,600.84375,616.9666666666667,16122.92,1
468,701.9999999999993,601.682292,616.9666666666667,15284.37,1
469,703.4999999999992,602.5384114999998,616.9666666666667,14428.26,1
470,704.9999999999992,603.2897135000002,616.9666666666667,13676.95,1
471,706.499999999999,604.2805989999998,616.9666666666667,12686.07,1
472,707.999999999999,605.1210940000002,616.9666666666667,11845.57,1
473,709.4999999999989,605.854167,616.9666666666667,11112.5,1
474,710.9999999999989,606.5006510000002,616.9666666666667,10466.02,1
475,712.4999999999987,607.1953125,616.9666666666667,9771.35,1
476,713.9999999999989,607.874349,616.9666666666667,9092.32,1
477,715.4999999999987,608.592448,616.9666666666667,8374.22,1
