beat_idx,gt_beat,gt_time_s,pred_time_s,err_ms,ok
0,0.0,2.0172255000000003,0.0,2017.23,1
1,1.5,3.298608,2.4,898.61,1
2,3.0,4.37265875,3.2666666666666666,1105.99,1
3,4.5,5.446709500000001,4.4,1046.71,1
4,6.0,6.282045,5.466666666666667,815.38,1
5,7.5,7.148764,7.1,48.76,1
6,9.0,8.13434,8.1,34.34,1
7,10.5,9.04513,9.033333333333333,11.8,1
8,12.0,9.967939,9.933333333333334,34.61,1
9,13.5,11.034978,10.833333333333334,201.64,1
10,15.0,12.316137666666668,12.3,16.14,1
11,16.5,13.597297333333335,13.833333333333334,236.04,1
12,18.0,14.878457,14.9,21.54,1
13,19.5,15.98289,16.0,17.11,1
14,21.0,17.218199,17.5,281.8,1
15,22.5,18.157033,18.166666666666668,9.63,1
16,24.0,19.415045000000006,19.7,284.95,1
17,25.5,20.361892,20.233333333333334,128.56,1
18,27.0,21.322094,21.766666666666666,444.57,1
19,28.5,22.239561,22.233333333333334,6.23,1
20,30.0,23.29591700000001,23.8,504.08,1
21,31.5,24.330905,24.366666666666667,35.76,1
22,33.0,25.339184,25.566666666666666,227.48,1
23,34.5,26.157826500000002,26.0,157.83,1
24,36.0,27.401148,27.433333333333334,32.19,1
25,37.5,28.416104,28.433333333333334,17.23,1
26,39.0,29.439073,29.533333333333335,94.26,1
27,40.5,30.401278,30.4,1.28,1
28,42.0,31.351464500000002,31.4,48.54,1
29,43.50000000000001,32.588108500000004,32.63333333333333,45.22,1
30,45.00000000000001,33.595052,33.56666666666667,28.39,1
31,46.50000000000001,34.3856495,34.36666666666667,18.98,1
32,48.00000000000001,35.58757100000001,35.53333333333333,54.24,1
33,49.50000000000001,36.485006,36.46666666666667,18.34,1
34,51.00000000000001,37.454557,37.43333333333333,21.22,1
35,52.5,38.436126,38.4,36.13,1
36,54.0,39.4604305,39.4,60.43,1
37,55.499999999999986,40.52747,40.5,27.47,1
38,56.99999999999999,41.460963,41.13333333333333,327.63,1
39,58.499999999999986,42.510641,42.0,510.64,1
40,59.999999999999986,43.700544,43.4,300.54,1
41,61.499999999999986,44.897124,44.7,197.12,1
42,62.999999999999986,45.9468025,45.6,346.8,1
43,64.49999999999999,46.712026,46.63333333333333,78.69,1
44,65.99999999999999,48.201074,48.0,201.07,1
45,67.49999999999999,49.258765,48.733333333333334,525.43,1
46,68.99999999999999,50.272386,49.96666666666667,305.72,1
47,70.49999999999999,51.135098,51.1,35.1,1
48,71.99999999999999,52.097971,52.0,97.97,1
49,73.49999999999999,52.940652,52.93333333333333,7.32,1
50,74.99999999999999,54.038408,53.766666666666666,271.74,1
51,76.49999999999999,54.8877655,54.1,787.77,1
52,77.99999999999997,55.86065450000001,55.6,260.65,1
53,79.49999999999997,57.025851,57.03333333333333,7.48,1
54,80.99999999999997,58.421416,58.4,21.42,1
55,82.49999999999997,59.69946,59.733333333333334,33.87,1
56,83.99999999999997,60.66901,60.8,130.99,1
57,85.49999999999997,61.75608100000001,61.733333333333334,22.75,1
58,86.99999999999997,62.875204,62.93333333333333,58.13,1
59,88.49999999999997,64.039733,64.0,39.73,1
60,89.99999999999997,65.194913,65.2,5.09,1
61,91.49999999999997,66.016227,66.13333333333334,117.11,1
62,92.99999999999997,66.913662,67.13333333333334,219.67,1
63,94.49999999999997,68.1863635,67.93333333333334,253.03,1
64,95.99999999999997,69.459065,69.2,259.06,1
65,97.49999999999997,70.705058,70.66666666666667,38.39,1
66,98.99999999999997,72.50794,71.96666666666667,541.27,1
67,100.49999999999997,73.64041800000003,73.63333333333334,7.08,1
68,101.99999999999993,74.776902,74.8,23.1,1
69,103.49999999999994,75.84127,75.83333333333333,7.94,1
70,104.99999999999994,76.860233,76.86666666666666,6.43,1
71,106.49999999999994,77.843138,77.86666666666666,23.53,1
72,107.99999999999994,78.852752,78.9,47.25,1
73,109.49999999999994,79.7742255,79.76666666666667,7.56,1
74,110.99999999999994,80.742441,81.1,357.56,1
75,112.5,81.663914,81.93333333333334,269.42,1
76,114.00000000000009,82.624116,82.73333333333333,109.22,1
77,115.50000000000009,83.71586199999999,83.73333333333333,17.47,1
78,117.00000000000009,84.836988,84.83333333333333,3.65,1
79,118.50000000000009,85.79251550000002,85.93333333333334,140.82,1
80,120.0000000000001,87.007125,87.0,7.13,1
81,121.5000000000001,88.16096999999998,88.13333333333334,27.64,1
82,123.0000000000001,89.125178,89.13333333333334,8.16,1
83,124.50000000000013,90.220262,90.23333333333333,13.07,1
84,126.00000000000016,91.3634235,91.3,63.42,1
85,127.50000000000016,92.596061,92.6,3.94,1
86,129.00000000000014,93.785964,93.76666666666667,19.3,1
87,130.50000000000014,95.193548,95.43333333333334,239.79,1
88,132.00000000000017,96.810133,96.6,210.13,1
89,133.50000000000026,98.0574605,98.03333333333333,24.13,1
90,135.00000000000034,99.1859315,99.36666666666666,180.74,1
91,136.50000000000034,100.335103,100.56666666666666,231.56,1
92,138.00000000000034,101.947013,101.2,747.01,1
93,139.50000000000043,102.852461,102.2,652.46,1
94,141.00000000000045,103.862076,103.3,562.08,1
95,142.50000000000048,104.7822135,104.86666666666666,84.45,1
96,144.06250000000048,106.069605,106.1,30.39,1
97,145.56250000000048,107.334294,107.2,134.29,1
98,147.06250000000048,108.488139,108.36666666666666,121.47,1
99,148.56250000000048,109.408277,109.36666666666666,41.61,1
100,150.06250000000048,110.399195,110.36666666666666,32.53,1
