beat_idx,gt_beat,gt_time_s,pred_time_s,err_ms,ok
0,0.0,0.985677,0.0,985.68,1
1,1.0,1.950521,0.5,1450.52,1
2,2.0000000000000004,2.885417,1.0,1885.42,1
3,3.0000000000000004,3.799479,1.5,2299.48,1
4,4.0,4.763021,2.0,2763.02,1
5,5.0,5.768229,2.5,3268.23,1
6,6.0,6.985677000000001,3.0,3985.68,1
7,7.0,8.40917975,3.5,4909.18,1
8,8.000000000000002,9.832682499999999,4.0,5832.68,1
9,9.000000000000002,10.7753905,4.5,6275.39,1
10,10.000000000000002,11.682942500000001,5.0,6682.94,1
11,11.000000000000002,12.5527345,5.5,7052.73,1
12,12.000000000000002,13.5266925,6.0,7526.69,1
13,13.0,14.460938,6.5,7960.94,1
14,13.999999999999998,15.84375,15.8,43.75,1
15,15.000000000000002,17.367188,17.133333333333333,233.85,1
16,16.000000000000014,19.9479165,18.433333333333334,1514.58,1
17,17.00000000000002,20.438151,18.866666666666667,1571.48,1
18,18.00000000000002,20.8834635,20.933333333333334,49.87,1
19,19.000000000000032,21.3229165,21.266666666666666,56.25,1
20,20.00000000000004,21.779948,21.766666666666666,13.28,1
21,21.00000000000006,22.2395835,22.266666666666666,27.08,1
22,22.000000000000046,22.6796875,22.733333333333334,53.65,1
23,23.000000000000053,23.10026,23.2,99.74,1
24,24.000000000000053,23.5664065,23.4,166.41,1
25,25.00000000000006,24.045573,24.066666666666666,21.09,1
26,26.000000000000068,24.467448,24.5,32.55,1
27,27.000000000000068,24.954427,24.966666666666665,12.24,1
28,28.000000000000075,25.395833,25.7,304.17,1
29,29.00000000000008,25.858073,26.566666666666666,708.59,1
30,30.000000000000092,26.33919250000001,26.933333333333334,594.14,1
31,31.0000000000001,26.779948,27.033333333333335,253.39,1
32,32.0000000000001,27.263020500000003,27.7,436.98,1
33,33.00000000000011,27.70442700000001,28.166666666666668,462.24,1
34,34.00000000000011,28.125,28.233333333333334,108.33,1
35,35.000000000000135,28.630208000000003,28.6,30.21,1
36,36.00000000000012,29.11067700000001,29.133333333333333,22.66,1
37,37.00000000000013,29.621094,29.933333333333334,312.24,1
38,38.00000000000015,30.01692700000001,30.1,83.07,1
39,39.000000000000135,30.464844,30.833333333333332,368.49,1
40,40.00000000000014,30.960938,31.566666666666666,605.73,1
41,41.00000000000015,31.420573,32.266666666666666,846.09,1
42,42.00000000000015,31.858073,32.4,541.93,1
43,43.00000000000016,32.316406,32.46666666666667,150.26,1
44,44.00000000000015,32.811198,32.96666666666667,155.47,1
45,45.00000000000016,33.273438,33.6,326.56,1
46,46.000000000000185,33.743489999999994,33.833333333333336,89.84,1
47,47.00000000000018,34.246419499999995,33.9,346.42,1
48,48.00000000000016,34.749348999999995,34.666666666666664,82.68,1
49,49.000000000000185,35.255208,35.333333333333336,78.13,1
50,50.000000000000185,35.691406,35.733333333333334,41.93,1
51,51.000000000000185,36.1484375,36.13333333333333,15.1,1
52,52.0000000000002,36.609375,36.63333333333333,23.96,1
53,53.0000000000002,37.076172,36.93333333333333,142.84,1
54,54.00000000000023,37.529297,37.53333333333333,4.04,1
55,55.00000000000021,37.954427,37.9,54.43,1
56,56.00000000000021,38.442708,38.43333333333333,9.37,1
57,57.00000000000021,38.91276,38.8,112.76,1
58,58.00000000000023,39.313802,39.333333333333336,19.53,1
59,59.00000000000023,39.765625,39.63333333333333,132.29,1
60,60.00000000000024,40.223958,40.6,376.04,1
