beat_idx,gt_beat,gt_time_s,pred_time_s,err_ms,ok
0,0.0,1.03776,0.0,1037.76,1
1,1.0,2.308594,0.5,1808.59,1
2,2.0000000000000004,3.41276,1.0,2412.76,1
3,3.0000000000000004,4.53125,1.5,3031.25,1
4,4.0,5.783854,2.0,3783.85,1
5,5.0,7.0377600000000005,2.5,4537.76,1
6,6.0,8.571615,3.0,5571.61,1
7,7.0,10.298503,3.5,6798.5,1
8,8.000000000000002,12.025391,4.0,8025.39,1
9,9.000000000000002,13.29362,4.5,8793.62,1
10,10.000000000000002,14.3639325,5.0,9363.93,1
11,11.000000000000002,15.563151,5.5,10063.15,1
12,12.000000000000002,16.9453125,6.0,10945.31,1
13,13.0,18.27474,6.5,11774.74,1
14,13.999999999999998,19.894531,14.5,5394.53,1
15,15.000000000000002,22.08724,15.533333333333333,6553.91,1
16,16.000000000000014,24.660807000000002,22.6,2060.81,1
17,17.00000000000002,25.229167,23.166666666666668,2062.5,1
18,18.00000000000002,25.747396,25.566666666666666,180.73,1
19,19.000000000000032,26.279296999999996,26.3,20.7,1
20,20.00000000000004,26.796875,26.8,3.13,1
21,21.00000000000006,27.3072915,27.033333333333335,273.96,1
22,22.000000000000046,27.825521,27.733333333333334,92.19,1
23,23.000000000000053,28.352865,28.366666666666667,13.8,1
24,24.000000000000053,28.841146000000002,29.033333333333335,192.19,1
25,25.00000000000006,29.363281,29.366666666666667,3.39,1
26,26.000000000000068,29.888021,29.833333333333332,54.69,1
27,27.000000000000068,30.411458000000003,30.4,11.46,1
28,28.000000000000075,30.947917,31.1,152.08,1
29,29.00000000000008,31.478515500000004,31.666666666666668,188.15,1
30,30.000000000000092,32.004557500000004,31.966666666666665,37.89,1
31,31.0000000000001,32.566406,32.63333333333333,66.93,1
32,32.0000000000001,33.1015625,33.1,1.56,1
33,33.00000000000011,33.636719,34.0,363.28,1
34,34.00000000000011,34.158854,34.2,41.15,1
35,35.000000000000135,34.695312,35.93333333333333,1238.02,1
36,36.00000000000012,35.277344,36.56666666666667,1289.32,1
37,37.00000000000013,35.783854,36.666666666666664,882.81,1
38,38.00000000000015,36.326823,36.766666666666666,439.84,1
39,39.000000000000135,36.854167,36.96666666666667,112.5,1
40,40.00000000000014,37.417969,37.43333333333333,15.36,1
41,41.00000000000015,37.9609375,38.166666666666664,205.73,1
42,42.00000000000015,38.472656,38.4,72.66,1
43,43.00000000000016,38.988281,38.833333333333336,154.95,1
44,44.00000000000015,39.516927,39.6,83.07,1
45,45.00000000000016,40.057292,39.86666666666667,190.63,1
46,46.000000000000185,40.614583,40.733333333333334,118.75,1
47,47.00000000000018,41.1754555,40.833333333333336,342.12,1
