beat_idx,gt_beat,gt_time_s,pred_time_s,err_ms,ok
0,0.0,1.0,0.0,1000.0,1
1,1.0,2.2114580000000004,0.5,1711.46,1
2,2.0000000000000004,3.557292,1.0,2557.29,1
3,3.0000000000000004,4.907292,1.5,3407.29,1
4,4.0,6.327083,2.0,4327.08,1
5,5.0,7.714583,2.5,5214.58,1
6,6.0,9.185417,3.0,6185.42,1
7,7.0,11.008073,3.5,7508.07,1
8,8.000000000000002,12.830729000000002,4.0,8830.73,1
9,9.000000000000002,14.108332999999998,4.5,9608.33,1
10,10.000000000000002,15.44375,5.0,10443.75,1
11,11.000000000000002,16.7739585,5.5,11273.96,1
12,12.000000000000002,18.1729165,6.0,12172.92,1
13,13.0,19.465625,6.5,12965.62,1
14,13.999999999999998,21.060416500000002,15.133333333333333,5927.08,1
15,15.000000000000002,23.142708,17.566666666666666,5576.04,1
16,16.000000000000014,25.6645835,24.666666666666668,997.92,1
17,17.00000000000002,26.2140625,26.2,14.06,1
18,18.00000000000002,26.6854165,26.6,85.42,1
19,19.000000000000032,27.18125,27.2,18.75,1
20,20.00000000000004,27.671353999999997,27.666666666666668,4.69,1
21,21.00000000000006,28.1546875,28.166666666666668,11.98,1
22,22.000000000000046,28.64531250000001,28.533333333333335,111.98,1
23,23.000000000000053,29.110417,29.033333333333335,77.08,1
24,24.000000000000053,29.572396,29.566666666666666,5.73,1
25,25.00000000000006,30.086458,30.1,13.54,1
26,26.000000000000068,30.577083,30.466666666666665,110.42,1
27,27.000000000000068,31.086458,31.1,13.54,1
28,28.000000000000075,31.597917,31.6,2.08,1
29,29.00000000000008,32.096875,32.233333333333334,136.46,1
30,30.000000000000092,32.602604,32.56666666666667,35.94,1
31,31.0000000000001,33.094792,33.1,5.21,1
32,32.0000000000001,33.615625,33.6,15.62,1
33,33.00000000000011,34.080208,34.13333333333333,53.13,1
34,34.00000000000011,34.5625,34.53333333333333,29.17,1
35,35.000000000000135,35.046875,35.03333333333333,13.54,1
