beat_idx,gt_beat,gt_time_s,pred_time_s,err_ms,ok
0,0.0,1.014323,0.0,1014.32,1
1,1.0,1.895833,0.5,1395.83,1
2,2.0000000000000004,2.817708,1.0,1817.71,1
3,3.0000000000000004,3.769531,1.5,2269.53,1
4,4.0,4.709635,2.0,2709.63,1
5,5.0,5.727865,2.5,3227.87,1
6,6.0,7.041667,3.0,4041.67,1
7,7.0,8.786133,3.5,5286.13,1
8,8.000000000000002,10.530599,4.0,6530.6,1
9,9.000000000000002,11.3847655,4.5,6884.77,1
10,10.000000000000002,12.267578,5.0,7267.58,1
11,11.000000000000002,13.272135500000001,5.5,7772.14,1
12,12.000000000000002,14.215494499999998,6.0,8215.49,1
13,13.0,15.311198,6.5,8811.2,1
14,13.999999999999998,16.722656,16.466666666666665,255.99,1
15,15.000000000000002,18.351562,18.333333333333332,18.23,1
16,16.000000000000014,20.1783855,19.5,678.39,1
17,17.00000000000002,20.658854,20.833333333333332,174.48,1
18,18.00000000000002,21.097656,21.166666666666668,69.01,1
19,19.000000000000032,21.531901,21.5,31.9,1
20,20.00000000000004,22.0091145,22.0,9.11,1
21,21.00000000000006,22.4739585,22.5,26.04,1
22,22.000000000000046,22.9479165,22.966666666666665,18.75,1
23,23.000000000000053,23.425781,23.433333333333334,7.55,1
24,24.000000000000053,23.856771,23.833333333333332,23.44,1
25,25.00000000000006,24.298177,24.266666666666666,31.51,1
26,26.000000000000068,24.733073,24.733333333333334,0.26,1
27,27.000000000000068,25.171224,25.2,28.78,1
28,28.000000000000075,25.6165365,25.733333333333334,116.8,1
29,29.00000000000008,26.0572915,26.066666666666666,9.38,1
30,30.000000000000092,26.51106750000001,26.533333333333335,22.27,1
31,31.0000000000001,26.920573,26.866666666666667,53.91,1
32,32.0000000000001,27.422526,27.433333333333334,10.81,1
33,33.00000000000011,27.983073,28.133333333333333,150.26,1
34,34.00000000000011,28.502604,28.466666666666665,35.94,1
35,35.000000000000135,28.95442700000001,29.3,345.57,1
36,36.00000000000012,29.388021,30.033333333333335,645.31,1
37,37.00000000000013,29.821615,30.366666666666667,545.05,1
38,38.00000000000015,30.25651,30.466666666666665,210.16,1
39,39.000000000000135,30.721354,31.066666666666666,345.31,1
40,40.00000000000014,31.199219,31.6,400.78,1
41,41.00000000000015,31.669271,31.933333333333334,264.06,1
42,42.00000000000015,32.191406,32.13333333333333,58.07,1
43,43.00000000000016,32.669271,32.7,30.73,1
44,44.00000000000015,33.143229,33.233333333333334,90.1,1
45,45.00000000000016,33.579427,33.766666666666666,187.24,1
46,46.000000000000185,34.1634115,34.13333333333333,30.08,1
47,47.00000000000018,34.645833249999995,34.266666666666666,379.17,1
48,48.00000000000016,35.128255,35.1,28.26,1
49,49.000000000000185,35.63737000000001,35.733333333333334,95.96,1
50,50.000000000000185,36.06705700000001,36.233333333333334,166.28,1
51,51.000000000000185,36.4928385,36.666666666666664,173.83,1
52,52.0000000000002,36.9622395,36.96666666666667,4.43,1
53,53.0000000000002,37.408203,37.5,91.8,1
54,54.00000000000023,37.8951825,37.833333333333336,61.85,1
55,55.00000000000021,38.397135,38.43333333333333,36.2,1
56,56.00000000000021,38.8561195,38.9,43.88,1
57,57.00000000000021,39.441406,40.233333333333334,791.93,1
58,58.00000000000023,39.878906,40.333333333333336,454.43,1
59,59.00000000000023,40.342448,40.46666666666667,124.22,1
60,60.00000000000024,40.833333,41.13333333333333,300.0,1
61,61.00000000000024,41.277344,41.5,222.66,1
62,62.00000000000027,41.722656,41.9,177.34,1
63,63.00000000000024,42.18099,42.233333333333334,52.34,1
64,64.00000000000026,42.6054685,42.7,94.53,1
65,65.00000000000028,43.195312,43.46666666666667,271.35,1
66,66.00000000000027,43.7044275,43.9,195.57,1
67,67.00000000000027,44.1347655,44.733333333333334,598.57,1
68,68.0000000000003,44.58463550000001,45.06666666666667,482.03,1
69,69.00000000000028,45.02994800000001,46.53333333333333,1503.39,1
70,70.00000000000028,45.4882815,46.7,1211.72,1
71,71.00000000000028,45.908854,46.8,891.15,1
72,72.0000000000003,46.390625,46.93333333333333,542.71,1
73,73.0000000000003,46.84440100000001,47.06666666666667,222.27,1
74,74.0000000000003,47.283854,47.8,516.15,1
75,75.00000000000031,47.757812,48.4,642.19,1
76,76.00000000000033,48.242188,48.53333333333333,291.15,1
77,77.00000000000033,48.7291665,48.733333333333334,4.17,1
78,78.00000000000033,49.255208,49.266666666666666,11.46,1
79,79.00000000000033,49.7571615,49.7,57.16,1
80,80.00000000000036,50.295573,50.4,104.43,1
81,81.00000000000036,50.804688,51.0,195.31,1
82,82.00000000000038,51.255859,51.333333333333336,77.47,1
83,83.00000000000037,51.7441405,51.766666666666666,22.53,1
84,84.00000000000037,52.1959635,52.2,4.04,1
85,85.00000000000037,52.5813805,52.63333333333333,51.95,1
86,86.00000000000038,53.12890600000001,53.13333333333333,4.43,1
87,87.00000000000038,53.540365,53.53333333333333,7.03,1
88,88.00000000000038,54.022135,54.0,22.13,1
89,89.0000000000004,54.533203,54.96666666666667,433.46,1
90,90.0000000000004,54.904297,55.56666666666667,662.37,1
91,91.00000000000041,55.3977865,56.7,1302.21,1
92,92.00000000000041,55.82291650000001,57.733333333333334,1910.42,1
93,93.00000000000044,56.259115,58.266666666666666,2007.55,1
94,94.00000000000043,56.73828149999999,58.86666666666667,2128.39,1
95,95.00000000000043,57.182292,59.166666666666664,1984.37,1
96,96.00000000000045,57.65690100000001,59.56666666666667,1909.77,1
97,97.00000000000044,58.16276,60.0,1837.24,1
98,98.00000000000043,58.623698,60.63333333333333,2009.64,1
99,99.00000000000044,59.070312,60.833333333333336,1763.02,1
100,100.00000000000045,59.528646,61.4,1871.35,1
101,101.00000000000045,59.964193,61.53333333333333,1569.14,1
102,102.00000000000045,60.42252600000001,61.666666666666664,1244.14,1
103,103.00000000000047,60.86328100000001,61.766666666666666,903.39,1
104,104.00000000000047,61.3723955,61.9,527.6,1
105,105.00000000000048,61.895833,62.03333333333333,137.5,1
106,106.00000000000048,62.380208,62.333333333333336,46.87,1
107,107.00000000000051,62.85416650000001,63.0,145.83,1
108,108.0000000000005,63.32877600000001,64.03333333333333,704.56,1
109,109.00000000000051,63.78385400000001,64.4,616.15,1
110,110.00000000000048,64.367188,64.56666666666666,199.48,1
111,111.00000000000048,64.84375,64.93333333333334,89.58,1
112,112.00000000000051,65.345052,65.36666666666666,21.61,1
113,113.00000000000051,65.822917,65.96666666666667,143.75,1
114,114.00000000000051,66.278646,66.33333333333333,54.69,1
115,115.00000000000051,66.733073,67.96666666666667,1233.59,1
116,116.00000000000051,67.222656,68.6,1377.34,1
117,117.00000000000054,67.75,68.7,950.0,1
118,118.00000000000054,68.31705699999999,68.83333333333333,516.28,1
119,119.00000000000053,68.82486975,68.96666666666667,141.8,1
120,120.00000000000054,69.33268249999999,70.46666666666667,1133.98,1
121,121.00000000000054,69.8984375,71.7,1801.56,1
122,122.00000000000051,70.376953,72.3,1923.05,1
123,123.00000000000054,70.819661,72.8,1980.34,1
124,124.00000000000054,71.3027345,73.33333333333333,2030.6,1
125,125.00000000000054,71.728516,73.73333333333333,2004.82,1
126,126.00000000000054,72.2285155,74.0,1771.48,1
127,127.00000000000051,72.713542,74.13333333333334,1419.79,1
128,128.00000000000057,73.15820350000001,74.23333333333333,1075.13,1
129,129.00000000000057,73.623698,74.36666666666666,742.97,1
130,130.00000000000057,74.074219,74.5,425.78,1
131,131.00000000000063,74.52539100000001,74.66666666666667,141.28,1
