beat_idx,gt_beat,gt_time_s,pred_time_s,err_ms,ok
0,0.0,0.10625,0.0,106.25,1
1,1.0,1.055208,0.5,555.21,1
2,2.0000000000000004,2.041667,1.0,1041.67,1
3,3.0000000000000004,2.959375,1.5,1459.38,1
4,4.0,3.921875,2.0,1921.88,1
5,5.0,4.876042,2.5,2376.04,1
6,6.0,5.888542,3.0,2888.54,1
7,7.0,7.1979169999999995,3.5,3697.92,1
8,8.000000000000002,8.507292,4.0,4507.29,1
9,9.000000000000002,9.4583335,4.5,4958.33,1
10,10.000000000000002,10.452604,5.0,5452.6,1
11,11.000000000000002,11.323958,5.5,5823.96,1
12,12.000000000000002,12.242708,6.0,6242.71,1
13,13.0,13.179167,6.5,6679.17,1
14,13.999999999999998,14.333332999999998,14.333333333333334,0.0,1
15,15.000000000000002,16.867708,15.766666666666667,1101.04,1
16,16.000000000000014,18.7526045,16.366666666666667,2385.94,1
17,17.00000000000002,19.286458,19.266666666666666,19.79,1
18,18.00000000000002,19.764583,19.766666666666666,2.08,1
19,19.000000000000032,20.240104,20.266666666666666,26.56,1
20,20.00000000000004,20.7359375,20.766666666666666,30.73,1
21,21.00000000000006,21.2046875,21.2,4.69,1
22,22.000000000000046,21.691667,21.633333333333333,58.33,1
23,23.000000000000053,22.189583,22.2,10.42,1
24,24.000000000000053,22.693229000000002,22.7,6.77,1
25,25.00000000000006,23.172917,23.2,27.08,1
26,26.000000000000068,23.669792,23.733333333333334,63.54,1
27,27.000000000000068,24.157292,24.166666666666668,9.37,1
28,28.000000000000075,24.657292,24.7,42.71,1
29,29.00000000000008,25.148958,25.133333333333333,15.62,1
30,30.000000000000092,25.638542,25.666666666666668,28.12,1
31,31.0000000000001,26.148958,26.133333333333333,15.62,1
32,32.0000000000001,26.6385415,26.633333333333333,5.21,1
33,33.00000000000011,27.121875,27.133333333333333,11.46,1
34,34.00000000000011,27.633333,27.633333333333333,0.0,1
35,35.000000000000135,28.14375,28.133333333333333,10.42,1
36,36.00000000000012,28.68125,29.066666666666666,385.42,1
37,37.00000000000013,29.214583,29.733333333333334,518.75,1
38,38.00000000000015,29.755208000000003,29.833333333333332,78.13,1
39,39.000000000000135,30.267708,30.266666666666666,1.04,1
40,40.00000000000014,30.807292,31.2,392.71,1
41,41.00000000000015,31.3416665,31.4,58.33,1
42,42.00000000000015,31.884896,31.866666666666667,18.23,1
43,43.00000000000016,32.382292,32.166666666666664,215.63,1
44,44.00000000000015,32.928125,32.63333333333333,294.79,1
45,45.00000000000016,33.447917,33.46666666666667,18.75,1
46,46.000000000000185,33.9796875,33.93333333333333,46.35,1
47,47.00000000000018,34.46171875,34.06666666666667,395.05,1
48,48.00000000000016,34.94375,34.7,243.75,1
49,49.000000000000185,35.5,35.56666666666667,66.67,1
50,50.000000000000185,36.032292,35.96666666666667,65.63,1
51,51.000000000000185,36.5390625,36.53333333333333,5.73,1
52,52.0000000000002,37.0541665,37.1,45.83,1
53,53.0000000000002,37.54166650000001,37.56666666666667,25.0,1
54,54.00000000000023,38.069792,38.06666666666667,3.13,1
55,55.00000000000021,38.597917,38.5,97.92,1
56,56.00000000000021,39.111458,39.166666666666664,55.21,1
57,57.00000000000021,39.65,39.666666666666664,16.67,1
58,58.00000000000023,40.115625,40.1,15.62,1
59,59.00000000000023,40.597917,40.766666666666666,168.75,1
60,60.00000000000024,41.168229,41.13333333333333,34.9,1
61,61.00000000000024,41.697917,41.5,197.92,1
62,62.00000000000027,42.196875,42.166666666666664,30.21,1
63,63.00000000000024,42.65208300000001,42.666666666666664,14.58,1
64,64.00000000000026,43.0375,43.2,162.5,1
65,65.00000000000028,43.491667,43.833333333333336,341.67,1
66,66.00000000000027,43.89375,44.333333333333336,439.58,1
67,67.00000000000027,44.515625,44.63333333333333,117.71,1
68,68.0000000000003,45.051042,45.4,348.96,1
69,69.00000000000028,45.5125,45.833333333333336,320.83,1
70,70.00000000000028,46.040625,46.1,59.38,1
71,71.00000000000028,46.567708,46.56666666666667,1.04,1
72,72.0000000000003,47.14375,47.13333333333333,10.42,1
73,73.0000000000003,47.658333,47.63333333333333,25.0,1
74,74.0000000000003,48.1828125,48.03333333333333,149.48,1
75,75.00000000000031,48.664583,48.7,35.42,1
76,76.00000000000033,49.166667,49.1,66.67,1
77,77.00000000000033,49.709375,49.7,9.37,1
78,78.00000000000033,50.210417,50.233333333333334,22.92,1
79,79.00000000000033,50.73489550000001,50.7,34.9,1
80,80.00000000000036,51.25625,51.233333333333334,22.92,1
81,81.00000000000036,51.767708,51.766666666666666,1.04,1
82,82.00000000000038,52.2510415,52.233333333333334,17.71,1
83,83.00000000000037,52.732292,52.733333333333334,1.04,1
84,84.00000000000037,53.23541700000001,53.333333333333336,97.92,1
85,85.00000000000037,53.63958349999999,54.13333333333333,493.75,1
86,86.00000000000038,54.245833,54.3,54.17,1
87,87.00000000000038,54.763542,54.666666666666664,96.88,1
88,88.00000000000038,55.373958,55.36666666666667,7.29,1
89,89.0000000000004,55.95572900000001,55.93333333333333,22.4,1
90,90.0000000000004,56.5015625,57.166666666666664,665.1,1
91,91.00000000000041,57.039583500000006,57.3,260.42,1
92,92.00000000000041,57.559375,57.56666666666667,7.29,1
93,93.00000000000044,58.065625,58.06666666666667,1.04,1
94,94.00000000000043,58.5916665,58.56666666666667,25.0,1
95,95.00000000000043,59.170833,59.166666666666664,4.17,1
96,96.00000000000045,59.715625,60.0,284.37,1
97,97.00000000000044,60.275,60.266666666666666,8.33,1
98,98.00000000000043,60.802083,61.96666666666667,1164.58,1
99,99.00000000000044,61.322917,62.06666666666667,743.75,1
100,100.00000000000045,61.854167,62.2,345.83,1
101,101.00000000000045,62.386458499999996,62.56666666666667,180.21,1
102,102.00000000000045,62.894270999999996,64.8,1905.73,1
103,103.00000000000047,63.390625,65.06666666666666,1676.04,1
104,104.00000000000047,63.88177099999999,65.2,1318.23,1
105,105.00000000000048,64.38645799999999,65.33333333333333,946.88,1
106,106.00000000000048,64.907292,65.43333333333334,526.04,1
107,107.00000000000051,65.429167,65.56666666666666,137.5,1
108,108.0000000000005,65.9625,66.03333333333333,70.83,1
109,109.00000000000051,66.514583,66.53333333333333,18.75,1
110,110.00000000000048,67.195833,67.13333333333334,62.5,1
111,111.00000000000048,67.727083,68.0,272.92,1
112,112.00000000000051,68.264583,68.33333333333333,68.75,1
113,113.00000000000051,68.803125,68.8,3.12,1
114,114.00000000000051,69.3515625,69.33333333333333,18.23,1
115,115.00000000000051,69.87916700000001,69.93333333333334,54.17,1
116,116.00000000000051,70.409375,70.46666666666667,57.29,1
117,117.00000000000054,70.944792,70.96666666666667,21.87,1
118,118.00000000000054,71.484375,71.43333333333334,51.04,1
119,119.00000000000053,71.95625,71.86666666666666,89.58,1
120,120.00000000000054,72.428125,72.53333333333333,105.21,1
121,121.00000000000054,73.01822899999998,73.03333333333333,15.1,1
122,122.00000000000051,73.536458,73.56666666666666,30.21,1
123,123.00000000000054,74.0453125,74.13333333333334,88.02,1
124,124.00000000000054,74.571875,74.6,28.12,1
125,125.00000000000054,75.0723955,75.06666666666666,5.73,1
126,126.00000000000054,75.5895835,76.5,910.42,1
127,127.00000000000051,76.142708,76.63333333333334,490.63,1
128,128.00000000000057,76.715625,76.76666666666667,51.04,1
129,129.00000000000057,77.246875,77.23333333333333,13.54,1
130,130.00000000000057,77.7328125,77.66666666666667,66.15,1
131,131.00000000000063,78.25833349999998,78.53333333333333,275.0,1
132,132.0000000000006,78.7786455,78.83333333333333,54.69,1
133,133.0000000000006,79.27864600000002,79.86666666666666,588.02,1
134,134.0000000000006,79.79947899999998,80.33333333333333,533.85,1
135,135.0000000000006,80.320833,80.46666666666667,145.83,1
136,136.0000000000006,80.8432295,80.83333333333333,9.9,1
137,137.0000000000006,81.35520799999998,81.4,44.79,1
138,138.00000000000057,81.7822915,81.9,117.71,1
139,139.00000000000063,82.39583350000002,82.7,304.17,1
140,140.00000000000063,82.897917,83.23333333333333,335.42,1
141,141.00000000000063,83.397917,83.53333333333333,135.42,1
142,142.0000000000007,83.915625,83.83333333333333,82.29,1
143,143.0000000000007,84.4557295,84.33333333333333,122.4,1
144,144.00000000000065,84.99947900000002,85.1,100.52,1
145,145.00000000000065,85.536458,85.5,36.46,1
146,146.00000000000065,86.09375,86.06666666666666,27.08,1
147,147.00000000000065,86.614583,86.6,14.58,1
148,148.00000000000065,87.141667,87.1,41.67,1
149,149.00000000000063,87.6760415,87.73333333333333,57.29,1
150,150.0000000000007,88.16666649999998,88.16666666666667,0.0,1
151,151.0000000000007,88.64479200000002,88.63333333333334,11.46,1
152,152.0000000000007,89.1640625,89.13333333333334,30.73,1
153,153.0000000000007,89.6625,89.7,37.5,1
154,154.0000000000007,90.1963545,90.23333333333333,36.98,1
155,155.00000000000074,90.6692705,90.9,230.73,1
156,156.00000000000074,91.184375,91.46666666666667,282.29,1
157,157.00000000000074,91.746875,91.8,53.12,1
158,158.00000000000074,92.241667,92.16666666666667,75.0,1
159,159.0000000000008,92.748958,92.7,48.96,1
160,160.0000000000008,93.305208,93.3,5.21,1
161,161.00000000000065,93.821354,93.83333333333333,11.98,1
162,162.0000000000007,94.334375,94.33333333333333,1.04,1
163,163.00000000000065,94.8625,94.86666666666666,4.17,1
164,164.00000000000063,95.398958,95.06666666666666,332.29,1
165,165.0000000000006,95.924479,95.8,124.48,1
166,166.0000000000006,96.4828125,96.46666666666667,16.15,1
167,167.0000000000006,97.030208,96.76666666666667,263.54,1
168,168.00000000000057,97.7625,97.76666666666667,4.17,1
169,169.00000000000054,98.286979,98.3,13.02,1
170,170.0000000000005,98.828125,98.7,128.12,1
171,171.00000000000048,99.3359375,99.3,35.94,1
172,172.00000000000048,99.879167,99.6,279.17,1
173,173.00000000000045,100.4,100.36666666666666,33.33,1
174,174.00000000000043,101.0088545,100.83333333333333,175.52,1
175,175.00000000000043,101.607292,101.36666666666666,240.63,1
176,176.0000000000004,102.457292,102.4,57.29,1
177,177.00000000000043,103.0208335,102.96666666666667,54.17,1
178,178.00000000000043,103.55,103.93333333333334,383.33,1
179,179.00000000000043,104.05625,104.06666666666666,10.42,1
180,180.00000000000043,104.610417,104.5,110.42,1
181,181.00000000000043,105.102604,105.03333333333333,69.27,1
182,182.00000000000043,105.705208,105.7,5.21,1
183,183.00000000000045,106.248958,106.23333333333333,15.62,1
184,184.00000000000045,106.867708,106.86666666666666,1.04,1
185,185.00000000000045,107.4802085,107.43333333333334,46.88,1
186,186.00000000000045,108.14635449999999,108.13333333333334,13.02,1
187,187.00000000000045,108.7385415,108.86666666666666,128.13,1
188,188.00000000000045,109.309375,109.33333333333333,23.96,1
189,189.00000000000048,109.8322915,109.8,32.29,1
190,190.00000000000048,110.553125,110.56666666666666,13.54,1
191,191.00000000000048,111.139583,111.13333333333334,6.25,1
192,192.00000000000048,111.654167,111.63333333333334,20.83,1
193,193.00000000000048,112.163542,112.23333333333333,69.79,1
194,194.0000000000005,112.680208,112.66666666666667,13.54,1
195,195.0000000000005,113.226042,113.23333333333333,7.29,1
196,196.0000000000005,113.758333,113.8,41.67,1
197,197.0000000000005,114.28125,114.26666666666667,14.58,1
198,198.0000000000005,114.819792,114.73333333333333,86.46,1
199,199.0000000000005,115.30625,115.26666666666667,39.58,1
200,200.00000000000054,115.85625,115.83333333333333,22.92,1
201,201.00000000000054,116.33125,116.4,68.75,1
202,202.00000000000054,116.834375,116.83333333333333,1.04,1
203,203.00000000000054,117.353125,117.4,46.88,1
204,204.00000000000054,117.9,117.96666666666667,66.67,1
205,205.00000000000054,118.4125,118.33333333333333,79.17,1
206,206.00000000000057,118.947917,118.86666666666666,81.25,1
207,207.00000000000057,119.448958,119.53333333333333,84.38,1
208,208.00000000000057,119.969792,119.93333333333334,36.46,1
209,209.00000000000057,120.39375,120.4,6.25,1
210,210.00000000000057,120.9239585,121.13333333333334,209.37,1
211,211.0000000000006,121.436979,121.53333333333333,96.35,1
212,212.0000000000006,121.9526045,122.03333333333333,80.73,1
213,213.00000000000063,122.4604165,122.6,139.58,1
214,214.0000000000006,123.0479165,123.13333333333334,85.42,1
215,215.0000000000006,123.556771,123.63333333333334,76.56,1
216,216.0000000000006,124.185417,124.23333333333333,47.92,1
217,217.00000000000063,124.663542,124.63333333333334,30.21,1
218,218.00000000000063,125.154167,124.86666666666666,287.5,1
219,219.00000000000063,125.6375,125.63333333333334,4.17,1
