beat_idx,gt_beat,gt_time_s,pred_time_s,err_ms,ok
0,0.0,0.95,0.0,950.0,1
1,1.0000000000000002,1.2223959999999998,0.03333333333333333,1189.06,1
2,2.0000000000000004,1.494792,0.06666666666666667,1428.13,1
3,3.000000000000001,1.657291,0.1,1557.29,1
4,4.000000000000001,1.89375,0.16666666666666666,1727.08,1
5,5.000000000000001,2.130208,0.2,1930.21,1
6,6.000000000000001,2.322396,0.23333333333333334,2089.06,1
7,7.0,2.537587,0.26666666666666666,2270.92,1
8,8.000000000000002,2.752778,0.3333333333333333,2419.44,1
9,9.000000000000002,2.967969,0.36666666666666664,2601.3,1
10,10.000000000000002,3.18316,0.4,2783.16,1
11,11.000000000000004,3.3983510000000003,0.43333333333333335,2965.02,1
12,12.000000000000004,3.613542,0.5,3113.54,1
13,13.000000000000004,3.873785,0.6333333333333333,3240.45,1
14,14.000000000000002,4.134028,0.6666666666666666,3467.36,1
15,15.000000000000002,4.394271,0.7333333333333333,3660.94,1
16,16.000000000000004,4.592188,0.9,3692.19,1
17,17.000000000000004,4.790104,0.9666666666666667,3823.44,1
18,18.000000000000004,4.988021,1.0,3988.02,1
19,19.0,5.185938,1.0333333333333334,4152.6,1
20,20.0,5.383854,1.0666666666666667,4317.19,1
21,21.000000000000004,5.581771,1.1,4481.77,1
22,22.000000000000004,5.746094,1.1666666666666667,4579.43,1
23,23.000000000000007,5.910417,1.2,4710.42,1
24,24.000000000000018,6.19375,1.2333333333333334,4960.42,1
25,25.000000000000007,6.439583,1.2666666666666666,5172.92,1
26,26.000000000000007,6.685417,1.3333333333333333,5352.08,1
27,27.000000000000014,6.899479,1.3666666666666667,5532.81,1
28,28.00000000000001,7.126563000000001,1.4,5726.56,1
29,29.000000000000025,7.353646,1.4333333333333333,5920.31,1
30,30.000000000000018,7.595313000000001,1.5,6095.31,1
31,31.000000000000018,7.830295,1.5333333333333334,6296.96,1
32,32.00000000000002,8.065278,1.5666666666666667,6498.61,1
33,33.00000000000002,8.30026,1.6,6700.26,1
34,34.00000000000002,8.535243,1.9,6635.24,1
35,35.00000000000002,8.770225,1.9333333333333333,6836.89,1
36,36.00000000000002,9.005208,1.9666666666666666,7038.54,1
37,37.00000000000002,9.272222,2.0,7272.22,1
38,38.00000000000002,9.539236,2.066666666666667,7472.57,1
39,39.000000000000036,9.80625,2.1,7706.25,1
40,40.00000000000002,10.006597,2.1333333333333333,7873.26,1
41,41.00000000000002,10.206944,2.1666666666666665,8040.28,1
42,42.00000000000002,10.407291,2.7333333333333334,7673.96,1
43,43.00000000000002,10.607639,2.7666666666666666,7840.97,1
44,44.00000000000003,10.807986,2.8,8007.99,1
45,45.00000000000003,11.008333,2.8333333333333335,8175.0,1
46,46.00000000000002,11.163021,2.9,8263.02,1
47,47.000000000000036,11.317709,2.933333333333333,8384.38,1
48,48.000000000000036,11.607292,2.966666666666667,8640.63,1
49,49.000000000000036,11.786111,3.0,8786.11,1
50,50.000000000000036,11.964931,3.033333333333333,8931.6,1
51,51.000000000000036,12.14375,3.1,9043.75,1
52,52.000000000000036,12.351736,3.1333333333333333,9218.4,1
53,53.00000000000003,12.559722,3.1666666666666665,9393.06,1
54,54.000000000000036,12.767708,3.2,9567.71,1
55,55.00000000000003,13.05,3.2666666666666666,9783.33,1
56,56.00000000000002,13.332291,3.3,10032.29,1
57,57.00000000000003,13.614582999999998,3.3333333333333335,10281.25,1
58,58.00000000000003,13.907068,3.3666666666666667,10540.4,1
59,59.00000000000003,14.199553,3.433333333333333,10766.22,1
60,60.00000000000003,14.492038,3.466666666666667,11025.37,1
61,61.00000000000002,14.784524,3.5,11284.52,1
62,62.00000000000003,15.077009,3.533333333333333,11543.68,1
63,63.00000000000003,15.369494,3.6,11769.49,1
64,64.00000000000003,15.661979,3.6333333333333333,12028.65,1
65,65.00000000000003,15.958698000000002,3.7333333333333334,12225.36,1
66,66.00000000000003,16.255416,3.966666666666667,12288.75,1
67,67.00000000000003,16.552135,4.166666666666667,12385.47,1
68,68.00000000000003,16.848854,4.366666666666666,12482.19,1
69,69.00000000000003,17.145573000000002,4.566666666666666,12578.91,1
70,70.00000000000003,17.442291,4.7,12742.29,1
71,71.00000000000003,17.73901,4.733333333333333,13005.68,1
72,72.00000000000003,18.035729,4.766666666666667,13269.06,1
73,73.00000000000003,18.332448,4.833333333333333,13499.11,1
74,74.00000000000003,18.629167,4.866666666666666,13762.5,1
75,75.00000000000004,18.838021,4.9,13938.02,1
76,76.00000000000003,19.057031,4.933333333333334,14123.7,1
77,77.00000000000003,19.276042,5.0,14276.04,1
78,78.00000000000003,19.516146,5.033333333333333,14482.81,1
79,79.00000000000004,19.732031,5.066666666666666,14665.36,1
80,80.00000000000003,19.947917,5.1,14847.92,1
81,81.00000000000003,20.163802,5.166666666666667,14997.14,1
82,82.00000000000003,20.379687,5.2,15179.69,1
83,83.00000000000004,20.595573,5.233333333333333,15362.24,1
84,84.00000000000003,20.811458,5.266666666666667,15544.79,1
85,85.00000000000004,21.076562,5.333333333333333,15743.23,1
86,86.00000000000004,21.341667,5.366666666666666,15975.0,1
87,87.00000000000006,21.606771,5.4,16206.77,1
88,88.00000000000004,21.801458,5.433333333333334,16368.12,1
89,89.00000000000004,21.996146,5.466666666666667,16529.48,1
90,90.00000000000004,22.190833,5.533333333333333,16657.5,1
91,91.00000000000004,22.385521,5.566666666666666,16818.85,1
92,92.00000000000006,22.580208,5.6,16980.21,1
93,93.00000000000007,22.868229,5.633333333333334,17234.9,1
94,94.00000000000006,23.022136,5.7,17322.14,1
95,95.00000000000007,23.176042,5.833333333333333,17342.71,1
96,96.0000000000001,23.44375,6.1,17343.75,1
97,97.00000000000007,23.688802,6.166666666666667,17522.14,1
98,98.00000000000009,23.933854,6.2,17733.85,1
99,99.00000000000009,24.151563,6.266666666666667,17884.9,1
100,100.00000000000009,24.382813,6.333333333333333,18049.48,1
101,101.00000000000013,24.614062,6.366666666666666,18247.4,1
102,102.00000000000009,24.851563,6.4,18451.56,1
103,103.0000000000001,25.075434,6.433333333333334,18642.1,1
104,104.0000000000001,25.299306,6.5,18799.31,1
105,105.00000000000009,25.523177,7.2,18323.18,1
106,106.00000000000009,25.747049,7.3,18447.05,1
107,107.00000000000009,25.97092,7.4,18570.92,1
108,108.0000000000001,26.194792,7.466666666666667,18728.13,1
109,109.0000000000001,26.476736,8.4,18076.74,1
110,110.0000000000001,26.758681,8.466666666666667,18292.01,1
111,111.00000000000017,27.040625,9.0,18040.62,1
112,112.0000000000001,27.255035,9.2,18055.03,1
113,113.00000000000013,27.469444,9.4,18069.44,1
114,114.00000000000013,27.683854,9.633333333333333,18050.52,1
115,115.0000000000001,27.898264,9.833333333333334,18064.93,1
116,116.0000000000001,28.112673,10.0,18112.67,1
117,117.0000000000001,28.327083,10.233333333333333,18093.75,1
118,118.00000000000013,28.486458,10.333333333333334,18153.12,1
119,119.00000000000013,28.645833000000003,10.666666666666666,17979.17,1
120,120.00000000000013,28.895833000000003,10.766666666666667,18129.17,1
121,121.00000000000014,29.082986,10.966666666666667,18116.32,1
122,122.00000000000013,29.270139,11.0,18270.14,1
123,123.00000000000014,29.457292,11.133333333333333,18323.96,1
124,124.00000000000014,29.652778,11.3,18352.78,1
125,125.00000000000014,29.848264,11.366666666666667,18481.6,1
126,126.0000000000002,30.04375,11.466666666666667,18577.08,1
127,127.00000000000014,30.330382,11.7,18630.38,1
128,128.00000000000014,30.617014,12.266666666666667,18350.35,1
129,129.00000000000014,30.903646,14.133333333333333,16770.31,1
130,130.00000000000014,31.154985,14.333333333333334,16821.65,1
131,131.00000000000014,31.406324,14.533333333333333,16872.99,1
132,132.00000000000014,31.657664,14.733333333333333,16924.33,1
133,133.00000000000014,31.909003,14.966666666666667,16942.34,1
134,134.00000000000014,32.160342,15.1,17060.34,1
135,135.00000000000014,32.411681,15.233333333333333,17178.35,1
136,136.0000000000002,32.663021,15.433333333333334,17229.69,1
137,137.00000000000014,32.930794,15.7,17230.79,1
138,138.00000000000014,33.198567,16.166666666666668,17031.9,1
139,139.00000000000014,33.466341,17.1,16366.34,1
140,140.00000000000014,33.734114,17.3,16434.11,1
141,141.00000000000014,34.001888,17.533333333333335,16468.55,1
142,142.00000000000014,34.269661,17.633333333333333,16636.33,1
143,143.00000000000014,34.537434999999995,17.7,16837.43,1
144,144.00000000000014,34.805208,17.733333333333334,17071.87,1
145,145.00000000000014,35.033073,17.766666666666666,17266.41,1
146,146.0000000000002,35.260937,17.933333333333334,17327.6,1
147,147.00000000000014,35.45573,18.733333333333334,16722.4,1
148,148.00000000000014,35.642708,18.933333333333334,16709.37,1
149,149.00000000000017,35.8125,19.266666666666666,16545.83,1
150,150.0000000000002,35.979167,19.366666666666667,16612.5,1
151,151.00000000000028,36.13645800000001,19.5,16636.46,1
152,152.00000000000026,36.303125,19.833333333333332,16469.79,1
153,153.00000000000028,36.485417,20.1,16385.42,1
154,154.00000000000028,36.71527800000001,20.2,16515.28,1
155,155.00000000000028,36.94513900000001,20.233333333333334,16711.81,1
156,156.00000000000034,37.175,20.8,16375.0,1
157,157.00000000000028,37.348958,20.966666666666665,16382.29,1
158,158.00000000000034,37.509375,21.3,16209.37,1
159,159.00000000000034,37.683855,21.5,16183.86,1
160,160.00000000000034,37.852083,21.7,16152.08,1
161,161.00000000000034,38.00625,21.766666666666666,16239.58,1
162,162.00000000000034,38.147917,22.466666666666665,15681.25,1
163,163.00000000000034,38.288542,22.666666666666668,15621.88,1
164,164.00000000000034,38.436458,22.7,15736.46,1
165,165.00000000000028,38.631771,22.733333333333334,15898.44,1
166,166.0000000000003,38.811458,22.833333333333332,15978.12,1
167,167.00000000000034,38.965625,23.433333333333334,15532.29,1
168,168.00000000000028,39.252083,23.633333333333333,15618.75,1
169,169.00000000000028,39.469531,24.6,14869.53,1
170,170.00000000000028,39.686979,24.633333333333333,15053.65,1
171,171.0000000000003,39.905729,24.733333333333334,15172.4,1
172,172.00000000000037,40.094792,24.766666666666666,15328.13,1
173,173.00000000000028,40.241667,25.066666666666666,15175.0,1
174,174.00000000000028,40.4125,25.133333333333333,15279.17,1
175,175.00000000000026,40.575,25.233333333333334,15341.67,1
176,176.00000000000026,40.752083,26.5,14252.08,1
177,177.00000000000028,40.945833,28.066666666666666,12879.17,1
178,178.0000000000002,41.143403,28.1,13043.4,1
179,179.00000000000017,41.340972,28.2,13140.97,1
180,180.0000000000002,41.538542,28.4,13138.54,1
181,181.0000000000002,41.74583300000001,29.0,12745.83,1
182,182.00000000000026,41.903125,29.466666666666665,12436.46,1
183,183.00000000000017,42.0625,29.5,12562.5,1
184,184.00000000000014,42.23020800000001,29.966666666666665,12263.54,1
