beat_idx,gt_beat,gt_time_s,pred_time_s,err_ms,ok
0,0.0,1.0,0.0,1000.0,1
1,1.0000000000000002,1.18724,0.0,1187.24,1
2,2.0000000000000004,1.37448,0.03333333333333333,1341.15,1
3,3.000000000000001,1.563021,0.06666666666666667,1496.35,1
4,4.000000000000001,1.747135,0.1,1647.13,1
5,5.000000000000001,1.93125,0.1,1831.25,1
6,6.000000000000001,2.157292,0.13333333333333333,2023.96,1
7,7.0,2.33507,0.13333333333333333,2201.74,1
8,8.000000000000002,2.5128470000000003,0.16666666666666666,2346.18,1
9,9.000000000000002,2.690625,0.2,2490.62,1
10,10.000000000000002,2.868403,0.2,2668.4,1
11,11.000000000000004,3.04618,0.23333333333333334,2812.85,1
12,12.000000000000004,3.223958,0.26666666666666666,2957.29,1
13,13.000000000000004,3.425521,0.26666666666666666,3158.85,1
14,14.000000000000002,3.627083,0.3,3327.08,1
15,15.000000000000002,3.828646,0.3333333333333333,3495.31,1
16,16.000000000000004,4.01224,0.3333333333333333,3678.91,1
17,17.000000000000004,4.195833,0.9666666666666667,3229.17,1
18,18.000000000000004,4.379427,1.0,3379.43,1
19,19.0,4.563021,1.0,3563.02,1
20,20.0,4.746614,1.0333333333333334,3713.28,1
21,21.000000000000004,4.930208,1.0333333333333334,3896.87,1
22,22.000000000000004,5.096875,1.0666666666666667,4030.21,1
23,23.000000000000007,5.263542,1.1,4163.54,1
24,24.000000000000018,5.50625,1.1,4406.25,1
25,25.000000000000007,5.720052,1.1333333333333333,4586.72,1
26,26.000000000000007,5.933854,1.1666666666666667,4767.19,1
27,27.000000000000014,6.126563,1.1666666666666667,4959.9,1
28,28.00000000000001,6.321354,1.2,5121.35,1
29,29.000000000000025,6.516146,1.2,5316.15,1
30,30.000000000000018,6.722396000000002,1.2333333333333334,5489.06,1
31,31.000000000000018,6.948003999999999,1.2666666666666666,5681.34,1
32,32.00000000000002,7.173611,1.2666666666666666,5906.94,1
33,33.00000000000002,7.399219,1.3,6099.22,1
34,34.00000000000002,7.624827000000002,1.3333333333333333,6291.49,1
35,35.00000000000002,7.850434,1.3333333333333333,6517.1,1
