beat_idx,gt_beat,gt_time_s,pred_time_s,err_ms,ok
0,0.0,0.970313,0.0,970.31,1
1,1.0000000000000002,1.251302,0.0,1251.3,1
2,2.0000000000000004,1.532292,0.03333333333333333,1498.96,1
3,3.000000000000001,1.740104,0.06666666666666667,1673.44,1
4,4.000000000000001,1.934635,0.1,1834.63,1
5,5.000000000000001,2.129167,0.1,2029.17,1
6,6.000000000000001,2.340625,0.13333333333333333,2207.29,1
7,7.0,2.541667,0.13333333333333333,2408.33,1
8,8.000000000000002,2.7427080000000004,0.16666666666666666,2576.04,1
9,9.000000000000002,2.94375,0.2,2743.75,1
10,10.000000000000002,3.144792,0.2,2944.79,1
11,11.000000000000004,3.3458330000000003,0.23333333333333334,3112.5,1
12,12.000000000000004,3.546875,0.26666666666666666,3280.21,1
13,13.000000000000004,3.775,0.26666666666666666,3508.33,1
14,14.000000000000002,4.003125,0.3,3703.12,1
15,15.000000000000002,4.23125,0.6,3631.25,1
16,16.000000000000004,4.422569,0.6,3822.57,1
17,17.000000000000004,4.613889,0.9333333333333333,3680.56,1
18,18.000000000000004,4.805208,0.9666666666666667,3838.54,1
19,19.0,4.996528,0.9666666666666667,4029.86,1
20,20.0,5.187848000000002,1.0,4187.85,1
21,21.000000000000004,5.379167,1.0,4379.17,1
22,22.000000000000004,5.564063,1.0333333333333334,4530.73,1
23,23.000000000000007,5.748958,1.0666666666666667,4682.29,1
24,24.000000000000018,6.016667,1.0666666666666667,4950.0,1
25,25.000000000000007,6.253386,1.1,5153.39,1
26,26.000000000000007,6.490104,1.1333333333333333,5356.77,1
27,27.000000000000014,6.673958,1.1333333333333333,5540.62,1
28,28.00000000000001,6.876302000000001,1.1666666666666667,5709.64,1
29,29.000000000000025,7.078646000000001,1.1666666666666667,5911.98,1
30,30.000000000000018,7.297916000000002,1.2,6097.92,1
31,31.000000000000018,7.51875,1.2333333333333334,6285.42,1
32,32.00000000000002,7.739583,1.2333333333333334,6506.25,1
33,33.00000000000002,7.960417,1.2666666666666666,6693.75,1
34,34.00000000000002,8.18125,1.3,6881.25,1
35,35.00000000000002,8.402084,1.3,7102.08,1
36,36.00000000000002,8.622917,1.3333333333333333,7289.58,1
37,37.00000000000002,8.858334,1.3333333333333333,7525.0,1
38,38.00000000000002,9.09375,1.5,7593.75,1
39,39.000000000000036,9.329167,2.566666666666667,6762.5,1
40,40.00000000000002,9.515625,2.566666666666667,6948.96,1
41,41.00000000000002,9.702084,2.933333333333333,6768.75,1
42,42.00000000000002,9.888542,2.966666666666667,6921.88,1
43,43.00000000000002,10.075,2.966666666666667,7108.33,1
44,44.00000000000003,10.261459,3.0,7261.46,1
45,45.00000000000003,10.447917,3.0,7447.92,1
46,46.00000000000002,10.63125,3.033333333333333,7597.92,1
47,47.000000000000036,10.814583,3.066666666666667,7747.92,1
48,48.000000000000036,11.084375,3.066666666666667,8017.71,1
49,49.000000000000036,11.251736,3.1,8151.74,1
50,50.000000000000036,11.419097,3.1,8319.1,1
51,51.000000000000036,11.586458,3.1333333333333333,8453.12,1
52,52.000000000000036,11.735069,3.1666666666666665,8568.4,1
53,53.00000000000003,11.883681,3.1666666666666665,8717.01,1
54,54.000000000000036,12.032292,3.2,8832.29,1
55,55.00000000000003,12.253646,3.2333333333333334,9020.31,1
56,56.00000000000002,12.475,3.2333333333333334,9241.67,1
57,57.00000000000003,12.696354,3.2666666666666666,9429.69,1
58,58.00000000000003,12.917783,3.3,9617.78,1
59,59.00000000000003,13.139210999999998,3.5,9639.21,1
60,60.00000000000003,13.36064,3.7,9660.64,1
61,61.00000000000002,13.582069,3.933333333333333,9648.74,1
62,62.00000000000003,13.803497,9.1,4703.5,1
63,63.00000000000003,14.024926,9.3,4724.93,1
64,64.00000000000003,14.246354,9.433333333333334,4813.02,1
65,65.00000000000003,14.521354,9.633333333333333,4888.02,1
66,66.00000000000003,14.796354,9.866666666666667,4929.69,1
67,67.00000000000003,15.071354,10.066666666666666,5004.69,1
68,68.00000000000003,15.346354000000002,10.266666666666667,5079.69,1
69,69.00000000000003,15.621354,10.466666666666667,5154.69,1
70,70.00000000000003,15.896354,10.466666666666667,5429.69,1
71,71.00000000000003,16.171354,10.5,5671.35,1
72,72.00000000000003,16.446354,10.5,5946.35,1
73,73.00000000000003,16.721354,10.533333333333333,6188.02,1
74,74.00000000000003,16.996354,10.566666666666666,6429.69,1
75,75.00000000000004,17.217709,10.566666666666666,6651.04,1
76,76.00000000000003,17.414063,10.6,6814.06,1
77,77.00000000000003,17.610417,10.633333333333333,6977.08,1
78,78.00000000000003,17.81875,10.633333333333333,7185.42,1
79,79.00000000000004,18.019097,10.666666666666666,7352.43,1
80,80.00000000000003,18.219444,10.666666666666666,7552.78,1
81,81.00000000000003,18.419791,10.7,7719.79,1
82,82.00000000000003,18.620139,10.866666666666667,7753.47,1
83,83.00000000000004,18.820486,11.066666666666666,7753.82,1
84,84.00000000000003,19.020833,12.733333333333333,6287.5,1
85,85.00000000000004,19.260069,12.733333333333333,6526.74,1
86,86.00000000000004,19.499306,12.866666666666667,6632.64,1
87,87.00000000000006,19.738542,13.933333333333334,5805.21,1
88,88.00000000000004,19.907084,14.133333333333333,5773.75,1
89,89.00000000000004,20.075625,14.333333333333334,5742.29,1
90,90.00000000000004,20.244167,14.566666666666666,5677.5,1
91,91.00000000000004,20.412708,14.766666666666667,5646.04,1
92,92.00000000000006,20.58125,14.966666666666667,5614.58,1
93,93.00000000000007,20.833333,15.166666666666666,5666.67,1
94,94.00000000000006,20.998958,15.166666666666666,5832.29,1
95,95.00000000000007,21.164583,15.633333333333333,5531.25,1
96,96.0000000000001,21.435417,15.633333333333333,5802.08,1
97,97.00000000000007,21.6625,16.7,4962.5,1
98,98.00000000000009,21.889583,17.333333333333332,4556.25,1
99,99.00000000000009,22.086979,17.333333333333332,4753.65,1
100,100.00000000000009,22.298177,17.366666666666667,4931.51,1
101,101.00000000000013,22.509375,17.366666666666667,5142.71,1
102,102.00000000000009,22.732813,17.4,5332.81,1
103,103.0000000000001,22.955122,17.433333333333334,5521.79,1
104,104.0000000000001,23.177431,17.533333333333335,5644.1,1
105,105.00000000000009,23.39974,18.466666666666665,4933.07,1
106,106.00000000000009,23.622049,18.666666666666668,4955.38,1
107,107.00000000000009,23.844358,19.033333333333335,4811.02,1
108,108.0000000000001,24.066667,20.166666666666668,3900.0,1
109,109.0000000000001,24.321181,21.1,3221.18,1
110,110.0000000000001,24.575694,21.1,3475.69,1
111,111.00000000000017,24.830208,21.533333333333335,3296.87,1
112,112.0000000000001,25.028993,21.566666666666666,3462.33,1
113,113.00000000000013,25.227778,21.566666666666666,3661.11,1
114,114.00000000000013,25.426562,21.766666666666666,3659.9,1
115,115.0000000000001,25.625347,21.8,3825.35,1
116,116.0000000000001,25.824132,21.966666666666665,3857.47,1
117,117.0000000000001,26.022917,22.1,3922.92,1
118,118.00000000000013,26.220834000000004,23.7,2520.83,1
119,119.00000000000013,26.41875,26.366666666666667,52.08,1
120,120.00000000000013,26.6875,26.666666666666668,20.83,1
121,121.00000000000014,26.843403,26.7,143.4,1
122,122.00000000000013,26.999305,26.733333333333334,265.97,1
123,123.00000000000014,27.155208,26.766666666666666,388.54,1
124,124.00000000000014,27.301041,26.8,501.04,1
125,125.00000000000014,27.446875,26.8,646.87,1
126,126.0000000000002,27.592708,26.833333333333332,759.37,1
127,127.00000000000014,27.810937,26.866666666666667,944.27,1
128,128.00000000000014,28.029166,27.1,929.17,1
129,129.00000000000014,28.247396,28.433333333333334,185.94,1
130,130.00000000000014,28.455134,28.8,344.87,1
131,131.00000000000014,28.662872,28.866666666666667,203.79,1
132,132.00000000000014,28.87061,28.9,29.39,1
133,133.00000000000014,29.078348,28.9,178.35,1
134,134.00000000000014,29.286086,28.933333333333334,352.75,1
135,135.00000000000014,29.493824,28.966666666666665,527.16,1
136,136.0000000000002,29.701563,29.166666666666668,534.9,1
137,137.00000000000014,29.952669,29.9,52.67,1
138,138.00000000000014,30.203776,30.0,203.78,1
139,139.00000000000014,30.454883,30.333333333333332,121.55,1
140,140.00000000000014,30.705990000000003,30.533333333333335,172.66,1
141,141.00000000000014,30.957097,30.733333333333334,223.76,1
142,142.00000000000014,31.208203,30.866666666666667,341.54,1
143,143.00000000000014,31.45931,30.866666666666667,592.64,1
144,144.00000000000014,31.710417,30.933333333333334,777.08,1
145,145.00000000000014,31.903907,31.266666666666666,637.24,1
146,146.0000000000002,32.097396,31.666666666666668,430.73,1
147,147.00000000000014,32.30625,31.866666666666667,439.58,1
148,148.00000000000014,32.502083,32.1,402.08,1
149,149.00000000000017,32.6375,32.3,337.5,1
150,150.0000000000002,32.839583000000005,32.766666666666666,72.92,1
151,151.00000000000028,32.980208000000005,32.833333333333336,146.87,1
152,152.00000000000026,33.152083000000005,33.1,52.08,1
153,153.00000000000028,33.319792,33.333333333333336,13.54,1
154,154.00000000000028,33.489584,33.333333333333336,156.25,1
