beat_idx,gt_beat,gt_time_s,pred_time_s,err_ms,ok
0,0.0,1.108073,0.0,1108.07,1
1,1.9999999999999996,2.526042,0.26666666666666666,2259.38,1
2,3.9999999999999987,3.4674480000000005,0.5333333333333333,2934.11,1
3,5.9999999999999964,4.47526,1.2,3275.26,1
4,7.999999999999991,5.613281,1.4666666666666666,4146.61,1
5,9.999999999999995,6.8502600000000005,6.866666666666666,16.41,1
6,11.999999999999996,7.891927000000001,8.1,208.07,1
7,13.999999999999996,8.964844,9.2,235.16,1
8,16.000000000000004,9.933594,10.333333333333334,399.74,1
9,18.00000000000001,11.063802,11.533333333333333,469.53,1
10,20.000000000000025,11.889323,12.366666666666667,477.34,1
11,22.000000000000025,12.973958,13.0,26.04,1
12,24.000000000000036,14.059895999999998,14.166666666666666,106.77,1
13,26.00000000000004,15.138020999999998,15.533333333333333,395.31,1
14,28.00000000000005,16.180338499999998,16.5,319.66,1
15,30.00000000000004,17.480469,18.066666666666666,586.2,1
16,32.00000000000001,18.815104,18.8,15.1,1
17,34.0,20.032552,20.6,567.45,1
18,35.99999999999997,20.88151,21.233333333333334,351.82,1
19,37.99999999999995,21.821615,23.066666666666666,1245.05,1
20,39.99999999999993,22.963542,24.433333333333334,1469.79,1
21,41.9999999999999,24.157552,25.033333333333335,875.78,1
22,43.999999999999886,25.106771,25.466666666666665,359.9,1
23,45.99999999999986,26.074219,26.066666666666666,7.55,1
24,47.999999999999844,27.07942700000001,27.233333333333334,153.91,1
25,49.9999999999998,28.091146,28.3,208.85,1
26,51.99999999999979,29.15625,29.866666666666667,710.42,1
27,53.99999999999978,30.27474,30.4,125.26,1
28,55.99999999999976,31.549479,31.466666666666665,82.81,1
29,57.99999999999974,32.707031,33.3,592.97,1
30,59.99999999999973,33.872396,34.06666666666667,194.27,1
31,61.999999999999744,34.980469,35.3,319.53,1
32,63.99999999999975,36.296875,36.46666666666667,169.79,1
33,65.99999999999974,37.303385,37.46666666666667,163.28,1
34,67.99999999999979,38.139974,38.4,260.03,1
35,69.99999999999979,39.121094,39.46666666666667,345.57,1
36,71.9999999999998,39.95377600000001,40.333333333333336,379.56,1
37,73.9999999999998,41.139323,40.93333333333333,205.99,1
38,75.99999999999982,42.216797,41.733333333333334,483.46,1
39,77.99999999999984,43.277344,43.4,122.66,1
40,79.99999999999986,44.144531,44.2,55.47,1
41,81.99999999999986,45.195312,45.3,104.69,1
42,83.99999999999986,45.990885,47.233333333333334,1242.45,1
43,85.99999999999987,46.933594,47.93333333333333,999.74,1
44,87.99999999999987,47.95638,48.8,843.62,1
45,89.9999999999999,49.292969,49.4,107.03,1
46,91.99999999999991,50.4622395,50.43333333333333,28.91,1
47,93.99999999999994,51.661458,51.666666666666664,5.21,1
48,95.99999999999996,52.94010400000001,52.53333333333333,406.77,1
49,97.99999999999996,54.227865,54.233333333333334,5.47,1
50,99.99999999999996,55.125,55.166666666666664,41.67,1
51,101.99999999999996,56.37565100000001,56.4,24.35,1
52,103.99999999999997,57.385417,57.86666666666667,481.25,1
53,105.99999999999999,58.51953100000001,58.96666666666667,447.14,1
54,108.00000000000001,59.479167,59.833333333333336,354.17,1
55,110.00000000000003,60.5410155,60.6,58.98,1
56,112.00000000000003,61.666667000000004,61.93333333333333,266.67,1
57,114.00000000000003,62.789062,63.0,210.94,1
58,116.00000000000004,63.701823,64.1,398.18,1
59,118.00000000000007,64.96744799999999,65.03333333333333,65.89,1
60,120.0000000000001,66.39974000000001,66.4,0.26,1
61,122.00000000000018,67.561198,68.0,438.8,1
62,124.00000000000026,68.424479,68.5,75.52,1
63,126.00000000000037,69.44400999999999,70.2,755.99,1
64,128.0000000000004,70.53125,70.56666666666666,35.42,1
65,130.00000000000048,71.559896,72.6,1040.1,1
66,132.0000000000005,72.34635399999998,72.9,553.65,1
67,134.0000000000006,73.31835950000001,73.86666666666666,548.31,1
68,136.00000000000068,74.216797,74.26666666666667,49.87,1
69,138.00000000000077,75.373698,75.56666666666666,192.97,1
70,140.00000000000085,76.43424499999998,76.23333333333333,200.91,1
71,142.00000000000088,77.44661500000002,77.3,146.62,1
72,144.00000000000102,78.3984375,78.5,101.56,1
73,146.00000000000102,79.398438,79.43333333333334,34.9,1
74,148.00000000000117,80.2213545,80.13333333333334,88.02,1
75,150.00000000000122,81.16275999999998,81.7,537.24,1
76,152.00000000000128,82.356771,82.46666666666667,109.9,1
77,154.00000000000136,83.545573,83.76666666666667,221.09,1
78,156.00000000000142,84.71875,84.5,218.75,1
79,158.0000000000015,85.8125,85.7,112.5,1
80,160.00000000000156,87.169271,86.73333333333333,435.94,1
81,162.00000000000165,88.363281,88.86666666666666,503.39,1
82,164.00000000000173,89.24088499999998,89.5,259.12,1
83,166.0000000000018,90.550781,90.56666666666666,15.89,1
84,168.00000000000182,91.59375,91.63333333333334,39.58,1
85,170.0000000000019,92.674479,92.83333333333333,158.85,1
86,172.00000000000196,93.639323,93.56666666666666,72.66,1
87,174.000000000002,94.833333,94.83333333333333,0.0,1
88,176.00000000000202,96.0683595,96.06666666666666,1.69,1
89,178.00000000000213,97.192708,97.8,607.29,1
90,180.0000000000022,98.092448,98.93333333333334,840.89,1
91,182.00000000000225,99.3203125,99.46666666666667,146.35,1
92,184.0000000000023,100.808594,100.8,8.59,1
93,186.00000000000233,102.057292,102.56666666666666,509.37,1
94,188.00000000000244,102.890625,104.7,1809.38,1
95,190.00000000000247,103.726562,106.5,2773.44,1
96,192.00000000000264,104.688802,107.43333333333334,2744.53,1
97,194.00000000000267,105.755208,107.83333333333333,2078.13,1
98,196.00000000000279,106.5234375,108.1,1576.56,1
99,198.0000000000028,107.391927,108.36666666666666,974.74,1
100,200.00000000000287,108.2005205,109.03333333333333,832.81,1
101,202.000000000003,109.26432250000002,109.36666666666666,102.34,1
102,204.00000000000298,110.07682250000002,110.16666666666667,89.84,1
103,206.00000000000307,110.915365,111.6,684.64,1
104,208.00000000000307,111.8151045,112.06666666666666,251.56,1
105,210.00000000000313,112.6790365,112.9,220.96,1
106,212.00000000000318,113.635417,113.86666666666666,231.25,1
107,214.00000000000318,114.583333,114.7,116.67,1
108,216.00000000000327,115.5677085,115.36666666666666,201.04,1
109,218.0000000000033,116.511719,116.96666666666667,454.95,1
110,220.00000000000344,117.2467445,118.66666666666667,1419.92,1
111,222.00000000000347,118.115885,118.93333333333334,817.45,1
112,224.00000000000358,118.9453125,119.93333333333334,988.02,1
113,226.0000000000036,120.0130205,120.23333333333333,220.31,1
114,228.0000000000036,120.811198,124.43333333333334,3622.14,1
115,230.0000000000037,121.6191405,124.73333333333333,3114.19,1
116,232.0000000000037,122.511719,125.0,2488.28,1
117,234.00000000000375,123.4596355,125.26666666666667,1807.03,1
118,236.00000000000364,124.46679650000002,125.53333333333333,1066.54,1
119,238.0000000000035,125.46224,125.8,337.76,1
120,240.00000000000333,126.605469,127.06666666666666,461.2,1
121,242.00000000000324,127.670573,127.76666666666667,96.09,1
122,244.00000000000313,129.032552,129.16666666666666,134.11,1
123,246.00000000000298,130.30989599999998,130.4,90.1,1
124,248.00000000000276,132.0625,131.26666666666668,795.83,1
125,250.00000000000261,133.298177,132.73333333333332,564.84,1
126,252.00000000000244,134.2623695,133.6,662.37,1
127,254.0000000000022,135.398438,135.66666666666666,268.23,1
128,256.0000000000021,136.94856750000002,136.9,48.57,1
129,258.00000000000193,138.42838500000002,137.93333333333334,495.05,1
130,260.00000000000176,139.46354150000002,139.56666666666666,103.13,1
131,262.0000000000016,140.601562,141.13333333333333,531.77,1
132,264.0000000000015,141.76822900000005,142.36666666666667,598.44,1
133,266.0000000000015,142.957031,143.26666666666668,309.64,1
134,268.0000000000011,144.057292,144.1,42.71,1
135,270.00000000000097,145.174479,145.43333333333334,258.85,1
136,272.0000000000008,146.578125,146.6,21.87,1
137,274.00000000000074,147.766927,148.46666666666667,699.74,1
138,276.0000000000005,148.703776,149.66666666666666,962.89,1
139,278.0000000000002,149.72786499999995,151.13333333333333,1405.47,1
140,280.0000000000001,150.60611999999998,151.4,793.88,1
141,281.9999999999999,151.595052,153.33333333333334,1738.28,1
142,283.99999999999966,152.44986999999998,154.3,1850.13,1
143,285.99999999999943,153.56835900000004,156.46666666666667,2898.31,1
144,287.9999999999994,154.797526,157.26666666666668,2469.14,1
145,289.99999999999915,155.921875,157.73333333333332,1811.46,1
146,291.9999999999989,156.7929685,158.0,1207.03,1
147,293.9999999999988,157.770833,158.93333333333334,1162.5,1
148,295.9999999999985,158.67513000000002,159.73333333333332,1058.2,1
149,297.99999999999835,159.613281,161.36666666666667,1753.39,1
150,299.9999999999981,160.4459635,162.5,2054.04,1
151,301.9999999999981,161.54231750000002,163.2,1657.68,1
152,303.99999999999784,162.813151,166.06666666666666,3253.52,1
153,305.99999999999756,163.936198,166.33333333333334,2397.14,1
154,307.99999999999744,164.83723999999995,166.6,1762.76,1
155,309.99999999999727,165.777344,166.9,1122.66,1
156,311.9999999999972,166.72005249999995,167.16666666666666,446.61,1
157,313.999999999997,167.700521,168.0,299.48,1
158,315.9999999999969,168.4960935,168.56666666666666,70.57,1
159,317.9999999999966,169.484375,169.5,15.62,1
160,319.99999999999636,170.3040365,170.63333333333333,329.3,1
161,321.99999999999636,171.292969,171.1,192.97,1
162,323.999999999996,172.14583349999995,172.1,45.83,1
163,325.9999999999958,173.21875,173.7,481.25,1
164,327.99999999999557,174.3320315,174.36666666666667,34.64,1
165,329.9999999999955,175.302083,175.5,197.92,1
166,331.9999999999954,176.167969,176.33333333333334,165.36,1
167,333.99999999999534,177.13802049999995,177.56666666666666,428.65,1
168,335.99999999999517,178.2910155,178.3,8.98,1
169,337.99999999999505,179.278646,180.23333333333332,954.69,1
170,339.99999999999477,180.268229,180.66666666666666,398.44,1
171,341.9999999999946,181.153646,181.16666666666666,13.02,1
172,343.9999999999945,182.171875,182.36666666666667,194.79,1
173,345.9999999999943,183.264323,183.8,535.68,1
174,347.99999999999403,184.114583,184.36666666666667,252.08,1
175,349.99999999999386,185.132812,185.46666666666667,333.85,1
176,351.99999999999375,185.958333,186.33333333333334,375.0,1
177,353.9999999999935,186.89974,186.9,0.26,1
178,355.99999999999335,187.757812,187.9,142.19,1
179,357.9999999999931,188.813802,188.9,86.2,1
180,359.9999999999929,189.969401,189.96666666666667,2.73,1
181,361.9999999999928,190.9101565,191.2,289.84,1
182,363.99999999999267,191.811198,192.2,388.8,1
183,365.99999999999255,192.873698,194.3,1426.3,1
184,367.99999999999244,194.246094,194.56666666666666,320.57,1
185,369.9999999999923,195.360677,195.73333333333332,372.66,1
186,371.99999999999204,196.4661455,196.86666666666667,400.52,1
187,373.99999999999187,197.7096355,197.73333333333332,23.7,1
188,375.9999999999917,199.813802,199.8,13.8,1
189,377.9999999999915,201.151042,201.5,348.96,1
190,379.99999999999125,202.121094,202.7,578.91,1
191,381.9999999999911,203.251302,203.83333333333334,582.03,1
192,383.99999999999096,204.7122395,204.9,187.76,1
193,385.9999999999908,206.052083,206.1,47.92,1
194,387.9999999999906,207.097005,207.53333333333333,436.33,1
195,389.99999999999056,208.233073,208.2,33.07,1
196,391.9999999999904,209.4121095,209.46666666666667,54.56,1
197,393.9999999999902,210.619792,210.8,180.21,1
198,395.99999999998994,211.664062,213.06666666666666,1402.6,1
199,397.9999999999898,212.785156,213.33333333333334,548.18,1
200,399.9999999999898,214.14518250000003,213.93333333333334,211.85,1
201,401.9999999999896,215.272135,216.4,1127.87,1
202,403.9999999999894,216.11002599999998,216.66666666666666,556.64,1
203,405.99999999998914,217.126302,217.4,273.7,1
204,407.999999999989,217.97526,218.06666666666666,91.41,1
205,409.9999999999888,218.908854,219.16666666666666,257.81,1
206,411.9999999999886,219.7434895,219.9,156.51,1
207,413.9999999999884,220.721354,221.06666666666666,345.31,1
208,415.9999999999882,221.705078,221.7,5.08,1
209,417.999999999988,222.654948,223.66666666666666,1011.72,1
210,419.99999999998784,223.5136715,224.0,486.33,1
211,421.9999999999876,224.9127605,225.53333333333333,620.57,1
