piece,perf,condition,elapsed_s,slow_beats,n_beats,AR@100,AR@500,AR@1000,MedAE_ms,MaxAE_ms,MeanAE_ms,LR500_K5
chopin_ballade1,BuiJL04M,C1_baseline,124.1,416,653,5.053598774885145,10.413476263399694,11.485451761102604,47542.71,152540.1,54115.121026033696,6.278713629402756
chopin_ballade1,BuiJL04M,C5_directional,110.6,416,653,16.38591117917305,35.52833078101072,41.19448698315467,2061.46,29916.67,6542.559142419602,26.339969372128635
chopin_ballade1,JIA06M,C1_baseline,118.6,416,653,3.3690658499234303,8.575803981623277,11.638591117917304,46393.75,149205.73,53515.67241960184,3.522205206738132
chopin_ballade1,JIA06M,C5_directional,110.4,416,653,16.079632465543643,32.618683001531394,39.81623277182236,2650.0,31522.92,6538.522664624808,20.82695252679939
chopin_ballade_2,Denisova17M,C1_baseline,62.8,0,408,8.57843137254902,19.607843137254903,21.568627450980394,43512.634999999995,74853.39,33814.28764705882,12.5
chopin_ballade_2,Denisova17M,C5_directional,63.1,0,408,8.57843137254902,19.607843137254903,21.568627450980394,43512.634999999995,74853.39,33814.28764705882,12.5
chopin_ballade_2,Gasanov08M,C1_baseline,72.1,0,408,33.57843137254902,62.745098039215684,73.77450980392157,246.22000000000003,10059.77,1605.2483578431375,37.99019607843137
chopin_ballade_2,Gasanov08M,C5_directional,71.1,0,408,33.57843137254902,62.745098039215684,73.77450980392157,246.22000000000003,10059.77,1605.2483578431375,37.99019607843137
bach_prelude_848,Denisova06M,C1_baseline,6.1,0,310,54.516129032258064,78.38709677419354,80.96774193548387,67.71000000000001,7194.4,945.9724838709676,75.80645161290323
bach_prelude_848,Denisova06M,C5_directional,6.2,0,310,54.516129032258064,78.38709677419354,80.96774193548387,67.71000000000001,7194.4,945.9724838709676,75.80645161290323
bach_prelude_848,Lee01M,C1_baseline,6.7,0,310,52.25806451612903,70.96774193548387,71.93548387096774,87.24,8442.19,1513.269064516129,67.0967741935484
bach_prelude_848,Lee01M,C5_directional,6.7,0,310,52.25806451612903,70.96774193548387,71.93548387096774,87.24,8442.19,1513.269064516129,67.0967741935484
