beat_idx,gt_beat,gt_time_s,pred_time_s,err_ms,ok
0,0.0,1.0078125,0.0,1007.81,1
1,1.0000000000000002,2.205208333333333,0.06666666666666667,2138.54,1
2,2.0000000000000004,3.4026041666666664,0.16666666666666666,3235.94,1
3,3.0000000000000004,4.6,0.8666666666666667,3733.33,1
4,4.0,5.6,1.5,4100.0,1
5,5.0,6.3942705,3.9,2494.27,1
6,6.0,7.143228999999999,4.566666666666666,2576.56,1
7,6.999999999999998,7.938021000000001,5.166666666666667,2771.35,1
8,7.9999999999999964,9.0489585,5.6,3448.96,1
9,8.999999999999993,10.2046875,6.166666666666667,4038.02,1
10,9.999999999999991,11.438021,6.366666666666666,5071.35,1
11,10.999999999999988,13.521875,6.766666666666667,6755.21,1
12,11.999999999999988,15.4971355,13.533333333333333,1963.8,1
13,12.999999999999984,17.472396,17.433333333333334,39.06,1
14,13.999999999999984,18.3885415,17.966666666666665,421.87,1
15,14.999999999999984,19.359896,19.366666666666667,6.77,1
16,15.999999999999982,20.530208,20.033333333333335,496.87,1
17,16.999999999999982,22.1578125,21.8,357.81,1
18,17.999999999999982,24.33125,21.9,2431.25,1
19,18.999999999999982,25.958984375,22.0,3958.98,1
20,19.999999999999982,27.58671875000001,26.2,1386.72,1
21,20.999999999999982,29.214453125,27.966666666666665,1247.79,1
22,21.999999999999982,30.8421875,29.4,1442.19,1
23,22.999999999999982,32.01119775,30.1,1911.2,1
24,23.999999999999982,33.180208,33.166666666666664,13.54,1
25,24.999999999999982,34.7968748,33.6,1196.87,1
26,25.99999999999998,36.4135416,34.06666666666667,2346.87,1
27,26.99999999999998,38.0302084,34.5,3530.21,1
28,27.99999999999998,39.6468752,34.766666666666666,4880.21,1
29,30.999999999999936,41.263542,39.5,1763.54,1
30,33.99999999999994,43.207292,43.266666666666666,59.37,1
31,36.99999999999995,44.675,44.766666666666666,91.67,1
32,39.99999999999995,46.085417,46.06666666666667,18.75,1
33,42.999999999999936,47.6432295,47.333333333333336,309.9,1
34,45.9999999999999,49.201042,49.2,1.04,1
35,48.9999999999999,50.427083,50.53333333333333,106.25,1
36,51.9999999999999,52.055208,51.333333333333336,721.87,1
37,54.99999999999989,53.788020499999995,53.4,388.02,1
38,57.99999999999986,55.520833,55.6,79.17,1
39,60.99999999999986,56.8875,57.13333333333333,245.83,1
40,63.999999999999886,58.378125,58.333333333333336,44.79,1
41,66.99999999999986,59.780208,59.53333333333333,246.87,1
42,69.99999999999983,61.91875,61.63333333333333,285.42,1
43,72.99999999999983,63.240625,63.233333333333334,7.29,1
44,75.99999999999983,64.928125,64.9,28.12,1
45,78.99999999999983,66.6541665,66.26666666666667,387.5,1
46,81.99999999999979,68.380208,68.33333333333333,46.87,1
47,84.99999999999979,69.811458,69.96666666666667,155.21,1
48,87.99999999999974,71.251042,71.13333333333334,117.71,1
49,90.99999999999973,72.657292,72.23333333333333,423.96,1
50,93.99999999999991,74.063542,74.1,36.46,1
51,96.9999999999999,75.328125,75.5,171.88,1
52,99.9999999999999,76.991667,77.0,8.33,1
53,102.99999999999982,78.80572950000001,78.1,705.73,1
54,106.00000000000003,80.619792,80.7,80.21,1
55,108.99999999999994,81.91041700000002,81.76666666666667,143.75,1
56,111.99999999999991,83.442708,83.33333333333333,109.37,1
57,114.99999999999991,84.979167,84.86666666666666,112.5,1
58,117.99999999999983,86.178125,86.43333333333334,255.21,1
59,120.99999999999974,87.382292,87.5,117.71,1
60,123.9999999999998,89.0484375,89.0,48.44,1
61,126.99999999999972,90.197917,90.13333333333334,64.58,1
62,129.9999999999997,91.231771,91.3,68.23,1
63,132.99999999999966,91.897917,92.56666666666666,668.75,1
64,135.9999999999996,93.707292,93.56666666666666,140.63,1
65,138.99999999999955,95.026042,94.63333333333334,392.71,1
66,141.99999999999952,96.375,96.33333333333333,41.67,1
67,144.9999999999995,97.790625,97.83333333333333,42.71,1
68,147.99999999999943,99.190625,99.13333333333334,57.29,1
69,150.9999999999994,100.791667,101.0,208.33,1
70,153.9999999999994,102.55625,103.0,443.75,1
71,156.99999999999935,104.211458,104.2,11.46,1
72,159.9999999999993,105.758333,105.3,458.33,1
73,162.99999999999923,107.439583,107.43333333333334,6.25,1
74,165.9999999999992,108.938542,108.4,538.54,1
75,168.9999999999992,110.444792,110.43333333333334,11.46,1
