beat_idx,gt_beat,gt_time_s,pred_time_s,err_ms,ok
0,2.0,0.855208,0.8666666666666667,11.458666666666728,1
1,3.0,1.520833,1.5333333333333334,12.500333333333336,1
2,4.0,2.229167,2.1,129.1669999999998,1
3,5.0,2.928125,2.933333333333333,5.208333333333037,1
4,6.0,3.642708,3.6333333333333333,9.374666666666531,1
5,7.0,4.375,4.366666666666666,8.333333333333748,1
6,8.0,5.088542,4.9,188.54199999999997,1
7,9.0,5.767708,5.766666666666667,1.0413333333332275,1
8,10.0,6.419792,6.366666666666666,53.12533333333391,1
9,11.0,7.058333,7.0,58.33300000000019,1
10,12.0,7.727603999999999,7.666666666666667,60.93733333333162,1
11,13.0,8.402083,8.333333333333334,68.74966666666538,1
12,14.0,9.067708,9.0,67.70799999999966,1
13,15.0,9.753125,9.633333333333333,119.79166666666785,1
14,16.0,10.4,10.366666666666667,33.333333333333215,1
15,17.0,11.048958,11.033333333333333,15.624666666667508,1
16,18.0,11.703125,11.633333333333333,69.79166666666714,1
17,19.0,12.336111,12.266666666666667,69.44433333333322,1
18,20.0,12.983333,12.866666666666667,116.66633333333287,1
19,21.0,13.632291,13.566666666666666,65.62433333333395,1
20,22.0,14.290625,14.233333333333333,57.29166666666785,1
21,23.0,14.966667,14.866666666666667,100.00033333333214,1
22,24.0,15.613021,15.533333333333333,79.6876666666666,1
23,25.0,16.303125,16.266666666666666,36.4583333333357,1
24,26.0,16.961458,16.9,61.45800000000179,1
25,27.0,17.606771,17.6,6.770999999996974,1
26,28.0,18.277084,18.233333333333334,43.75066666666427,1
27,29.0,18.970312,18.933333333333334,36.97866666666627,1
28,30.0,19.645312,19.6,45.31199999999913,1
29,31.0,20.317187,20.233333333333334,83.85366666666627,1
30,32.0,20.957292,20.9,57.29200000000034,1
31,33.0,21.65625,21.566666666666666,89.58333333333357,1
32,34.0,22.308333,22.2,108.33300000000179,1
33,35.0,22.916666,22.9,16.666000000000736,1
34,36.0,23.563021,23.533333333333335,29.687666666664114,1
35,37.0,24.198958,24.166666666666668,32.29133333333323,1
36,38.0,24.852605,24.8,52.60499999999979,1
37,39.0,25.493403,25.466666666666665,26.736333333335693,1
38,40.0,26.1625,26.1,62.5,1
39,41.0,26.83125,26.8,31.25,1
40,42.0,27.484722,27.4,84.72200000000285,1
41,43.0,28.146875,28.066666666666666,80.20833333333499,1
42,44.0,28.786806,28.7,86.80599999999927,1
43,45.0,29.442708000000003,29.4,42.70800000000463,1
44,46.0,30.080208,30.033333333333335,46.874666666663956,1
45,47.0,30.697396,30.666666666666668,30.729333333333386,1
46,48.0,31.277604,31.333333333333332,55.729333333331965,1
47,49.0,32.042709,31.966666666666665,76.0423333333371,1
48,50.0,32.682639,32.63333333333333,49.30566666666891,1
49,51.0,33.34948,33.233333333333334,116.14666666666551,1
50,52.0,34.010069,34.0,10.069000000001438,1
