beat_idx,gt_beat,gt_time_s,pred_time_s,err_ms,ok
0,2.0,0.873698,0.0,873.698,1
1,3.0,1.514323,1.5333333333333334,19.01033333333335,1
2,4.0,2.230469,2.2333333333333334,2.8643333333335796,1
3,5.0,2.885417,2.9,14.583000000000013,1
4,6.0,3.557292,3.566666666666667,9.374666666666975,1
5,7.0,4.190104,4.166666666666667,23.437333333332866,1
6,8.0,4.871094,4.766666666666667,104.42733333333365,1
7,9.0,5.5208330000000005,5.466666666666667,54.16633333333376,1
8,10.0,6.166666,6.133333333333334,33.332666666666455,1
9,11.0,6.792317,6.733333333333333,58.98366666666632,1
10,12.0,7.444661,7.4,44.66099999999962,1
11,13.0,8.104167,8.066666666666666,37.50033333333391,1
12,14.0,8.745443,8.7,45.443000000000566,1
13,15.0,9.366536,9.333333333333334,33.20266666666605,1
14,16.0,9.972656,9.9,72.65600000000028,1
15,17.0,10.598308,10.533333333333333,64.97466666666618,1
16,18.0,11.23698,11.133333333333333,103.646666666668,1
17,19.0,11.851128,11.8,51.12799999999851,1
18,20.0,12.486979,12.4,86.97899999999947,1
19,21.0,13.123047,13.066666666666666,56.380333333333255,1
20,22.0,13.751953,13.7,51.953000000001026,1
21,23.0,14.353516,14.3,53.51600000000012,1
22,24.0,14.972656,14.9,72.65600000000028,1
23,25.0,15.627604000000002,15.566666666666666,60.937333333335175,1
24,26.0,16.271484,16.2,71.48400000000166,1
25,27.0,16.883463,16.866666666666667,16.79633333333186,1
26,28.0,17.516927,17.466666666666665,50.26033333333402,1
27,29.0,18.172526,18.133333333333333,39.19266666666843,1
28,30.0,18.821615,18.766666666666666,54.9483333333356,1
29,31.0,19.454427,19.4,54.42700000000045,1
30,32.0,20.075521,19.966666666666665,108.85433333333339,1
31,33.0,20.736979,20.666666666666668,70.31233333333375,1
32,34.0,21.38151,21.3,81.50999999999797,1
33,35.0,21.985026,21.933333333333334,51.69266666666772,1
34,36.0,22.60612,22.6,6.119999999999237,1
35,37.0,23.223958,23.2,23.958000000000368,1
36,38.0,23.848959,23.8,48.958999999999975,1
37,39.0,24.47309,24.433333333333334,39.75666666666555,1
38,40.0,25.153212,25.0,153.2119999999999,1
39,41.0,25.794922,25.733333333333334,61.588666666665404,1
40,42.0,26.430122,26.333333333333332,96.78866666666863,1
41,43.0,27.044271,26.933333333333334,110.93766666666482,1
42,44.0,27.693142,27.633333333333333,59.80866666666884,1
43,45.0,28.323567,28.266666666666666,56.900333333334885,1
44,46.0,28.936198,28.9,36.198000000002395,1
45,47.0,29.554036,29.5,54.03599999999997,1
46,48.0,30.15625,30.133333333333333,22.91666666666714,1
