beat_idx,gt_beat,gt_time_s,pred_time_s,err_ms,ok
0,0.0,0.957031,0.0,957.031,1
1,0.9999999999999999,1.328125,0.26666666666666666,1061.4583333333335,1
2,2.0,1.690104,0.26666666666666666,1423.4373333333335,1
3,3.0,2.061198,0.26666666666666666,1794.5313333333336,1
4,4.0,2.4283855,0.26666666666666666,2161.7188333333334,1
5,4.999999999999999,2.796875,0.26666666666666666,2530.2083333333335,1
6,5.999999999999999,3.163411,0.26666666666666666,2896.7443333333335,1
7,6.999999999999999,3.5195309999999997,0.26666666666666666,3252.864333333333,1
8,7.999999999999999,3.886068,0.26666666666666666,3619.4013333333332,1
9,9.0,4.2584635,4.266666666666667,8.203166666666206,1
10,9.999999999999996,4.619792,4.666666666666667,46.87466666666662,1
11,10.999999999999998,4.9739585,5.033333333333333,59.374833333333044,1
12,11.999999999999998,5.3333330000000005,5.333333333333333,0.00033333333249174757,1
13,12.999999999999998,5.6933595,5.733333333333333,39.97383333333371,1
14,14.0,6.040365,6.066666666666666,26.301666666666,1
15,15.0,6.4101560000000015,6.466666666666667,56.510666666665266,1
16,16.0,6.7532549999999985,6.733333333333333,19.92166666666506,1
17,16.999999999999996,7.106119500000001,7.066666666666666,39.4528333333346,1
18,18.000000000000004,7.474609000000001,7.433333333333334,41.27566666666738,1
19,19.000000000000004,7.830078,7.966666666666667,136.58866666666648,1
20,20.000000000000007,8.2089845,8.333333333333334,124.34883333333424,1
21,21.0,8.578125,8.7,121.87499999999929,1
22,21.999999999999996,8.934895999999998,8.9,34.89599999999804,1
23,22.999999999999986,9.299479,9.233333333333333,66.14566666666732,1
24,23.99999999999998,9.6816405,9.666666666666666,14.973833333334241,1
25,24.999999999999982,10.042969,10.033333333333333,9.635666666666154,1
26,25.99999999999998,10.41276,10.3,112.75999999999975,1
27,26.999999999999986,10.765625,10.8,34.37500000000071,1
28,27.999999999999982,11.134115,11.066666666666666,67.44833333333311,1
29,28.999999999999982,11.5091145,11.533333333333333,24.218833333332412,1
30,29.99999999999998,11.865885,11.966666666666667,100.78166666666633,1
31,30.99999999999998,12.216146,12.266666666666667,50.520666666667324,1
32,31.99999999999998,12.601562,12.5,101.56199999999949,1
33,32.99999999999998,12.9459635,12.933333333333334,12.630166666665943,1
34,33.99999999999998,13.3235675,13.366666666666667,43.0991666666678,1
35,34.99999999999998,13.690104000000002,13.633333333333333,56.770666666668745,1
36,35.999999999999986,14.02474,14.033333333333333,8.593333333333675,1
37,36.999999999999986,14.376302,14.4,23.697999999999553,1
38,37.999999999999986,14.708332999999998,14.666666666666666,41.666333333331806,1
39,38.999999999999986,15.05599,15.1,44.010000000000105,1
40,39.999999999999986,15.385417000000002,15.5,114.58299999999788,1
41,40.999999999999986,15.820312,15.8,20.311999999998775,1
42,41.999999999999964,16.186198,16.133333333333333,52.864666666668114,1
43,42.99999999999995,16.518229,16.5,18.229000000001605,1
44,43.999999999999936,16.848307000000002,16.833333333333332,14.973666666669772,1
45,44.999999999999936,17.255208,17.366666666666667,111.45866666666748,1
46,45.999999999999936,17.648438,17.633333333333333,15.104666666665878,1
47,46.99999999999996,18.054688,18.0,54.68799999999874,1
48,47.999999999999936,18.804688,18.433333333333334,371.35466666666514,1
49,48.99999999999995,19.55306025,19.066666666666666,486.3935833333351,1
50,49.999999999999936,20.3014325,19.366666666666667,934.7658333333335,1
51,50.999999999999936,21.04980475,19.7,1349.8047500000005,1
52,51.999999999999936,21.798177,19.766666666666666,2031.5103333333334,1
53,52.99999999999993,22.173828,21.533333333333335,640.4946666666654,1
54,53.99999999999991,22.5247395,22.1,424.73949999999763,1
55,54.99999999999989,22.85481750000001,22.466666666666665,388.15083333334496,1
56,55.99999999999987,23.221354,22.833333333333332,388.02066666666946,1
57,56.99999999999986,23.577474,23.133333333333333,444.1406666666659,1
58,57.99999999999985,23.9238285,23.533333333333335,390.4951666666641,1
59,58.99999999999982,24.2604165,23.9,360.416500000003,1
60,59.99999999999981,24.623698,24.566666666666666,57.031333333334544,1
61,60.9999999999998,24.9752605,24.933333333333334,41.927166666667404,1
62,61.9999999999998,25.304688,25.266666666666666,38.02133333333302,1
63,62.999999999999794,25.6328125,25.7,67.18749999999929,1
64,63.999999999999794,25.986979,26.1,113.02099999999982,1
65,64.99999999999979,26.34700500000001,26.466666666666665,119.66166666665501,1
66,65.99999999999977,26.692708000000003,26.733333333333334,40.62533333333107,1
67,66.99999999999979,27.021484499999996,27.0,21.48449999999613,1
68,67.99999999999979,27.4635415,27.366666666666667,96.87483333333446,1
69,68.99999999999977,27.843099,27.966666666666665,123.5676666666663,1
70,69.99999999999977,28.1953125,28.333333333333332,138.02083333333215,1
71,70.99999999999974,28.547526,28.8,252.47399999999942,1
72,71.99999999999973,28.902995,29.166666666666668,263.6716666666672,1
73,72.9999999999997,29.2675785,29.7,432.42150000000026,1
74,73.99999999999969,29.609375,29.7,90.62499999999929,1
75,74.99999999999967,29.933594,29.7,233.59400000000008,1
76,75.99999999999964,30.276042,30.266666666666666,9.375333333334623,1
77,76.99999999999967,30.638021000000002,30.633333333333333,4.687666666669088,1
