beat_idx,gt_beat,gt_time_s,pred_time_s,err_ms,ok
0,0.0,1.0234379999999998,0.0,1023.4379999999999,1
1,0.9999999999999999,1.443359,0.2,1243.3590000000002,1
2,2.0,1.851563,0.2,1651.563,1
3,3.0,2.2597650000000002,0.2,2059.765,1
4,4.0,2.664062,0.2,2464.062,1
5,4.999999999999999,3.068359,0.2,2868.359,1
6,5.999999999999999,3.4694010000000004,3.3,169.40100000000058,1
7,6.999999999999999,3.8847650000000002,2.466666666666667,1418.0983333333334,1
8,7.999999999999999,4.307291,4.3,7.2910000000003805,1
9,9.0,4.703776,4.633333333333334,70.44266666666665,1
10,9.999999999999996,5.1041669999999995,5.133333333333334,29.166333333334293,1
11,10.999999999999998,5.517578,5.533333333333333,15.7553333333329,1
12,11.999999999999998,5.938802,5.9,38.80199999999956,1
13,12.999999999999998,6.361328,6.3,61.32800000000049,1
14,14.0,6.764322999999999,6.733333333333333,30.989666666665805,1
15,15.0,7.1770830000000005,7.166666666666667,10.416333333333583,1
16,16.0,7.595703,7.533333333333333,62.3696666666671,1
17,16.999999999999996,8.0,7.966666666666667,33.333333333333215,1
18,18.000000000000004,8.420573,8.333333333333334,87.23966666666527,1
19,19.000000000000004,8.833984,8.733333333333333,100.65066666666667,1
20,20.000000000000007,9.236979,9.166666666666666,70.31233333333375,1
21,21.0,9.646484,9.6,46.483999999999526,1
22,21.999999999999996,10.045573,9.966666666666667,78.90633333333241,1
23,22.999999999999986,10.456380000000001,10.433333333333334,23.046666666667548,1
24,23.99999999999998,10.886068,10.866666666666667,19.401333333332715,1
25,24.999999999999982,11.285807,11.3,14.193000000000566,1
26,25.99999999999998,11.713542,11.6,113.5420000000007,1
27,26.999999999999986,12.128255000000001,12.066666666666666,61.58833333333469,1
28,27.999999999999982,12.532552,12.433333333333334,99.21866666666723,1
29,28.999999999999982,12.966797,12.866666666666667,100.13033333333254,1
30,29.99999999999998,13.375,13.3,74.99999999999929,1
31,30.99999999999998,13.792318,13.733333333333333,58.98466666666735,1
32,31.99999999999998,14.269531,14.166666666666666,102.86433333333456,1
33,32.99999999999998,14.688801999999999,14.6,88.80199999999938,1
34,33.99999999999998,15.085285999999998,15.033333333333333,51.95266666666498,1
35,34.99999999999998,15.479167000000002,15.4,79.16700000000176,1
36,35.999999999999986,15.869792000000002,15.833333333333334,36.458666666668194,1
37,36.999999999999986,16.253906,16.2,53.90600000000134,1
38,37.999999999999986,16.641927,16.6,41.926999999997605,1
39,38.999999999999986,17.020833,16.966666666666665,54.16633333333465,1
40,39.999999999999986,17.397135000000002,17.366666666666667,30.468333333335096,1
41,40.999999999999986,17.852864999999998,17.766666666666666,86.19833333333204,1
