beat_idx,gt_beat,gt_time_s,pred_time_s,err_ms,ok
0,0.0,1.042318,0.0,1042.318,1
1,1.5,1.652995,0.2,1452.9950000000001,1
2,3.0000000000000004,2.276042,0.2,2076.042,1
3,4.499998600000561,2.899088,0.2,2699.0879999999997,1
4,6.000000000000001,3.522135,0.2,3322.1349999999998,1
5,7.5,4.097005,0.2,3897.005,1
6,9.0,4.674479,0.2,4474.478999999999,1
7,10.5,5.305339,0.2,5105.339,1
8,12.000000000000005,6.026042,0.2,5826.042,1
9,13.500000000000002,6.839844,0.2,6639.844,1
10,15.000000000000002,7.549154,0.2,7349.1539999999995,1
11,16.500000000000007,8.258464,0.2,8058.464000000001,1
12,18.000000000000018,9.043945,0.2,8843.945000000002,1
13,19.500000000000025,9.829427,0.2,9629.427000000001,1
14,21.000000000000025,10.769748,0.2,10569.748000000001,1
15,22.50000139999947,11.710069,0.2,11510.069000000001,1
16,24.000000000000036,12.650391,0.2,12450.391000000001,1
17,25.500000000000032,13.33138,0.2,13131.38,1
18,27.000000000000025,13.935113,0.2,13735.113,1
19,28.499998600000588,14.538845000000002,0.2,14338.845000000003,1
20,30.000000000000025,15.142578,0.2,14942.578000000001,1
21,31.500000000000018,15.695312,0.26666666666666666,15428.645333333332,1
22,33.00000000000002,16.26888,0.26666666666666666,16002.213333333333,1
23,34.500000000000014,16.881510000000002,0.26666666666666666,16614.843333333338,1
24,36.000000000000014,17.548177,0.26666666666666666,17281.51033333333,1
25,37.50000000000001,18.36263,0.26666666666666666,18095.963333333333,1
26,39.00000000000001,19.045898,0.26666666666666666,18779.231333333337,1
27,40.500000000000014,19.729167,0.26666666666666666,19462.500333333333,1
28,42.000000000000014,20.506836,0.26666666666666666,20240.169333333335,1
29,43.50000000000001,21.284506,0.26666666666666666,21017.839333333333,1
30,45.000000000000014,21.876465,0.26666666666666666,21609.798333333332,1
31,46.49999860000057,22.468425,0.26666666666666666,22201.758333333335,1
32,48.000000000000036,23.060384,0.26666666666666666,22793.717333333334,1
33,49.50000000000002,23.652344,0.26666666666666666,23385.677333333333,1
34,51.000000000000014,24.346355,0.26666666666666666,24079.68833333333,1
35,52.50000000000002,25.040365,0.26666666666666666,24773.698333333337,1
36,54.00000000000005,25.683594,0.26666666666666666,25416.927333333333,1
37,55.50000000000009,26.326823,0.26666666666666666,26060.156333333336,1
38,57.0000000000001,26.921875,0.26666666666666666,26655.208333333336,1
39,58.50000000000009,27.53776,0.26666666666666666,27271.093333333334,1
40,60.0000000000001,28.199544,0.26666666666666666,27932.877333333334,1
41,61.5000000000001,28.861328000000004,0.4666666666666667,28394.661333333337,1
42,63.00000000000009,29.581706,0.7,28881.706000000002,1
43,64.5000000000001,30.302083000000003,0.8,29502.083000000002,1
44,66.00000000000013,31.035156,0.8666666666666667,30168.489333333335,1
45,67.50000000000016,31.768229,0.8666666666666667,30901.562333333335,1
46,69.00000000000017,32.376302,0.9333333333333333,31442.968666666668,1
47,70.50000000000014,33.019531,0.9333333333333333,32086.19766666667,1
48,72.00000000000014,33.634115,0.9333333333333333,32700.78166666667,1
49,73.50000000000016,34.274089000000004,0.9333333333333333,33340.75566666667,1
50,75.00000000000016,34.976562,0.9333333333333333,34043.22866666667,1
51,76.50000000000016,35.776042,0.9333333333333333,34842.708666666666,1
52,78.00000000000016,36.517578,0.9333333333333333,35584.24466666667,1
