beat_idx,gt_beat,gt_time_s,pred_time_s,err_ms,ok
0,0.0,0.996094,0.0,996.094,1
1,1.5,3.1744790000000003,0.0,3174.4790000000003,1
2,3.0,5.040365,4.366666666666666,673.6983333333342,1
3,4.5,6.80599,6.566666666666666,239.323333333334,1
4,6.0,8.645833,8.533333333333333,112.49966666666644,1
5,7.5,10.516927,10.233333333333333,283.5936666666683,1
6,9.0,12.739583,11.5,1239.5829999999996,1
7,10.499999999999998,14.91276,14.633333333333333,279.4266666666676,1
8,12.0,16.652344,16.566666666666666,85.67733333333294,1
9,13.5,18.539062,18.233333333333334,305.728666666667,1
10,15.0,20.980469,20.266666666666666,713.8023333333336,1
11,16.5,23.342448,20.4,2942.4480000000026,1
12,18.0,25.6328125,24.0,1632.8125,1
13,19.5,29.3125,25.166666666666668,4145.833333333332,1
14,21.0,33.108723999999995,26.333333333333332,6775.390666666663,1
15,22.5,36.904948,27.566666666666666,9338.28133333333,1
16,24.0,38.817708,27.566666666666666,11251.041333333336,1
17,25.5,40.492188,27.566666666666666,12925.521333333332,1
18,27.0,42.21744800000001,29.2,13017.448000000013,1
19,28.5,43.880208,30.233333333333334,13646.874666666668,1
20,30.0,45.391276,31.366666666666667,14024.60933333333,1
21,31.5,46.9713545,30.633333333333333,16338.021166666664,1
22,33.0,48.816406,36.1,12716.405999999999,1
23,34.5,50.554688,36.733333333333334,13821.354666666664,1
24,36.0,52.473958,42.43333333333333,10040.624666666674,1
25,37.5,54.255208499999995,47.53333333333333,6721.875166666663,1
26,39.0,55.882812,55.833333333333336,49.47866666666556,1
27,40.5,57.545573,57.4,145.57299999999884,1
28,42.0,59.182292,59.166666666666664,15.625333333332492,1
29,43.5,60.67447900000001,60.6,74.47900000001084,1
30,45.0,62.265625,62.06666666666667,198.95833333333002,1
31,46.5,64.1119795,63.96666666666667,145.31283333333533,1
32,48.0,65.802083,65.5,302.0829999999961,1
33,49.5,67.488281,67.0,488.28100000000063,1
34,51.0,69.189453,68.83333333333333,356.1196666666717,1
35,52.5,71.1054685,70.83333333333333,272.13516666667203,1
36,54.0,72.857422,72.3,557.4220000000025,1
37,55.5,74.476562,74.2,276.5619999999984,1
38,57.0,76.20833350000002,75.5,708.3335000000233,1
39,58.5,77.951823,77.56666666666666,385.15633333334165,1
40,60.0,79.560547,79.43333333333334,127.21366666666256,1
41,61.5,81.2128905,80.96666666666667,246.22383333333175,1
42,63.0,83.2890625,83.03333333333333,255.72916666666856,1
43,64.5,85.1803385,85.13333333333334,47.00516666666488,1
44,66.0,87.622396,86.36666666666666,1255.7293333333348,1
45,67.5,89.558594,89.26666666666667,291.92733333333365,1
46,69.0,91.279948,91.0,279.9480000000045,1
47,70.5,93.178385,92.63333333333334,545.0516666666658,1
48,72.0,94.721354,94.66666666666667,54.687333333333754,1
49,73.5,96.0214845,95.96666666666667,54.81783333333112,1
50,75.0,97.567708,97.4,167.70799999999042,1
51,76.5,99.339844,99.16666666666667,173.17733333332797,1
52,78.0,100.880208,100.73333333333333,146.87466666666182,1
53,79.5,102.584635,102.23333333333333,351.3016666666715,1
54,81.0,104.318359,104.2,118.3589999999981,1
55,82.5,105.90625,105.86666666666666,39.583333333339965,1
56,84.0,107.666667,107.23333333333333,433.3336666666696,1
57,85.5,109.19531200000002,109.13333333333334,61.97866666667551,1
58,87.0,110.60481750000001,110.53333333333333,71.48416666667856,1
59,88.5,112.17382849999998,111.96666666666667,207.16183333331628,1
60,90.0,114.0546875,113.86666666666666,188.02083333333997,1
61,91.5,115.786458,115.56666666666666,219.79133333333323,1
62,93.0,117.41861999999999,116.96666666666667,451.95333333332144,1
63,94.5,119.108073,118.76666666666667,341.4063333333388,1
64,96.0,121.0970055,120.83333333333333,263.67216666666593,1
65,97.5,122.84570349999998,122.4,445.70349999997916,1
66,99.0,124.480469,124.2,280.4689999999965,1
67,100.5,126.415365,125.76666666666667,648.6983333333285,1
68,102.0,128.111979,127.96666666666667,145.31233333332239,1
69,103.5,129.5625,129.43333333333334,129.16666666666288,1
70,105.0,131.218099,130.86666666666667,351.4323333333209,1
71,106.5,133.3098955,133.03333333333333,276.5621666666789,1
72,108.0,135.158854,135.1,58.85399999999663,1
73,109.5,136.94401000000002,136.26666666666668,677.3433333333401,1
74,111.0,139.20572900000002,138.7,505.72900000003074,1
75,112.5,141.119792,141.06666666666666,53.12533333332681,1
76,114.0,142.552083,142.4,152.08300000000463,1
77,115.5,144.0253905,143.93333333333334,92.05716666664898,1
78,117.0,145.36523400000004,145.3,65.23400000003221,1
79,118.5,146.60286499999995,146.56666666666666,36.1983333332887,1
80,120.0,147.908854,147.76666666666668,142.18733333331102,1
81,121.5,149.261719,146.63333333333333,2628.3856666666734,1
82,123.0,150.895833,150.6,295.833000000016,1
83,124.5,152.464844,152.43333333333334,31.510666666662246,1
84,126.0,153.809896,153.6,209.89600000001474,1
85,127.5,155.1471355,155.1,47.135499999996,1
86,129.0,156.3339845,156.26666666666668,67.31783333333397,1
87,130.5,157.60026000000005,157.73333333333332,133.07333333327165,1
88,132.0,158.886719,158.8,86.718999999988,1
89,133.5,160.252604,160.2,52.604000000002316,1
90,135.0,161.78776000000005,161.6,187.7600000000541,1
91,136.5,163.513021,163.5,13.021000000009053,1
92,138.0,164.78125,164.73333333333332,47.91666666667993,1
93,139.5,166.3177085,166.23333333333332,84.37516666668898,1
94,141.0,167.720052,167.66666666666666,53.38533333335249,1
95,142.5,168.921875,168.93333333333334,11.458333333337123,1
96,144.0,170.183594,170.06666666666666,116.92733333333649,1
97,145.5,171.5351565,171.53333333333333,1.8231666666679303,1
98,147.0,172.8502605,172.83333333333334,16.92716666664751,1
99,148.5,174.14973999999995,174.1,49.73999999995726,1
100,150.0,175.518229,175.4,118.22899999998526,1
101,151.5,176.911458,176.8,111.45799999999895,1
102,153.0,178.35026000000005,178.26666666666668,83.59333333336849,1
103,154.5,179.904948,179.76666666666668,138.28133333331039,1
104,156.0,181.371094,181.26666666666668,104.42733333331944,1
105,157.5,182.671224,182.6,71.22400000000084,1
106,159.0,183.792969,183.8,7.031000000012,1
107,160.5,184.876302,184.86666666666667,9.635333333335439,1
108,162.0,186.144531,186.06666666666666,77.86433333333775,1
109,163.5,187.63151,187.63333333333333,1.8233333333341761,1
110,165.0,189.669271,188.9,769.2710000000034,1
111,166.5,192.570312,191.73333333333332,836.9786666666812,1
112,168.0,194.7623695,194.5,262.3695000000055,1
113,169.5,196.6803385,196.63333333333333,47.00516666667909,1
114,171.0,199.27474,198.23333333333332,1041.4066666666884,1
115,172.5,201.5983075,200.66666666666666,931.640833333347,1
116,174.0,203.089844,203.06666666666666,23.17733333333649,1
117,175.5,204.6308595,204.63333333333333,2.473833333311859,1
