beat_idx,gt_beat,gt_time_s,pred_time_s,err_ms,ok
0,0.0,0.953125,0.0,953.125,1
1,1.5,2.919271,1.9666666666666666,952.6043333333336,1
2,3.0,4.559896,4.5,59.89600000000017,1
3,4.5,6.451823,6.133333333333334,318.4896666666663,1
4,6.0,8.018229,7.9,118.22899999999947,1
5,7.5,9.691406,9.333333333333334,358.0726666666667,1
6,9.0,11.5065105,11.2,306.5104999999999,1
7,10.499999999999998,13.494792000000002,13.166666666666666,328.125333333336,1
8,12.0,14.940104000000002,14.833333333333334,106.77066666666768,1
9,13.5,16.6835935,16.3,383.59349999999995,1
10,15.0,18.8125,17.533333333333335,1279.166666666665,1
11,16.5,20.77474,20.3,474.7400000000006,1
12,18.0,22.7792965,21.5,1279.2965000000008,1
13,19.5,25.873047,23.3,2573.046999999999,1
14,21.0,28.6259765,24.633333333333333,3992.643166666667,1
15,22.5,31.378906,29.3,2078.906,1
16,24.0,33.2096355,29.333333333333332,3876.3021666666655,1
17,25.5,34.786458,34.46666666666667,319.79133333333465,1
18,27.0,36.186849,36.06666666666667,120.18233333333228,1
19,28.5,37.858073,37.46666666666667,391.40633333332886,1
20,30.0,39.2552085,39.166666666666664,88.54183333333765,1
21,31.5,40.8196615,40.53333333333333,286.3281666666708,1
22,33.0,42.4251305,42.233333333333334,191.79716666666735,1
23,34.5,43.951823,43.833333333333336,118.48966666666172,1
24,36.0,45.472656,45.13333333333333,339.32266666666777,1
25,37.5,47.01432250000001,46.06666666666667,947.6558333333429,1
26,39.0,48.316406,48.3,16.406000000003473,1
27,40.5,49.630208,49.5,130.2080000000032,1
28,42.0,51.170573,51.1,70.572999999996,1
29,43.5,52.5442705,52.53333333333333,10.937166666671772,1
30,45.0,54.1946615,53.8,394.6615000000051,1
31,46.5,55.92643200000001,55.8,126.43200000001542,1
32,48.0,57.395833,57.266666666666666,129.1663333333375,1
33,49.5,58.755208499999995,58.666666666666664,88.54183333333054,1
34,51.0,60.33268200000001,60.03333333333333,299.34866666668114,1
35,52.5,61.8665365,61.733333333333334,133.20316666666798,1
36,54.0,63.251302,63.13333333333333,117.96866666666972,1
37,55.5,64.627604,64.53333333333333,94.27066666667372,1
38,57.0,65.94075550000001,65.83333333333333,107.42216666668014,1
39,58.5,67.510417,67.3,210.41700000000674,1
40,60.0,68.8665365,68.83333333333333,33.20316666666656,1
41,61.5,70.4179685,70.16666666666667,251.30183333332923,1
42,63.0,72.000651,71.86666666666666,133.9843333333448,1
43,64.5,73.61979149999998,73.33333333333333,286.45816666664814,1
44,66.0,75.46875,75.16666666666667,302.0833333333286,1
45,67.5,77.048828,76.9,148.82799999999463,1
46,69.0,78.408854,78.3,108.854000000008,1
47,70.5,79.815104,79.63333333333334,181.7706666666652,1
48,72.0,81.307292,81.1,207.29200000000958,1
49,73.5,82.5703125,82.5,70.3125,1
50,75.0,84.029297,83.8,229.29700000000253,1
51,76.5,85.485677,85.33333333333333,152.34366666666688,1
52,78.0,86.798177,86.73333333333333,64.84366666666119,1
53,79.5,88.316406,88.03333333333333,283.0726666666692,1
54,81.0,89.7714845,89.43333333333334,338.15116666666256,1
55,82.5,91.029948,91.0,29.948000000004527,1
56,84.0,92.428385,92.26666666666667,161.71833333334007,1
57,85.5,93.984375,93.9,84.37499999999432,1
58,87.0,95.2526045,95.2,52.60450000000105,1
59,88.5,96.766276,96.46666666666667,299.6093333333363,1
60,90.0,98.3652345,98.16666666666667,198.56783333332828,1
61,91.5,100.022135,99.73333333333333,288.8016666666715,1
62,93.0,101.625,101.53333333333333,91.66666666666856,1
63,94.5,103.25,102.6,650.0000000000057,1
64,96.0,104.8072915,104.66666666666667,140.62483333333375,1
65,97.5,106.250651,106.03333333333333,217.3176666666734,1
66,99.0,107.626302,107.5,126.30199999999547,1
67,100.5,109.010417,108.83333333333333,177.0836666666753,1
68,102.0,110.69531200000002,110.3,395.3120000000183,1
69,103.5,112.0416665,112.0,41.66650000000516,1
70,105.0,113.561198,113.3,261.19800000000737,1
71,106.5,115.2369795,115.0,236.9795000000039,1
72,108.0,116.822917,116.63333333333334,189.58366666666393,1
73,109.5,118.377604,117.66666666666667,710.9373333333338,1
74,111.0,120.2734375,119.86666666666666,406.77083333333997,1
75,112.5,122.188802,121.83333333333333,355.4686666666669,1
76,114.0,123.763021,123.5,263.02099999999484,1
77,115.5,125.078776,125.03333333333333,45.442666666673404,1
78,117.0,126.2734375,126.23333333333333,40.10416666666572,1
79,118.5,127.501302,127.26666666666667,234.63533333332975,1
80,120.0,128.816406,128.63333333333333,183.07266666667488,1
81,121.5,130.20963500000002,130.03333333333333,176.30166666668856,1
82,123.0,131.917969,131.5,417.96899999999937,1
83,124.5,133.85026000000002,133.6,250.26000000002568,1
84,126.0,135.173177,135.06666666666666,106.51033333334681,1
85,127.5,136.4101565,136.36666666666667,43.48983333332512,1
86,129.0,137.53710900000002,137.5,37.10900000001516,1
87,130.5,138.643229,138.56666666666666,76.56233333332807,1
88,132.0,139.863281,139.83333333333334,29.947666666657824,1
89,133.5,141.213542,141.1,113.54199999999537,1
90,135.0,142.739583,142.46666666666667,272.91633333334175,1
91,136.5,144.139323,144.1,39.322999999996,1
92,138.0,145.455078,145.3,155.07799999997474,1
93,139.5,146.95638000000002,146.76666666666668,189.71333333334428,1
94,141.0,148.300781,148.26666666666668,34.1143333333207,1
95,142.5,149.44661499999995,149.53333333333333,86.71833333337986,1
96,144.0,150.7272135,150.6,127.21350000001053,1
97,145.5,152.0371095,151.96666666666667,70.44283333334533,1
98,147.0,153.235026,153.23333333333332,1.6926666666847723,1
99,148.5,154.394531,154.33333333333334,61.197666666657824,1
100,150.0,155.688802,155.66666666666666,22.13533333335249,1
101,151.5,156.830729,156.9,69.27100000001474,1
102,153.0,157.88411499999995,157.76666666666668,117.44833333327165,1
103,154.5,159.058594,159.0,58.59399999999937,1
104,156.0,160.441406,160.3,141.40599999998926,1
105,157.5,161.66666650000005,161.56666666666666,99.99983333338491,1
106,159.0,162.73567749999995,162.73333333333332,2.3441666666315086,1
107,160.5,163.872396,163.8,72.39599999999768,1
108,162.0,165.17447900000005,165.06666666666666,107.81233333338491,1
109,163.5,166.643229,166.26666666666668,376.562333333311,1
110,165.0,168.597656,167.83333333333334,764.3226666666578,1
111,166.5,171.197917,169.06666666666666,2131.250333333327,1
112,168.0,173.3125,169.7,3612.5000000000114,1
113,169.5,174.88541650000005,166.43333333333334,8452.08316666671,1
114,171.0,176.848958,166.43333333333334,10415.624666666674,1
115,172.5,178.41536499999995,166.43333333333334,11982.031666666615,1
116,174.0,179.807292,169.66666666666666,10140.625333333333,1
117,175.5,180.98242150000002,172.73333333333332,8249.088166666696,1
118,177.0,182.166667,174.83333333333334,7333.333666666647,1
119,178.5,183.416667,176.1,7316.666999999996,1
120,180.0,184.557292,184.66666666666666,109.37466666666751,1
121,181.5,186.0208335,185.93333333333334,87.50016666667193,1
122,183.0,187.091146,187.13333333333333,42.1873333333167,1
123,184.5,188.222656,188.16666666666666,55.98933333334344,1
124,186.0,189.257812,189.33333333333334,75.52133333334154,1
125,187.5,190.411458,190.36666666666667,44.79133333333607,1
126,189.0,191.4270835,191.36666666666667,60.41683333333481,1
127,190.5,192.527344,192.5,27.34399999999937,1
128,192.0,193.8489585,193.73333333333332,115.62516666668898,1
129,193.5,194.950521,194.96666666666667,16.14566666665951,1
130,195.00000000000003,196.471354,196.33333333333334,138.02066666664814,1
131,196.50000000000003,197.5442705,197.53333333333333,10.937166666678877,1
132,198.00000000000003,198.7565105,198.8,43.48950000002105,1
133,199.50000000000003,199.78710900000002,199.8,12.890999999996211,1
134,201.00000000000003,201.018229,200.96666666666667,51.562333333322385,1
135,202.50000000000003,202.10026,202.16666666666666,66.40666666666561,1
136,204.00000000000003,203.170573,203.13333333333333,37.23966666666456,1
137,205.50000000000003,204.171875,204.33333333333334,161.4583333333428,1
138,207.00000000000003,205.324219,205.26666666666668,57.55233333331944,1
139,208.50000000000003,206.535156,206.6,64.84399999999368,1
140,210.00000000000003,207.726562,207.73333333333332,6.7713333333188075,1
141,211.50000000000003,209.278646,209.06666666666666,211.97933333334618,1
142,213.00000000000003,211.253906,210.76666666666668,487.2393333333207,1
143,214.50000000000003,212.542969,212.5,42.96899999999937,1
144,216.00000000000003,213.46224,213.43333333333334,28.9066666666713,1
145,217.50000000000003,214.363281,214.43333333333334,70.05233333333649,1
146,219.00000000000003,215.308594,215.7,391.40599999998926,1
147,220.50000000000009,216.12044249999997,216.56666666666666,446.2241666666955,1
148,222.00000000000026,216.803385,217.83333333333334,1029.9483333333512,1
149,223.5000000000005,217.42513,219.1,1674.8699999999985,1
150,225.00000000000065,218.108073,219.56666666666666,1458.5936666666726,1
151,226.5000000000009,218.729167,220.36666666666667,1637.4996666666846,1
152,228.00000000000108,219.28776,222.46666666666667,3178.9066666666768,1
153,229.50000000000125,219.882812,222.86666666666667,2983.854666666673,1
154,231.0000000000015,220.518229,224.83333333333334,4315.104333333352,1
155,232.50000000000168,221.221354,225.93333333333334,4711.979333333346,1
156,234.00000000000185,222.017578,225.93333333333334,3915.755333333351,1
157,235.5000000000021,222.8847655,225.3,2415.234500000025,1
158,237.00000000000225,224.026042,228.36666666666667,4340.624666666685,1
159,238.50000000000176,225.54036499999998,226.63333333333333,1092.9683333333458,1
160,240.00000000000176,226.64518199999998,226.63333333333333,11.848666666651297,1
161,241.50000000000182,227.86653650000002,227.96666666666667,100.13016666664498,1
162,243.00000000000182,229.009115,228.96666666666667,42.44833333333986,1
163,244.50000000000182,230.061198,230.1,38.802000000004,1
164,246.00000000000182,231.138021,231.1,38.02100000001474,1
165,247.50000000000188,232.424479,232.2,224.47900000000232,1
166,249.00000000000188,234.044271,233.7,344.2710000000204,1
167,250.50000000000188,236.391927,235.23333333333332,1158.5936666666896,1
168,252.00000000000188,237.893229,237.63333333333333,259.8956666666652,1
169,253.50000000000193,238.98763,239.0,12.370000000004211,1
170,255.00000000000193,240.4622395,240.26666666666668,195.57283333332975,1
171,256.50000000000193,241.859375,241.63333333333333,226.04166666667425,1
172,257.999999450002,243.565755,243.53333333333333,32.42166666666435,1
173,259.500000000002,245.272135,244.6,672.1349999999973,1
174,261.000000000002,246.75065099999998,246.23333333333332,517.3176666666564,1
175,262.50000000000193,248.05599,246.9,1155.9900000000027,1
176,264.000000000002,249.3125,249.2,112.50000000001137,1
177,265.500000000002,250.541667,250.46666666666667,75.00033333332112,1
178,267.00000000000205,251.742188,251.7,42.188000000010106,1
179,268.500000000002,252.911458,252.9,11.458000000004631,1
180,270.00000000000205,254.384115,254.06666666666666,317.44833333334554,1
181,271.50000000000205,255.635417,255.7,64.58299999999895,1
182,273.00000000000205,256.78125,256.6333333333333,147.91666666667425,1
183,274.5000000000021,258.54622400000005,258.26666666666665,279.5573333334005,1
184,276.0000000000021,259.7044275,259.6333333333333,71.09416666668267,1
185,277.5000000000021,260.717448,260.6,117.44799999996758,1
186,279.00000000000216,261.71549500000003,261.7,15.495000000044001,1
187,280.50000000000216,262.790365,262.7,90.36500000001979,1
188,281.9999994500022,264.46093775,264.3,160.93775000001642,1
189,283.50000000000216,266.1315105,265.9,231.51050000001305,1
190,285.0000000000022,267.7447915,267.23333333333335,511.4581666666709,1
191,286.50000000000216,269.38151,268.46666666666664,914.8433333333514,1
192,288.00000000000216,270.9869795,270.7,286.9795000000295,1
193,289.50000000000216,273.2988285,271.8,1498.828500000002,1
194,290.9999994500023,274.72428425,272.56666666666666,2157.6175833333195,1
195,292.50000000000216,276.14974,273.6666666666667,2483.073333333323,1
196,294.00000000000216,277.684896,277.3,384.89599999996926,1
197,295.5000000000021,280.44140600000003,278.6,1841.4060000000063,1
198,297.00000000000216,282.770833,281.3666666666667,1404.1663333333076,1
199,298.50000000000216,283.807292,283.96666666666664,159.37466666662203,1
200,300.00000000000216,284.595052,284.73333333333335,138.2813333333388,1
201,301.5000000000022,285.372396,284.73333333333335,639.0626666666321,1
202,303.0000000000022,286.597005,287.1666666666667,569.6616666666614,1
203,304.5000000000022,287.5097655,286.96666666666664,543.0988333333744,1
204,306.00000000000233,288.3417970000001,286.96666666666664,1375.130333333459,1
205,307.50000000000233,289.734375,289.56666666666666,167.70833333333712,1
206,309.00000000000233,290.9309895,291.0,69.01049999999032,1
207,310.5000000000025,291.735677,292.03333333333336,297.6563333333502,1
208,312.0000000000024,292.542318,292.6666666666667,124.34866666666267,1
209,313.5000000000024,293.289062,293.3666666666667,77.60466666667298,1
210,315.0000000000024,294.3958335,296.2,1804.166500000008,1
211,316.5000000000024,295.3209635,295.6666666666667,345.7031666666808,1
212,318.00000000000244,296.2552085,296.73333333333335,478.12483333336786,1
213,319.50000000000244,297.39453100000014,298.2,805.4689999998459,1
214,321.0000000000025,298.902344,298.6,302.34400000000505,1
215,322.5000000000025,300.5,300.3666666666667,133.33333333332575,1
216,324.0000000000025,301.699219,301.6666666666667,32.552333333342176,1
217,325.5000000000025,302.736979,302.73333333333335,3.645666666670877,1
218,327.00000000000244,304.234375,304.03333333333336,201.04166666664014,1
219,328.5000000000025,305.669271,305.6666666666667,2.604333333295017,1
220,330.0000000000025,306.779948,306.73333333333335,46.614666666641824,1
