beat_idx,gt_beat,gt_time_s,pred_time_s,err_ms,ok
0,0.0,1.515757,0.0,1515.757,1
1,1.0,2.0232349999999997,0.0,2023.2349999999997,1
2,2.0,2.367786,0.0,2367.786,1
3,3.0,2.709666,0.0,2709.6659999999997,1
4,4.0,3.03285,0.0,3032.85,1
5,5.0,3.3520269999999996,0.0,3352.0269999999996,1
6,6.0,3.7059260000000003,0.0,3705.9260000000004,1
7,7.0,4.062496,4.033333333333333,29.162666666667114,1
8,8.0,4.5739800000000015,4.5,73.9800000000015,1
9,9.0,5.1589160000000005,4.966666666666667,192.2493333333337,1
10,10.0,5.503467,1.2666666666666666,4236.800333333333,1
11,11.0,5.822644,1.6,4222.644000000001,1
12,12.0,6.144492,0.06666666666666667,6077.825333333333,1
13,13.0,6.462333,6.433333333333334,28.999666666666535,1
14,14.0,6.800207,6.8,0.20700000000051233,1
15,15.0,7.140751,7.233333333333333,92.58233333333354,1
16,16.0,7.641552000000001,7.466666666666667,174.88533333333402,1
17,17.0,8.297267999999999,7.966666666666667,330.6013333333322,1
18,18.0,8.625793,8.6,25.793000000000177,1
19,19.0,8.934286,8.933333333333334,0.9526666666666017,1
20,20.0,9.240108,9.266666666666667,26.558666666668174,1
21,21.0,9.557949,9.566666666666666,8.717666666665735,1
22,22.0,9.87312,9.866666666666667,6.453333333332978,1
23,23.0,10.196304,10.166666666666666,29.637333333333515,1
24,24.0,10.500791,10.566666666666666,65.87566666666689,1
25,25.0,10.855358,10.966666666666667,111.30866666666606,1
26,26.0,11.186554,11.2,13.446000000000069,1
27,27.0,11.489705,11.5,10.294999999999277,1
28,28.0,11.802873,11.8,2.8729999999992373,1
29,29.0,12.128727,12.133333333333333,4.606333333333268,1
30,30.0,12.419192,12.533333333333333,114.14133333333254,1
31,31.0,12.728353,12.733333333333333,4.980333333332254,1
32,32.0,13.064223,13.166666666666666,102.44366666666593,1
33,33.0,13.484228,13.533333333333333,49.105333333333334,1
34,34.0,13.776696,13.9,123.30400000000097,1
35,35.0,14.097207999999998,14.266666666666667,169.4586666666691,1
36,36.0,14.460456,14.7,239.54399999999865,1
37,37.0,14.803671,15.433333333333334,629.662333333334,1
38,38.0,15.153564000000001,15.9,746.4359999999992,1
39,39.0,15.427335000000001,15.5,72.66499999999887,1
40,40.0,15.99758,16.0,2.420000000000755,1
41,41.0,16.372847,16.3,72.84699999999944,1
42,42.0,16.716062,16.766666666666666,50.604666666664855,1
43,43.0,17.155432,17.066666666666666,88.7653333333347,1
44,44.0,17.745708999999994,17.5,245.7089999999944,1
45,45.0,18.116969,18.033333333333335,83.635666666666,1
46,46.0,18.557674,18.466666666666665,91.00733333333366,1
47,47.0,18.922257000000002,18.9,22.257000000003302,1
48,48.0,19.399019,19.3,99.01899999999841,1
49,49.0,19.751583,19.7,51.58300000000082,1
50,50.0,20.084115,20.1,15.885000000000815,1
51,51.0,20.492767999999998,20.4,92.76799999999952,1
52,52.0,20.868035,20.866666666666667,1.3683333333318615,1
53,53.0,21.236624,21.233333333333334,3.2906666666647766,1
54,54.0,21.570491,21.666666666666668,96.17566666666733,1
55,55.0,21.969129000000002,22.1,130.87099999999907,1
56,56.0,22.367766,22.4,32.233999999998986,1
57,57.0,22.936007999999998,22.766666666666666,169.3413333333318,1
58,58.0,23.249175,23.233333333333334,15.841666666666754,1
59,59.0,23.647813,23.633333333333333,14.479666666666446,1
60,60.0,24.096531,24.0,96.53099999999881,1
61,61.0,24.655424,24.433333333333334,222.09066666666644,1
62,62.0,24.998639999999998,24.866666666666667,131.97333333333106,1
63,63.0,25.463383,25.366666666666667,96.71633333333318,1
64,64.0,26.18921,25.766666666666666,422.5433333333335,1
65,65.0,26.677324,26.566666666666666,110.65733333333228,1
66,66.0,26.984482,26.966666666666665,17.81533333333485,1
67,67.0,27.317013,27.333333333333332,16.320333333332826,1
68,68.0,27.753712,27.633333333333333,120.3786666666673,1
69,69.0,28.238487,28.1,138.4869999999978,1
70,70.0,28.615089,28.6,15.088999999999686,1
71,71.0,28.970323999999998,28.966666666666665,3.657333333332957,1
72,72.0,29.405686,29.3,105.68599999999861,1
73,73.0,29.837042999999998,29.733333333333334,103.70966666666348,1
74,74.0,30.149542999999998,30.166666666666668,17.12366666667009,1
75,75.0,30.522138,30.533333333333335,11.195333333333224,1
76,76.0,30.87470200000001,30.966666666666665,91.96466666665515,1
77,77.0,31.243290999999996,31.3,56.709000000005005,1
78,78.0,31.673312,31.833333333333332,160.0213333333329,1
79,79.0,32.155417,32.166666666666664,11.249666666664382,1
80,80.0,32.86455,32.5,364.55000000000126,1
81,81.0,33.353332,33.1,253.33200000000033,1
82,82.0,33.708566999999995,33.3,408.5669999999979,1
83,83.0,34.139256,33.7,439.2560000000003,1
84,84.0,34.804987,34.5,304.986999999997,1
85,85.0,35.214975,35.1,114.97500000000116,1
86,86.0,35.657016,35.56666666666667,90.34933333332873,1
87,87.0,36.033618,35.96666666666667,66.95133333332848,1
88,88.0,36.574483,36.4,174.48300000000216,1
89,89.0,36.93639500000001,36.8,136.39500000001448,1
90,90.0,37.25957800000001,37.233333333333334,26.244666666677574,1
91,91.0,37.681585999999996,37.63333333333333,48.25266666666295,1
92,92.0,38.102259000000004,38.03333333333333,68.92566666667221,1
93,93.0,38.53228,38.46666666666667,65.61333333333152,1
94,94.0,38.84745,38.86666666666667,19.216666666665105,1
95,95.0,39.254768,39.3,45.23199999999861,1
96,96.0,39.772931,39.7,72.93099999999697,1
97,97.0,40.263047,40.13333333333333,129.7136666666674,1
98,98.0,40.691733,40.53333333333333,158.39966666666783,1
99,99.0,41.131102,41.0,131.1019999999985,1
100,100.0,41.499691,41.46666666666667,33.02433333332999,1
101,101.0,41.9217,41.93333333333333,11.633333333328721,1
102,102.0,42.203483,42.2,3.482999999995684,1
103,103.0,42.696939,42.53333333333333,163.60566666666898,1
104,104.0,43.050171,43.03333333333333,16.837666666667417,1
105,105.0,43.385373,43.6,214.62700000000012,1
106,106.0,43.725918,44.1,374.08200000000136,1
107,107.0,44.16462,44.13333333333333,31.286666666666463,1
108,108.0,44.708822999999995,44.53333333333333,175.48966666666388,1
109,109.0,45.337829,45.03333333333333,304.49566666666783,1
110,110.0,45.699740999999996,45.7,0.2590000000068926,1
111,111.0,46.080349,46.1,19.651000000003194,1
112,112.0,46.905669,46.5,405.66900000000317,1
113,113.0,47.441192,46.93333333333333,507.8586666666709,1
114,114.0,47.852515999999994,47.8,52.51599999999712,1
115,115.0,48.342633,48.13333333333333,209.29966666666644,1
116,116.0,48.991671000000004,48.7,291.6710000000009,1
117,117.0,49.55390300000001,49.333333333333336,220.56966666667677,1
118,118.0,49.867739,49.833333333333336,34.40566666666456,1
119,119.0,50.201606,50.266666666666666,65.06066666666754,1
120,120.0,50.662343,50.6,62.34299999999848,1
121,121.0,51.048293,51.03333333333333,14.959666666669591,1
122,122.0,51.40753400000001,51.46666666666667,59.132666666656064,1
123,123.0,51.814852,51.833333333333336,18.481333333333794,1
124,124.0,52.33702,52.2,137.0199999999997,1
125,125.0,52.89124,52.7,191.24000000000052,1
126,126.0,53.225106999999994,53.233333333333334,8.226333333340108,1
127,127.0,53.616399,53.63333333333333,16.934333333331608,1
128,128.0,54.162606000000004,54.03333333333333,129.27266666667236,1
129,129.0,54.752883,54.46666666666667,286.2163333333285,1
130,130.0,55.094763,55.1,5.237000000001046,1
131,131.0,55.405928,55.46666666666667,60.73866666666561,1
132,132.0,55.917412,55.833333333333336,84.07866666666308,1
133,133.0,56.404858,56.36666666666667,38.191333333330135,1
134,134.0,56.691984,56.766666666666666,74.68266666666779,1
135,135.0,57.027187,57.166666666666664,139.47966666666645,1
136,136.0,57.42515600000001,57.36666666666667,58.489333333341165,1
137,137.0,57.90726,57.9,7.260000000002265,1
138,138.0,58.214418,58.233333333333334,18.915333333332285,1
139,139.0,58.530924,58.6,69.07600000000258,1
140,140.0,58.84476,58.93333333333333,88.57333333332917,1
141,141.0,59.175956000000006,59.3,124.04399999999072,1
142,142.0,59.540539,59.56666666666667,26.127666666667437,1
143,143.0,59.94785699999999,59.96666666666667,18.809666666676605,1
144,144.0,60.339149,60.4,60.850999999999544,1
145,145.0,60.794543999999995,60.833333333333336,38.78933333334089,1
146,146.0,61.06698000000001,61.13333333333333,66.35333333332483,1
147,147.0,61.429559,61.53333333333333,103.77433333333386,1
148,148.0,61.821518999999995,61.9,78.48100000000358,1
149,149.0,62.16072800000001,62.13333333333333,27.394666666680223,1
150,150.0,62.589414,62.5,89.41399999999788,1
151,151.0,62.98070600000001,62.93333333333333,47.37266666668205,1
152,152.0,63.330599,63.3,30.599000000002263,1
153,153.0,63.705866,63.766666666666666,60.80066666666539,1
154,154.0,64.032388,64.13333333333334,100.94533333334255,1
155,155.0,64.412329,64.7,287.6710000000031,1
156,156.0,64.855705,65.0,144.29499999999962,1
157,157.0,65.249668,65.16666666666667,83.00133333332838,1
158,158.0,65.587541,65.6,12.45899999999267,1
159,159.0,65.959469,66.0,40.53100000000143,1
160,160.0,66.618523,66.36666666666666,251.85633333333612,1
161,161.0,67.525306,66.86666666666666,658.6393333333405,1
