beat_idx,gt_beat,gt_time_s,pred_time_s,err_ms,ok
0,0.0,1.514422,0.0,1514.422,1
1,1.0,1.9671450000000001,0.0,1967.1450000000002,1
2,2.0,2.302348,0.0,2302.348,1
3,3.0,2.60817,0.0,2608.17,1
4,4.0,2.919335,0.0,2919.3349999999996,1
5,5.0,3.237176,0.0,3237.176,1
6,6.0,3.6017589999999995,0.0,3601.7589999999996,1
7,7.0,3.967678,0.0,3967.678,1
8,8.0,4.471149,0.6666666666666666,3804.482333333333,1
9,9.0,4.979963,4.9,79.96299999999934,1
10,10.0,5.273766,1.0,4273.7660000000005,1
11,11.0,5.590272,2.0,3590.2719999999995,1
12,12.0,5.902772,3.033333333333333,2869.4386666666664,1
13,13.0,6.2219489999999995,6.266666666666667,44.7176666666671,1
14,14.0,6.563828999999999,6.533333333333333,30.495666666666033,1
15,15.0,6.928412,6.966666666666667,38.25466666666699,1
16,16.0,7.457258,7.266666666666667,190.59133333333378,1
17,17.0,8.0048,7.733333333333333,271.4666666666661,1
18,18.0,8.327316,8.3,27.315999999999008,1
19,19.0,8.643821,8.633333333333333,10.487666666668005,1
20,20.0,8.938292,8.966666666666667,28.374666666666215,1
21,21.0,9.250792,9.2,50.79200000000128,1
22,22.0,9.560621000000001,9.566666666666666,6.045666666665284,1
23,23.0,9.867778999999999,9.866666666666667,1.1123333333316054,1
24,24.0,10.192298,10.2,7.702000000000098,1
25,25.0,10.516148,10.6,83.85200000000026,1
26,26.0,10.851351,10.966666666666667,115.31566666666748,1
27,27.0,11.1525,11.233333333333333,80.83333333333265,1
28,28.0,11.477686,11.6,122.31399999999937,1
29,29.0,11.890346000000001,11.9,9.653999999999385,1
30,30.0,12.180810000000001,12.233333333333333,52.52333333333148,1
31,31.0,12.514678,12.566666666666666,51.98866666666646,1
32,32.0,12.945366,12.9,45.36599999999957,1
33,33.0,13.405435,13.333333333333334,72.10166666666673,1
34,34.0,13.735296,13.733333333333333,1.9626666666674453,1
35,35.0,14.093202,14.066666666666666,26.535333333333355,1
36,36.0,14.465798000000001,14.466666666666667,0.8686666666655185,1
37,37.0,14.826374,14.866666666666667,40.29266666666764,1
38,38.0,15.194963000000001,15.233333333333333,38.370333333331175,1
39,39.0,15.582249,15.6,17.751000000000516,1
40,40.0,16.050998999999994,15.933333333333334,117.66566666666023,1
41,41.0,16.430272,16.366666666666667,63.605333333331515,1
42,42.0,16.75212,16.733333333333334,18.786666666667173,1
43,43.0,17.154096,17.1,54.0959999999977,1
44,44.0,17.604149,17.5,104.1489999999996,1
45,45.0,17.966061,17.933333333333334,32.727666666666266,1
46,46.0,18.357353,18.333333333333332,24.01966666666766,1
47,47.0,18.715259,18.7,15.259000000000356,1
48,48.0,19.153292999999998,19.1,53.29299999999648,1
49,49.0,19.527224,19.466666666666665,60.55733333333535,1
50,50.0,19.850407999999998,19.866666666666667,16.258666666669086,1
51,51.0,20.221667999999998,20.2,21.667999999998244,1
52,52.0,20.65436,20.6,54.359999999999076,1
53,53.0,21.034968,20.966666666666665,68.30133333333421,1
54,54.0,21.390203,21.366666666666667,23.536333333332493,1
55,55.0,21.744101999999998,21.733333333333334,10.768666666663762,1
56,56.0,22.214855,22.1,114.8549999999986,1
57,57.0,22.735020000000002,22.566666666666666,168.3533333333358,1
58,58.0,23.151685999999998,23.066666666666666,85.01933333333156,1
59,59.0,23.586382,23.533333333333335,53.04866666666541,1
60,60.0,23.957642,23.933333333333334,24.308666666666312,1
61,61.0,24.413037,24.333333333333332,79.70366666666706,1
62,62.0,24.834377,24.7,134.37700000000063,1
63,63.0,25.259723,25.066666666666666,193.0563333333346,1
64,64.0,25.789237,25.466666666666665,322.57033333333493,1
65,65.0,26.215252000000003,26.133333333333333,81.91866666667025,1
66,66.0,26.533093,26.533333333333335,0.24033333333406404,1
67,67.0,26.927056,26.933333333333334,6.277333333333246,1
68,68.0,27.25024,27.266666666666666,16.426666666664147,1
69,69.0,27.73635,27.6,136.3500000000002,1
70,70.0,28.128978000000004,28.066666666666666,62.31133333333716,1
71,71.0,28.484213,28.466666666666665,17.54633333333544,1
72,72.0,28.899544,28.866666666666667,32.87733333333165,1
73,73.0,29.304190999999996,29.266666666666666,37.52433333333016,1
74,74.0,29.642064,29.666666666666668,24.60266666666655,1
75,75.0,30.00798300000001,30.0,7.983000000010065,1
76,76.0,30.369895,30.366666666666667,3.2283333333325004,1
77,77.0,30.737149,30.766666666666666,29.517666666666997,1
78,78.0,31.097725,31.166666666666668,68.94166666666734,1
79,79.0,31.502371999999998,31.5,2.3719999999975983,1
80,80.0,32.003173,31.9,103.17299999999818,1
81,81.0,32.417168,32.333333333333336,83.83466666666095,1
82,82.0,32.769732,32.733333333333334,36.39866666666336,1
83,83.0,33.150341,33.1,50.34099999999597,1
84,84.0,33.580362,33.5,80.36200000000093,1
85,85.0,33.954293,33.9,54.29300000000126,1
86,86.0,34.308192,34.3,8.192000000001087,1
87,87.0,34.678117,34.63333333333333,44.78366666666744,1
88,88.0,35.080093,35.03333333333333,46.75966666666653,1
89,89.0,35.443341,35.43333333333333,10.007666666666637,1
90,90.0,35.774537,35.766666666666666,7.870333333336532,1
91,91.0,36.147133000000004,36.1,47.13300000000231,1
92,92.0,36.61054,36.53333333333333,77.20666666666887,1
93,93.0,37.017858000000004,36.96666666666667,51.191333333335365,1
94,94.0,37.385112,37.36666666666667,18.445333333332314,1
95,95.0,37.771063,37.733333333333334,37.729666666663775,1
96,96.0,38.370020000000004,38.13333333333333,236.68666666667093,1
97,97.0,38.806051000000004,38.56666666666667,239.38433333333364,1
98,98.0,39.204021000000004,39.0,204.02100000000445,1
99,99.0,39.567268,39.46666666666667,100.60133333332999,1
100,100.0,39.941199,39.96666666666667,25.467666666671107,1
101,101.0,40.335163,40.333333333333336,1.8296666666657302,1
102,102.0,40.717107,40.7,17.106999999995764,1
103,103.0,41.158479,41.1,58.47899999999839,1
104,104.0,41.602523,41.46666666666667,135.85633333332936,1
105,105.0,41.955086,41.86666666666667,88.4193333333343,1
106,106.0,42.33703,42.3,37.03000000000145,1
107,107.0,42.682916999999996,42.6,82.9169999999948,1
108,108.0,43.245149,43.06666666666667,178.48233333332786,1
109,109.0,43.699208,43.666666666666664,32.54133333333442,1
110,110.0,44.04643,44.06666666666667,20.236666666669123,1
111,111.0,44.403,44.46666666666667,63.66666666666987,1
112,112.0,44.947872,44.833333333333336,114.53866666666102,1
113,113.0,45.48473,45.3,184.73000000000184,1
114,114.0,45.837294,45.766666666666666,70.62733333333426,1
115,115.0,46.232593,46.166666666666664,65.92633333333708,1
116,116.0,46.635904,46.56666666666667,69.23733333332649,1
117,117.0,47.083286,46.93333333333333,149.95266666667106,1
118,118.0,47.445198,47.4,45.19799999999918,1
119,119.0,47.837826,47.8,37.82600000000258,1
120,120.0,48.223777,48.166666666666664,57.11033333333404,1
121,121.0,48.599043,48.56666666666667,32.376333333331786,1
122,122.0,48.960955,49.0,39.04500000000155,1
123,123.0,49.352247999999996,49.36666666666667,14.418666666671243,1
124,124.0,49.715495000000004,49.666666666666664,48.82833333333991,1
125,125.0,50.112128999999996,50.06666666666667,45.462333333325944,1
126,126.0,50.494073,50.46666666666667,27.406333333331645,1
127,127.0,50.878688000000004,50.86666666666667,12.02133333333677,1
128,128.0,51.376818,51.266666666666666,110.15133333333438,1
129,129.0,51.927031,51.666666666666664,260.3643333333352,1
130,130.0,52.282266,52.266666666666666,15.599333333334187,1
131,131.0,52.638836,52.63333333333333,5.502666666664879,1
132,132.0,52.992734999999996,52.96666666666667,26.068333333327587,1
133,133.0,53.452137,53.36666666666667,85.47033333333331,1
134,134.0,53.777991,53.766666666666666,11.32433333333438,1
135,135.0,54.137232,54.13333333333333,3.8986666666644965,1
136,136.0,54.531195,54.53333333333333,2.1383333333346854,1
137,137.0,54.985923,54.93333333333333,52.58966666666964,1
138,138.0,55.359186,55.3,59.18600000000396,1
139,139.0,55.705073,55.7,5.072999999995886,1
140,140.0,56.046953,56.1,53.0469999999994,1
141,141.0,56.4102,56.4,10.20000000000465,1
142,142.0,56.66928100000001,56.766666666666666,97.38566666665349,1
143,143.0,57.076599,57.13333333333333,56.73433333333122,1
144,144.0,57.493265,57.56666666666667,73.40166666666903,1
145,145.0,57.949994999999994,57.9,49.99499999999557,1
146,146.0,58.23511800000001,58.333333333333336,98.21533333332866,1
147,147.0,58.615058999999995,58.766666666666666,151.60766666667058,1
148,148.0,58.991661,59.1,108.33900000000085,1
149,149.0,59.361585999999996,59.333333333333336,28.25266666665982,1
150,150.0,59.786265,59.7,86.26499999999737,1
151,151.0,60.124139,60.03333333333333,90.80566666666812,1
152,152.0,60.648978,60.43333333333333,215.6446666666696,1
153,153.0,61.10570799999999,60.9,205.70799999999423,1
154,154.0,61.42355,61.4,23.550000000000182,1
155,155.0,61.793475,61.8,6.524999999996339,1
156,156.0,62.212143999999995,62.2,12.143999999992161,1
157,157.0,62.584072,62.6,15.928000000002385,1
158,158.0,62.93262900000001,63.0,67.37099999998719,1
159,159.0,63.31724499999999,63.333333333333336,16.08833333334303,1
160,160.0,63.805358,63.7,105.3579999999954,1
