beat_idx,gt_beat,gt_time_s,pred_time_s,err_ms,ok
0,0.0,1.029297,0.0,1029.2969999999998,1
1,1.0,1.328125,0.0,1328.125,1
2,2.0,1.6601560000000002,0.0,1660.1560000000002,1
3,3.0000000000000004,1.957031,0.0,1957.031,1
4,4.000000000000001,2.25,0.0,2250.0,1
5,5.000000000000001,2.5338540000000003,0.0,2533.8540000000003,1
6,6.000000000000001,2.8333335,0.0,2833.3335,1
7,7.000000000000001,3.119792,3.066666666666667,53.125333333333025,1
8,8.000000000000004,3.4114585,3.433333333333333,21.874833333332955,1
9,9.000000000000002,3.6608075,3.7666666666666666,105.8591666666664,1
10,10.000000000000002,3.9700519999999995,4.033333333333333,63.28133333333375,1
11,11.000000000000002,4.326172,3.1666666666666665,1159.505333333333,1
12,12.000000000000002,4.643229,0.9,3743.229,1
13,13.000000000000002,5.015625,2.066666666666667,2948.958333333333,1
14,14.000000000000005,5.403646,1.7333333333333334,3670.3126666666667,1
15,15.000000000000002,5.671875,5.6,71.87500000000036,1
16,16.000000000000004,6.02474,5.966666666666667,58.07333333333364,1
17,17.000000000000007,6.3613285,6.3,61.32850000000012,1
18,18.000000000000004,6.681641000000001,6.633333333333334,48.30766666666708,1
19,19.000000000000004,7.004557000000001,6.933333333333334,71.22366666666747,1
20,20.000000000000004,7.318358999999999,7.3,18.358999999999348,1
21,21.000000000000004,7.658853999999999,7.6,58.853999999999296,1
22,22.000000000000004,7.977213499999999,7.933333333333334,43.880166666665055,1
23,23.000000000000004,8.278646,8.233333333333333,45.31266666666767,1
24,24.000000000000004,8.595051999999999,8.533333333333333,61.71866666666581,1
25,25.000000000000004,8.924479,8.9,24.478999999999473,1
26,26.000000000000004,9.252604000000002,9.2,52.604000000002316,1
27,27.000000000000004,9.595052,9.6,4.947999999998842,1
28,28.000000000000004,9.935547,9.866666666666667,68.88033333333254,1
29,29.00000000000001,10.299479,10.266666666666667,32.81233333333233,1
30,30.000000000000004,10.7011715,10.633333333333333,67.83816666666631,1
31,31.000000000000004,11.0097655,10.933333333333334,76.43216666666675,1
32,32.000000000000014,11.3222655,11.266666666666667,55.59883333333282,1
33,33.000000000000014,11.638021,11.6,38.02100000000053,1
34,34.00000000000002,11.981771,11.933333333333334,48.4376666666666,1
35,35.00000000000003,12.30599,12.266666666666667,39.323333333332045,1
36,36.00000000000004,12.627604,12.633333333333333,5.729333333333031,1
37,37.00000000000005,12.9375,12.933333333333334,4.16666666666643,1
38,38.000000000000064,13.263020999999998,13.2,63.020999999999106,1
39,39.00000000000008,13.5390625,13.5,39.0625,1
40,40.000000000000085,13.8671875,13.833333333333334,33.854166666666075,1
41,41.00000000000009,14.119792000000002,14.166666666666666,46.874666666663956,1
42,42.0000000000001,14.419922,14.433333333333334,13.411333333333886,1
43,43.00000000000011,14.713541500000002,14.8,86.4584999999991,1
44,44.00000000000011,15.151042000000002,15.1,51.042000000002474,1
45,45.000000000000114,15.479818000000002,15.466666666666667,13.151333333334847,1
46,46.00000000000013,15.796875,15.833333333333334,36.458333333333925,1
47,47.00000000000014,16.085938,16.033333333333335,52.604666666663746,1
48,48.00000000000009,16.450521,16.4,50.520999999999816,1
49,49.000000000000064,17.121745,16.733333333333334,388.4116666666664,1
50,50.000000000000064,17.5234375,17.466666666666665,56.77083333333499,1
