beat_idx,gt_beat,gt_time_s,pred_time_s,err_ms,ok
0,0.0,1.0,0.0,1000.0,1
1,1.0,2.2114580000000004,0.0,2211.4580000000005,1
2,2.0000000000000004,3.557292,0.0,3557.292,1
3,3.0000000000000004,4.907292,2.533333333333333,2373.958666666667,1
4,4.0,6.327083,6.266666666666667,60.416333333333405,1
5,5.0,7.714583,7.666666666666667,47.91633333333323,1
6,6.0,9.185417,9.166666666666666,18.750333333333202,1
7,7.0,11.008073,9.766666666666667,1241.406333333332,1
8,8.000000000000002,12.830729000000002,11.733333333333333,1097.395666666669,1
9,9.000000000000002,14.108332999999998,12.066666666666666,2041.6663333333317,1
10,10.000000000000002,15.44375,12.133333333333333,3310.416666666667,1
11,11.000000000000002,16.7739585,13.4,3373.958499999999,1
12,12.000000000000002,18.1729165,15.1,3072.9165,1
13,13.0,19.465625,15.6,3865.6249999999995,1
14,13.999999999999998,21.060416500000002,19.033333333333335,2027.0831666666672,1
15,15.000000000000002,23.142708,18.666666666666668,4476.041333333331,1
16,16.000000000000014,25.6645835,23.633333333333333,2031.2501666666662,1
17,17.00000000000002,26.2140625,24.2,2014.0625000000014,1
18,18.00000000000002,26.6854165,26.666666666666668,18.749833333330912,1
19,19.000000000000032,27.18125,27.166666666666668,14.583333333330728,1
20,20.00000000000004,27.671353999999997,27.7,28.646000000001948,1
21,21.00000000000006,28.1546875,28.166666666666668,11.97916666666643,1
22,22.000000000000046,28.64531250000001,28.833333333333332,188.0208333333222,1
23,23.000000000000053,29.110417,29.2,89.58299999999753,1
24,24.000000000000053,29.572396,29.566666666666666,5.729333333334807,1
25,25.00000000000006,30.086458,30.1,13.542000000001053,1
26,26.000000000000068,30.577083,30.566666666666666,10.416333333331806,1
27,27.000000000000068,31.086458,31.066666666666666,19.791333333333938,1
28,28.000000000000075,31.597917,31.633333333333333,35.41633333333394,1
29,29.00000000000008,32.096875,31.966666666666665,130.20833333333215,1
30,30.000000000000092,32.602604,32.6,2.6039999999980523,1
31,31.0000000000001,33.094792,33.06666666666667,28.12533333332823,1
32,32.0000000000001,33.615625,33.6,15.625,1
33,33.00000000000011,34.080208,34.1,19.792000000002474,1
34,34.00000000000011,34.5625,34.56666666666667,4.1666666666699825,1
35,35.000000000000135,35.046875,35.0,46.875,1
36,36.00000000000012,35.544792,35.56666666666667,21.87466666666893,1
37,37.00000000000013,36.041667,35.96666666666667,75.00033333332823,1
38,38.00000000000015,36.515625,36.53333333333333,17.70833333333144,1
39,39.000000000000135,36.978125,37.06666666666667,88.5416666666714,1
40,40.00000000000014,37.4875,37.46666666666667,20.833333333328596,1
41,41.00000000000015,38.0015625,37.96666666666667,34.89583333333002,1
42,42.00000000000015,38.489583,38.46666666666667,22.91633333333465,1
43,43.00000000000016,38.96458300000001,38.93333333333333,31.24966666668172,1
44,44.00000000000015,39.459375,39.4,59.37500000000284,1
45,45.00000000000016,39.940625,39.9,40.62499999999858,1
46,46.000000000000185,40.4145835,40.36666666666667,47.916833333331965,1
47,47.00000000000018,40.9453125,40.93333333333333,11.979166666669983,1
48,48.00000000000016,41.4760415,41.46666666666667,9.374833333332333,1
49,49.000000000000185,42.0338545,42.0,33.85449999999679,1
50,50.000000000000185,42.5296875,42.5,29.68750000000142,1
51,51.000000000000185,43.0635415,43.03333333333333,30.208166666668035,1
52,52.0000000000002,43.566146,43.5,66.14600000000337,1
53,53.0000000000002,44.0697915,44.0,69.7915000000009,1
54,54.00000000000023,44.565104,44.56666666666667,1.5626666666719302,1
55,55.00000000000021,45.061458,45.03333333333333,28.12466666667035,1
56,56.00000000000021,45.578125,45.53333333333333,44.79166666666856,1
57,57.00000000000021,46.117708,46.1,17.707999999998947,1
58,58.00000000000023,46.641667,46.63333333333333,8.333666666665351,1
59,59.00000000000023,47.179167,47.166666666666664,12.500333333335334,1
60,60.00000000000024,47.716667,47.733333333333334,16.666333333333228,1
61,61.00000000000024,48.258333,48.2,58.332999999997526,1
62,62.00000000000027,48.798958,48.8,1.041999999998211,1
63,63.00000000000024,49.295833,49.266666666666666,29.16633333333607,1
64,64.00000000000026,49.844271,49.8,44.27100000000195,1
65,65.00000000000028,50.3421875,50.333333333333336,8.85416666666572,1
66,66.00000000000027,50.802603999999995,50.8,2.6039999999980523,1
67,67.00000000000027,51.327083,51.36666666666667,39.58366666666535,1
68,68.0000000000003,51.838542,51.8,38.54199999999963,1
69,69.00000000000028,52.341667,52.36666666666667,24.999666666666087,1
70,70.00000000000028,52.796354,52.833333333333336,36.97933333333481,1
71,71.00000000000028,53.330208,53.36666666666667,36.458666666668194,1
72,72.0000000000003,53.89791700000001,53.86666666666667,31.250333333339597,1
73,73.0000000000003,54.406771000000006,54.36666666666667,40.10433333333907,1
74,74.0000000000003,54.9140625,54.96666666666667,52.60416666666856,1
75,75.00000000000031,55.39791700000001,55.36666666666667,31.250333333339597,1
76,76.00000000000033,55.965625,55.93333333333333,32.291666666672825,1
77,77.00000000000033,56.4755205,56.43333333333333,42.18716666667177,1
78,78.00000000000033,56.984375,56.93333333333333,51.04166666666998,1
79,79.00000000000033,57.4828125,57.5,17.18749999999858,1
80,80.00000000000036,57.99270799999999,57.96666666666667,26.0413333333247,1
81,81.00000000000036,58.478125,58.46666666666667,11.458333333330017,1
82,82.00000000000038,58.9421875,59.06666666666667,124.47916666666714,1
83,83.00000000000037,59.421354,59.43333333333333,11.979333333329123,1
84,84.00000000000037,59.925,59.86666666666667,58.33333333333002,1
85,85.00000000000037,60.3197915,60.36666666666667,46.875166666666246,1
86,86.00000000000038,60.903125,60.9,3.1250000000042633,1
87,87.00000000000038,61.375,61.333333333333336,41.6666666666643,1
88,88.00000000000038,61.91458299999999,61.86666666666667,47.91633333332612,1
89,89.0000000000004,62.489583499999995,62.43333333333333,56.250166666664825,1
90,90.0000000000004,63.02447900000001,63.0,24.47900000000658,1
91,91.00000000000041,63.5541665,63.5,54.166500000000894,1
92,92.00000000000041,64.095833,64.1,4.166999999995369,1
93,93.00000000000044,64.63020850000001,64.63333333333334,3.124833333330912,1
94,94.00000000000043,65.136979,65.06666666666666,70.31233333333375,1
95,95.00000000000043,65.638542,65.63333333333334,5.208666666661088,1
96,96.00000000000045,66.1583335,66.13333333333334,25.00016666665772,1
