beat_idx,gt_beat,gt_time_s,pred_time_s,err_ms,ok
0,0.0,0.978516,0.0,978.5160000000001,1
1,1.0000000000000002,1.156901,0.0,1156.901,1
2,2.0000000000000004,1.335287,0.0,1335.2869999999998,1
3,3.000000000000001,1.552083,1.5333333333333334,18.749666666666663,1
4,4.000000000000001,1.748372,1.6666666666666667,81.7053333333333,1
5,5.000000000000001,1.944662,1.7,244.66199999999992,1
6,6.000000000000001,2.1295580000000003,1.7,429.55800000000033,1
7,7.0,2.308485,2.1666666666666665,141.8183333333336,1
8,8.000000000000002,2.487413,2.1666666666666665,320.74633333333355,1
9,9.000000000000002,2.666341,2.1666666666666665,499.67433333333355,1
10,10.000000000000002,2.845269,2.1666666666666665,678.6023333333335,1
11,11.000000000000004,3.024197,2.1666666666666665,857.5303333333335,1
12,12.000000000000004,3.203125,2.1666666666666665,1036.4583333333335,1
13,13.000000000000004,3.452257,3.3,152.2570000000001,1
14,14.000000000000002,3.701389,3.3,401.389,1
15,15.000000000000002,3.950521,1.0333333333333334,2917.187666666667,1
16,16.000000000000004,4.09592,1.0333333333333334,3062.586666666666,1
17,17.000000000000004,4.241319,4.3,58.68099999999998,1
18,18.000000000000004,4.386719,4.4,13.281000000000098,1
19,19.0,4.532118,4.6,67.882,1
20,20.0,4.677518,4.766666666666667,89.14866666666654,1
21,21.000000000000004,4.822917,1.4,3422.9170000000004,1
22,22.000000000000004,4.9528,5.066666666666666,113.86666666666656,1
23,23.000000000000007,5.082683,0.6333333333333333,4449.349666666667,1
24,24.000000000000018,5.30599,0.4666666666666667,4839.323333333334,1
25,25.000000000000007,5.516602,5.433333333333334,83.2686666666662,1
26,26.000000000000007,5.727214,5.7,27.21399999999985,1
27,27.000000000000014,5.880209,5.866666666666666,13.542333333333545,1
28,28.00000000000001,6.0875650000000014,5.9,187.56500000000108,1
29,29.000000000000025,6.294922,6.233333333333333,61.58866666666629,1
30,30.000000000000018,6.461589,6.433333333333334,28.255666666666457,1
31,31.000000000000018,6.64898,6.633333333333334,15.646666666666142,1
32,32.00000000000002,6.836372,6.866666666666666,30.29466666666636,1
33,33.00000000000002,7.0237630000000015,7.0,23.763000000001533,1
34,34.00000000000002,7.2111550000000015,7.066666666666666,144.4883333333351,1
35,35.00000000000002,7.398546,7.333333333333333,65.21266666666659,1
36,36.00000000000002,7.585938,7.566666666666666,19.271333333333196,1
37,37.00000000000002,7.851563,7.6,251.563,1
38,38.00000000000002,8.117187,7.633333333333334,483.85366666666573,1
39,39.000000000000036,8.382812,8.133333333333333,249.47866666666664,1
40,40.00000000000002,8.54427,8.366666666666667,177.603333333332,1
41,41.00000000000002,8.705729,8.566666666666666,139.0623333333334,1
42,42.00000000000002,8.867187,8.733333333333333,133.85366666666698,1
43,43.00000000000002,9.028645,8.933333333333334,95.31166666666557,1
44,44.00000000000003,9.190104,9.1,90.10400000000018,1
45,45.00000000000003,9.351562,9.333333333333334,18.22866666666556,1
46,46.00000000000002,9.497395,9.5,2.6050000000008566,1
47,47.000000000000036,9.643229,9.7,56.77099999999946,1
48,48.000000000000036,9.847656,9.766666666666667,80.98933333333314,1
49,49.000000000000036,10.051649,10.0,51.64899999999939,1
50,50.000000000000036,10.255642,10.166666666666666,88.97533333333385,1
51,51.000000000000036,10.459635,10.366666666666667,92.96833333333332,1
52,52.000000000000036,10.644097,10.6,44.09700000000072,1
53,53.00000000000003,10.828559,10.8,28.558999999999557,1
54,54.000000000000036,11.013021,10.966666666666667,46.354333333333386,1
55,55.00000000000003,11.221571,11.133333333333333,88.23766666666799,1
56,56.00000000000002,11.430122,11.333333333333334,96.78866666666686,1
57,57.00000000000003,11.638672,11.533333333333333,105.33866666666647,1
58,58.00000000000003,11.868304,11.833333333333334,34.97066666666626,1
59,59.00000000000003,12.097935,12.066666666666666,31.26833333333323,1
60,60.00000000000003,12.327567,12.266666666666667,60.90033333333267,1
61,61.00000000000002,12.557199,12.466666666666667,90.53233333333388,1
62,62.00000000000003,12.786831,12.633333333333333,153.49766666666653,1
63,63.00000000000003,13.016462,12.833333333333334,183.12866666666673,1
64,64.00000000000003,13.246094,13.166666666666666,79.4273333333333,1
65,65.00000000000003,13.448503,13.4,48.503000000000185,1
66,66.00000000000003,13.650912,13.6,50.91200000000029,1
67,67.00000000000003,13.853320000000002,13.766666666666667,86.65333333333436,1
68,68.00000000000003,14.055729,13.033333333333333,1022.3956666666662,1
69,69.00000000000003,14.258138,13.0,1258.1380000000006,1
70,70.00000000000003,14.460547,13.033333333333333,1427.2136666666668,1
71,71.00000000000003,14.662956,13.033333333333333,1629.6226666666662,1
72,72.00000000000003,14.865364,13.033333333333333,1832.0306666666663,1
73,73.00000000000003,15.067773,13.033333333333333,2034.4396666666676,1
74,74.00000000000003,15.270182,13.033333333333333,2236.8486666666668,1
75,75.00000000000004,15.429688,13.033333333333333,2396.354666666667,1
76,76.00000000000003,15.657877,13.033333333333333,2624.543666666666,1
77,77.00000000000003,15.886067,13.033333333333333,2852.7336666666674,1
78,78.00000000000003,16.059896,13.033333333333333,3026.5626666666653,1
79,79.00000000000004,16.249132,12.733333333333333,3515.798666666667,1
80,80.00000000000003,16.438368,12.8,3638.368,1
81,81.00000000000003,16.627604,12.933333333333334,3694.270666666668,1
82,82.00000000000003,16.81684,12.566666666666666,4250.173333333332,1
83,83.00000000000004,17.006076,12.766666666666667,4239.409333333333,1
84,84.00000000000003,17.195312,12.966666666666667,4228.645333333335,1
85,85.00000000000004,17.458767,13.1,4358.767000000002,1
86,86.00000000000004,17.722222,13.133333333333333,4588.888666666666,1
87,87.00000000000006,17.985677,13.166666666666666,4819.010333333333,1
88,88.00000000000004,18.143229,13.4,4743.229000000001,1
89,89.00000000000004,18.300781,13.6,4700.781000000001,1
90,90.00000000000004,18.458334,13.766666666666667,4691.667333333333,1
91,91.00000000000004,18.615886,14.0,4615.8859999999995,1
92,92.00000000000006,18.773438,14.2,4573.437999999999,1
93,93.00000000000007,18.990886,14.4,4590.8859999999995,1
94,94.00000000000006,19.13737,14.566666666666666,4570.703333333334,1
95,95.00000000000007,19.283854,14.566666666666666,4717.187333333335,1
96,96.0000000000001,19.498698,14.733333333333333,4765.364666666668,1
97,97.00000000000007,19.704752,14.9,4804.751999999999,1
98,98.00000000000009,19.910807,15.2,4710.806999999999,1
99,99.00000000000009,20.090495,15.066666666666666,5023.828333333334,1
100,100.00000000000009,20.307292,15.566666666666666,4740.625333333334,1
101,101.00000000000013,20.524089,15.766666666666667,4757.422333333333,1
102,102.00000000000009,20.692708,16.0,4692.708,1
103,103.0000000000001,20.874783,16.1,4774.782999999999,1
104,104.0000000000001,21.056858,16.1,4956.8579999999965,1
105,105.00000000000009,21.238932,16.1,5138.931999999997,1
106,106.00000000000009,21.421007,16.1,5321.006999999998,1
107,107.00000000000009,21.603081,16.1,5503.080999999998,1
108,108.0000000000001,21.785156,16.1,5685.155999999999,1
109,109.0000000000001,22.085069,21.5,585.0690000000008,1
110,110.0000000000001,22.384983,21.7,684.982999999999,1
111,111.00000000000017,22.684896,22.333333333333332,351.56266666666625,1
112,112.0000000000001,22.874783,22.8,74.78300000000004,1
113,113.00000000000013,23.06467,22.966666666666665,98.00333333333455,1
114,114.00000000000013,23.254558,22.966666666666665,287.8913333333344,1
115,115.0000000000001,23.444445,23.4,44.445000000003176,1
116,116.0000000000001,23.634332,23.6,34.33199999999914,1
117,117.0000000000001,23.824219,23.766666666666666,57.55233333333365,1
118,118.00000000000013,23.964193,23.866666666666667,97.52633333333449,1
119,119.00000000000013,24.104167,23.866666666666667,237.5003333333332,1
120,120.00000000000013,24.360026,24.233333333333334,126.69266666666701,1
121,121.00000000000014,24.554253,24.5,54.25299999999922,1
122,122.00000000000013,24.748481,24.666666666666668,81.81433333333388,1
123,123.00000000000014,24.942708,24.833333333333332,109.37466666666751,1
124,124.00000000000014,25.137587,25.066666666666666,70.92033333333347,1
125,125.00000000000014,25.332465,25.3,32.46499999999841,1
126,126.0000000000002,25.527344,25.466666666666665,60.67733333333436,1
127,127.00000000000014,25.738932,25.666666666666668,72.26533333333052,1
128,128.00000000000014,25.950521,25.866666666666667,83.85433333333125,1
129,129.00000000000014,26.162109,26.1,62.108999999999526,1
130,130.00000000000014,26.383091,26.3,83.09099999999958,1
131,131.00000000000014,26.604073,26.366666666666667,237.4063333333325,1
132,132.00000000000014,26.825056,26.6,225.0559999999986,1
133,133.00000000000014,27.046038,26.8,246.03799999999865,1
134,134.00000000000014,27.26702,27.033333333333335,233.6866666666637,1
135,135.00000000000014,27.488002,27.233333333333334,254.66866666666732,1
136,136.0000000000002,27.708984,27.666666666666668,42.317333333333096,1
137,137.00000000000014,27.887614000000006,27.866666666666667,20.947333333339202,1
138,138.00000000000014,28.066244,28.066666666666666,0.42266666666535,1
139,139.00000000000014,28.244873,28.266666666666666,21.793666666667377,1
140,140.00000000000014,28.423503000000004,28.466666666666665,43.16366666666127,1
141,141.00000000000014,28.602132,28.666666666666668,64.53466666666685,1
142,142.00000000000014,28.780762,28.833333333333332,52.57133333333286,1
143,143.00000000000014,28.959391,28.833333333333332,126.05766666666796,1
144,144.00000000000014,29.138021,29.1,38.020999999996974,1
145,145.00000000000014,29.377279,29.3,77.27900000000076,1
146,146.0000000000002,29.616536,29.5,116.53599999999997,1
147,147.00000000000014,29.744141,29.766666666666666,22.525666666666666,1
148,148.00000000000014,29.911458000000003,29.966666666666665,55.2086666666618,1
149,149.00000000000017,30.052083000000003,30.133333333333333,81.25033333332965,1
150,150.0000000000002,30.223958000000003,30.266666666666666,42.70866666666251,1
151,151.00000000000028,30.39974,30.366666666666667,33.073333333334176,1
152,152.00000000000026,30.576823,30.6,23.177000000000447,1
153,153.00000000000028,30.790365,30.8,9.634999999999394,1
154,154.00000000000028,30.995009000000003,30.866666666666667,128.342333333336,1
155,155.00000000000028,31.199653,30.866666666666667,332.9863333333343,1
156,156.00000000000034,31.404297,30.866666666666667,537.6303333333326,1
157,157.00000000000028,31.559896,30.866666666666667,693.2293333333313,1
158,158.00000000000034,31.721354,31.666666666666668,54.687333333333754,1
159,159.00000000000034,31.875,31.9,24.99999999999858,1
160,160.00000000000034,32.065104,32.06666666666667,1.5626666666719302,1
161,161.00000000000034,32.238281,32.266666666666666,28.385666666665088,1
162,162.00000000000034,32.407552,32.5,92.44799999999742,1
163,163.00000000000034,32.539062,32.6,60.93800000000016,1
164,164.00000000000034,32.669271,32.666666666666664,2.6043333333376495,1
165,165.00000000000028,32.829427,32.666666666666664,162.76033333333828,1
166,166.0000000000003,33.082031,33.13333333333333,51.30233333333223,1
167,167.00000000000034,33.272136,33.166666666666664,105.46933333333897,1
168,168.00000000000028,33.574219,33.36666666666667,207.55233333333223,1
169,169.00000000000028,33.787109,33.733333333333334,53.775666666666666,1
170,170.00000000000028,34.0,33.9,100.00000000000142,1
171,171.0000000000003,34.136068,34.0,136.06800000000163,1
172,172.00000000000037,34.334635,34.2,134.63499999999584,1
173,173.00000000000028,34.483073,34.5,16.92700000000258,1
174,174.00000000000028,34.669271,34.666666666666664,2.6043333333376495,1
175,175.00000000000026,34.828125,34.9,71.87499999999858,1
176,176.00000000000026,35.014323,35.06666666666667,52.34366666667256,1
177,177.00000000000028,35.230469,35.266666666666666,36.19766666666635,1
178,178.0000000000002,35.397136,35.266666666666666,130.46933333333754,1
179,179.00000000000017,35.563802,35.6,36.19799999999884,1
180,180.0000000000002,35.730469,35.766666666666666,36.19766666666635,1
181,181.0000000000002,35.914062,35.93333333333333,19.271333333328755,1
182,182.00000000000026,36.0625,36.13333333333333,70.83333333333286,1
183,183.00000000000017,36.177734,36.166666666666664,11.067333333336649,1
184,184.00000000000014,36.373698,36.333333333333336,40.36466666666172,1
185,185.00000000000014,36.529948,36.53333333333333,3.3853333333340174,1
186,186.00000000000017,36.645183,36.666666666666664,21.48366666666135,1
187,187.0000000000002,36.761719,36.833333333333336,71.61433333333633,1
188,188.00000000000014,36.923177,37.03333333333333,110.15633333332886,1
189,189.0000000000001,37.069662,37.06666666666667,2.9953333333310184,1
190,190.0000000000001,37.264323,37.2,64.32299999999458,1
191,191.0000000000001,37.484375,37.4,84.37500000000142,1
192,192.00000000000017,37.882812,37.56666666666667,316.1453333333313,1
193,193.00000000000017,38.121094,37.8,321.0940000000022,1
194,194.00000000000017,38.299479,38.0,299.47899999999805,1
