piece,perf,AR@100_base,AR@100_plan,AR@100_delta,AR@500_base,AR@500_plan,AR@500_delta,AR@1000_base,AR@1000_plan,AR@1000_delta,MedAE_ms_base,MedAE_ms_plan,MedAE_ms_delta,MaxAE_ms_base,MaxAE_ms_plan,MaxAE_ms_delta,MeanAE_ms_base,MeanAE_ms_plan,MeanAE_ms_delta,LR500_K5_base,LR500_K5_plan,LR500_K5_delta
chopin_ballade1,KimSuyeon04M,4.747320061255743,23.43032159264931,18.68300153139357,9.80091883614089,49.15773353751914,39.356814701378255,11.791730474732006,57.88667687595712,46.094946401225116,57100.78,531.77,-56569.01,165770.83,28779.95,-136990.87999999998,60592.36990811638,4494.410888208269,-56097.959019908114,5.206738131699847,30.321592649310876,25.11485451761103
chopin_ballade1,JIA06M,3.3690658499234303,7.197549770290965,3.8284839203675345,8.575803981623277,16.998468606431853,8.422664624808576,11.638591117917304,19.60183767228178,7.963246554364474,46393.75,26916.67,-19477.08,149205.73,92855.21,-56350.520000000004,53515.67241960184,37073.842235834614,-16441.830183767226,3.522205206738132,10.872894333843798,7.350689127105666
chopin_ballade1,Richardson13M,5.206738131699847,10.719754977029096,5.513016845329249,10.260336906584993,16.539050535987748,6.2787136294027555,11.944869831546708,17.76416539050536,5.819295558958654,64825.26,22586.26,-42239.0,161852.86,107012.5,-54840.359999999986,62480.35656967841,33252.06722817764,-29228.28934150077,6.738131699846861,11.0260336906585,4.287901990811639
chopin_ballade1,Sladek04M,4.900459418070445,4.900459418070445,0.0,10.260336906584993,8.88208269525268,-1.3782542113323117,12.404287901990811,10.566615620214396,-1.837672281776415,65931.77,65779.04,-152.73000000001048,168693.23,168526.56,-166.6700000000128,65806.04188361407,65930.71485451762,124.67297090354259,4.287901990811639,4.287901990811639,0.0
chopin_ballade1,BuiJL04M,5.053598774885145,24.502297090352222,19.448698315467077,10.413476263399694,48.698315467075034,38.28483920367534,11.485451761102604,57.12098009188361,45.63552833078101,47542.71,547.4,-46995.31,152540.1,29850.0,-122690.1,54115.121026033696,4146.6514701378255,-49968.46955589587,6.278713629402756,29.555895865237364,23.27718223583461
chopin_ballade1,Zhou06M,3.9816232771822357,11.3323124042879,7.350689127105666,10.413476263399694,23.27718223583461,12.863705972434914,12.251148545176111,27.565084226646245,15.313935681470134,61214.06,19112.5,-42101.56,179464.06,80023.96,-99440.09999999999,66663.68332312406,27507.463874425728,-39156.219448698335,6.431852986217458,14.088820826952528,7.65696784073507
chopin_ballade_2,Gasanov08M,33.57843137254902,34.80392156862745,1.2254901960784323,62.745098039215684,63.23529411764706,0.49019607843137436,73.77450980392157,73.52941176470588,-0.24509803921569073,246.22000000000003,239.975,-6.245000000000033,10059.77,10059.77,0.0,1605.2483578431375,1603.656593137255,-1.5917647058824969,37.99019607843137,40.44117647058824,2.450980392156872
chopin_ballade_2,Denisova17M,8.57843137254902,8.57843137254902,0.0,19.607843137254903,19.852941176470587,0.24509803921568363,21.568627450980394,22.058823529411764,0.4901960784313708,43512.634999999995,43512.634999999995,0.0,74853.39,74853.39,0.0,33814.28764705882,33778.50335784314,-35.78428921568411,12.5,12.745098039215685,0.2450980392156854
chopin_ballade_2,Tetzloff06M,9.068627450980392,9.068627450980392,0.0,18.38235294117647,18.38235294117647,0.0,22.30392156862745,22.30392156862745,0.0,26572.395,26571.355,-1.0400000000008731,62869.53,62869.53,0.0,23540.65301470588,23517.2206127451,-23.432401960781135,7.107843137254902,7.107843137254902,0.0
chopin_barcarolle,Na03,57.45140388768899,57.45140388768899,0.0,86.60907127429806,86.60907127429806,0.0,93.9524838012959,93.9524838012959,0.0,64.19,64.19,0.0,2488.97,2488.97,0.0,234.7141684665227,234.57017278617712,-0.14399568034556864,64.14686825053995,64.14686825053995,0.0
