piece,perf,AR_Pass1,AR_Pass2,AR_Dixon,AR_SectionBest,Δ_vs_Dixon,MedAE_section_s,MedAE_dixon_s,MaxAE_section_s,LR_section_%,LR_dixon_%,n_sections,Pass1_picked,Pass2_picked,Dixon_picked
chopin_ballade1,BuiJL04M,48.7,28.2,21.9,53.4,31.55,0.39,13.11,29.85,30.4,8.9,25,19,4,2
chopin_ballade1,JIA06M,17.0,1.4,12.3,17.2,4.9,26.92,26.65,92.86,10.9,6.2,25,24,0,1
chopin_ballade1,KimSuyeon04M,49.2,31.1,17.3,51.3,34.0,0.46,19.2,28.78,35.0,12.5,25,20,1,4
chopin_ballade1,Mo07M,14.9,30.3,29.1,51.6,22.51,0.44,11.9,36.88,30.2,12.6,25,15,5,5
chopin_ballade1,Richardson13M,16.5,0.3,17.6,19.0,1.38,22.59,19.36,107.01,13.1,10.9,25,20,0,5
chopin_ballade1,Sladek04M,8.9,14.7,25.6,27.3,1.68,26.28,9.36,168.53,15.4,14.3,25,16,1,8
chopin_ballade1,Zhou06M,23.3,23.1,25.0,33.8,8.88,8.96,13.93,80.02,21.6,14.6,25,19,2,4
chopin_ballade_2,Denisova17M,19.9,19.9,81.6,81.6,0.0,0.16,0.16,18.49,63.9,63.9,5,0,0,5
chopin_ballade_2,Gasanov08M,63.7,63.5,71.1,80.6,9.56,0.13,0.21,6.8,58.2,52.2,5,1,0,4
chopin_ballade_2,Tetzloff06M,18.4,17.9,65.7,65.7,0.0,0.28,0.28,13.87,35.6,35.6,5,0,0,5
chopin_barcarolle,Na03,87.3,86.8,83.4,87.7,4.32,0.07,0.13,5.38,66.7,62.5,11,5,0,6
