piece,perf,section,AR_Pass1,AR_Pass2,AR_Dixon,best_choice,best_AR
chopin_ballade1,BuiJL04M,0-28,0.0,0.0,10.344827586206897,Dixon+CQT,10.344827586206897
chopin_ballade1,BuiJL04M,28-166,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,BuiJL04M,166-221,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,BuiJL04M,221-244,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,BuiJL04M,244-370,12.195121951219512,7.317073170731707,0.0,Pass1,12.195121951219512
chopin_ballade1,BuiJL04M,370-387,16.666666666666664,0.0,0.0,Pass1,16.666666666666664
chopin_ballade1,BuiJL04M,387-532,83.33333333333334,0.0,0.0,Pass1,83.33333333333334
chopin_ballade1,BuiJL04M,532-691,84.90566037735849,0.0,0.0,Pass1,84.90566037735849
chopin_ballade1,BuiJL04M,691-703,100.0,0.0,0.0,Pass1,100.0
chopin_ballade1,BuiJL04M,703-736,45.45454545454545,0.0,0.0,Pass1,45.45454545454545
chopin_ballade1,BuiJL04M,736-808,58.333333333333336,91.66666666666666,0.0,Pass2,91.66666666666666
chopin_ballade1,BuiJL04M,808-1066,63.95348837209303,69.76744186046511,24.418604651162788,Pass2,69.76744186046511
chopin_ballade1,BuiJL04M,1066-1072,50.0,100.0,0.0,Pass2,100.0
chopin_ballade1,BuiJL04M,1072-1126,55.55555555555556,61.111111111111114,0.0,Pass2,61.111111111111114
chopin_ballade1,BuiJL04M,1126-1132,100.0,50.0,0.0,Pass1,100.0
chopin_ballade1,BuiJL04M,1132-1144,75.0,0.0,0.0,Pass1,75.0
chopin_ballade1,BuiJL04M,1144-1225,88.88888888888889,0.0,66.66666666666666,Pass1,88.88888888888889
chopin_ballade1,BuiJL04M,1225-1228,100.0,0.0,100.0,Pass1,100.0
chopin_ballade1,BuiJL04M,1228-1406,48.60335195530726,41.899441340782126,55.865921787709496,Dixon+CQT,55.865921787709496
chopin_ballade1,BuiJL04M,1406-1410,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,BuiJL04M,1410-1422,33.33333333333333,0.0,0.0,Pass1,33.33333333333333
chopin_ballade1,BuiJL04M,1422-1426,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,BuiJL04M,1426-1430,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,BuiJL04M,1430-1434,50.0,0.0,0.0,Pass1,50.0
chopin_ballade1,BuiJL04M,1434-1462,83.33333333333334,55.55555555555556,0.0,Pass1,83.33333333333334
chopin_ballade1,JIA06M,0-28,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,JIA06M,28-166,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,JIA06M,166-221,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,JIA06M,221-244,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,JIA06M,244-370,43.90243902439025,2.4390243902439024,0.0,Pass1,43.90243902439025
chopin_ballade1,JIA06M,370-387,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,JIA06M,387-532,89.58333333333334,2.083333333333333,83.33333333333334,Pass1,89.58333333333334
chopin_ballade1,JIA06M,532-691,77.35849056603774,0.0,64.15094339622641,Pass1,77.35849056603774
chopin_ballade1,JIA06M,691-703,100.0,50.0,0.0,Pass1,100.0
chopin_ballade1,JIA06M,703-736,45.45454545454545,45.45454545454545,45.45454545454545,Pass1,45.45454545454545
chopin_ballade1,JIA06M,736-808,0.0,0.0,4.166666666666666,Dixon+CQT,4.166666666666666
chopin_ballade1,JIA06M,808-1066,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,JIA06M,1066-1072,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,JIA06M,1072-1126,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,JIA06M,1126-1132,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,JIA06M,1132-1144,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,JIA06M,1144-1225,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,JIA06M,1225-1228,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,JIA06M,1228-1406,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,JIA06M,1406-1410,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,JIA06M,1410-1422,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,JIA06M,1422-1426,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,JIA06M,1426-1430,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,JIA06M,1430-1434,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,JIA06M,1434-1462,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,KimSuyeon04M,0-28,0.0,0.0,3.4482758620689653,Dixon+CQT,3.4482758620689653
chopin_ballade1,KimSuyeon04M,28-166,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,KimSuyeon04M,166-221,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,KimSuyeon04M,221-244,0.0,0.0,0.0,Pass1,0.0
chopin_ballade1,KimSuyeon04M,244-370,12.195121951219512,7.317073170731707,4.878048780487805,Pass1,12.195121951219512
chopin_ballade1,KimSuyeon04M,370-387,0.0,0.0,50.0,Dixon+CQT,50.0
chopin_ballade1,KimSuyeon04M,387-532,87.5,0.0,91.66666666666666,Dixon+CQT,91.66666666666666
chopin_ballade1,KimSuyeon04M,532-691,86.79245283018868,0.0,94.33962264150944,Dixon+CQT,94.33962264150944
