beat_idx,gt_beat,gt_time_s,pred_time_s,err_ms,ok,section_idx,chosen_tracker
0,0.0,1.0078125,0.0,1007.8125,1,0,Dixon+CQT
1,1.0000000000000002,2.205208333333333,1.1,1105.208333333333,1,0,Dixon+CQT
2,2.0000000000000004,3.4026041666666664,1.4666666666666666,1935.9375,1,0,Dixon+CQT
3,3.0000000000000004,4.6,4.0,599.9999999999997,1,0,Dixon+CQT
4,4.0,5.6,4.566666666666666,1033.3333333333333,1,0,Dixon+CQT
5,5.0,6.3942705,4.8,1594.2705000000003,1,0,Dixon+CQT
6,6.0,7.143228999999999,0.7666666666666667,6376.562333333332,1,0,Dixon+CQT
7,6.999999999999998,7.938021000000001,6.3,1638.021000000001,1,0,Dixon+CQT
8,7.9999999999999964,9.0489585,7.133333333333334,1915.6251666666656,1,0,Dixon+CQT
9,8.999999999999993,10.2046875,10.2,4.687500000001066,1,0,Dixon+CQT
10,9.999999999999991,11.438021,11.433333333333334,4.687666666667312,1,0,Dixon+CQT
11,10.999999999999988,13.521875,13.1,421.875,1,0,Dixon+CQT
12,11.999999999999988,15.4971355,14.933333333333334,563.8021666666671,1,0,Dixon+CQT
13,12.999999999999984,17.472396,15.8,1672.395999999999,1,0,Dixon+CQT
14,13.999999999999984,18.3885415,14.7,3688.5415,1,0,Dixon+CQT
15,14.999999999999984,19.359896,14.466666666666669,4893.229333333333,1,0,Dixon+CQT
16,15.999999999999982,20.530208,14.833333333333334,5696.874666666664,1,0,Dixon+CQT
17,16.999999999999982,22.1578125,14.933333333333334,7224.479166666665,1,0,Dixon+CQT
18,17.999999999999982,24.33125,14.9,9431.25,1,0,Dixon+CQT
19,18.999999999999982,25.958984375,14.7,11258.984375,1,0,Dixon+CQT
20,19.999999999999982,27.58671875000001,14.933333333333334,12653.385416666675,1,0,Dixon+CQT
21,20.999999999999982,29.214453125,15.3,13914.453124999998,1,0,Dixon+CQT
22,21.999999999999982,30.8421875,15.7,15142.187500000002,1,0,Dixon+CQT
23,22.999999999999982,32.01119775,15.766666666666667,16244.531083333335,1,0,Dixon+CQT
24,23.999999999999982,33.180208,15.766666666666667,17413.541333333334,1,0,Dixon+CQT
25,24.999999999999982,34.7968748,15.766666666666667,19030.208133333334,1,0,Dixon+CQT
26,25.99999999999998,36.4135416,26.53333333333333,9880.208266666668,1,0,Dixon+CQT
27,26.99999999999998,38.0302084,26.466666666666665,11563.541733333332,1,0,Dixon+CQT
28,27.99999999999998,39.6468752,26.666666666666668,12980.208533333329,1,0,Dixon+CQT
29,30.999999999999936,41.263542,22.0,19263.54,1,1,Pass1
30,33.99999999999994,43.207292,22.7,20507.29,1,1,Pass1
31,36.99999999999995,44.675,29.7,14975.0,1,1,Pass1
32,39.99999999999995,46.085417,31.0,15085.42,1,1,Pass1
33,42.999999999999936,47.6432295,31.53333333333333,16109.9,1,1,Pass1
34,45.9999999999999,49.201042,34.833333333333336,14367.71,1,1,Pass1
35,48.9999999999999,50.427083,38.23333333333333,12193.75,1,1,Pass1
36,51.9999999999999,52.055208,39.73333333333333,12321.87,1,1,Pass1
37,54.99999999999989,53.7880205,41.1,12688.02,1,1,Pass1
38,57.99999999999986,55.520833,42.96666666666667,12554.17,1,1,Pass1
39,60.99999999999986,56.8875,44.766666666666666,12120.83,1,1,Pass1
40,63.999999999999886,58.378125,45.96666666666667,12411.46,1,1,Pass1
41,66.99999999999986,59.780208,47.16666666666666,12613.54,1,1,Pass1
42,69.99999999999983,61.91875,47.86666666666667,14052.08,1,1,Pass1
43,72.99999999999983,63.240625,49.3,13940.63,1,1,Pass1
44,75.99999999999983,64.928125,51.16666666666666,13761.46,1,1,Pass1
45,78.99999999999983,66.6541665,51.4,15254.17,1,1,Pass1
46,81.99999999999979,68.380208,54.4,13980.21,1,1,Pass1
47,84.99999999999979,69.811458,55.1,14711.46,1,1,Pass1
48,87.99999999999974,71.251042,55.6,15651.04,1,1,Pass1
